method,p,n,trial,std,lambda,theta,error,error_max,error_min
PPI,50,1000,0,1.0,0.4884125926416594,0.11261432503050083,0.0005124313288102122,0.0022382604044520254,5.224353297790431e-07
Classical,50,1000,0,1.0,,0.11261432503050083,0.0010623612480502856,0.009455378691566018,6.855582009438511e-08
PPI,50,1000,1,1.0,0.5150886110560534,0.11261432503050083,0.000991121103040666,0.005931999520854643,5.587013904795275e-10
Classical,50,1000,1,1.0,,0.11261432503050083,0.0013349498951515906,0.009310160960441148,4.515919059197023e-06
PPI,50,1000,2,1.0,0.49405861735822515,0.11261432503050083,0.0005260542146990452,0.0025334940854673726,1.776389158093676e-08
Classical,50,1000,2,1.0,,0.11261432503050083,0.0011237024253381545,0.007418621892349703,1.1851007292955432e-06
PPI,50,1000,3,1.0,0.45505190457436373,0.11261432503050083,0.0006933142107278102,0.004423042638561749,9.80919662739074e-10
Classical,50,1000,3,1.0,,0.11261432503050083,0.0010113455867244846,0.0067384000637664655,2.5212282981353915e-07
PPI,50,1000,4,1.0,0.4692837233878309,0.11261432503050083,0.0006913757650837031,0.005625135666823435,9.155947691222208e-07
Classical,50,1000,4,1.0,,0.11261432503050083,0.0012411955063511958,0.007690038162165496,1.790886505658491e-06
PPI,50,1000,5,1.0,0.5069857712271796,0.11261432503050083,0.000540853071703433,0.0036764759342072764,1.6809585819719444e-07
Classical,50,1000,5,1.0,,0.11261432503050083,0.0009566123852363668,0.009171556015446846,2.170454940088093e-08
PPI,50,1000,6,1.0,0.4853746032938653,0.11261432503050083,0.0004488959693386173,0.0024317237562873563,2.8346296920429913e-08
Classical,50,1000,6,1.0,,0.11261432503050083,0.0008650340906681854,0.00830634410114812,1.482983996718172e-06
PPI,50,1000,7,1.0,0.516810671760985,0.11261432503050083,0.0005568184003575881,0.002983150116805751,8.698109588789167e-07
Classical,50,1000,7,1.0,,0.11261432503050083,0.0011777461573562785,0.008250549513415043,6.687953566827766e-07
PPI,50,1000,8,1.0,0.517379173004148,0.11261432503050083,0.0006364860995187234,0.005301820504784174,7.10638112772046e-09
Classical,50,1000,8,1.0,,0.11261432503050083,0.0013906991221128548,0.009683046519876783,1.7154516766298344e-06
PPI,50,1000,9,1.0,0.5257804801972595,0.11261432503050083,0.0003847911304721073,0.0028539498625006566,1.0336729423728501e-08
Classical,50,1000,9,1.0,,0.11261432503050083,0.001041695441547912,0.004593149641149637,1.893866468366993e-08
PPI,50,1000,10,1.0,0.4864155942638522,0.11261432503050083,0.0005131677081407233,0.004401822627688333,8.602509534742184e-08
Classical,50,1000,10,1.0,,0.11261432503050083,0.001356004002116734,0.00877482099755152,2.7357681910446346e-07
PPI,50,1000,11,1.0,0.5063649361603946,0.11261432503050083,0.0004304092825166871,0.0028188779956772993,2.6990280926977004e-08
Classical,50,1000,11,1.0,,0.11261432503050083,0.0009493452435711845,0.006789252607694681,1.970567550276722e-08
PPI,50,1000,12,1.0,0.5119213727474842,0.11261432503050083,0.00044272436461959545,0.0021400852625664693,2.121106046377764e-07
Classical,50,1000,12,1.0,,0.11261432503050083,0.0009315965168119084,0.00945956149144146,1.2631525331066149e-06
PPI,50,1000,13,1.0,0.4898878112077724,0.11261432503050083,0.000456100292207063,0.002368304784543843,4.616102933671572e-09
Classical,50,1000,13,1.0,,0.11261432503050083,0.0013337523682104857,0.005618586803473801,4.910507987568449e-08
PPI,50,1000,14,1.0,0.509371730368105,0.11261432503050083,0.0006447710929179361,0.0050896844466326455,1.892599648967291e-07
Classical,50,1000,14,1.0,,0.11261432503050083,0.0013197728594855707,0.011847177500596946,3.5876747921099056e-08
PPI,50,1000,15,1.0,0.5130921808269642,0.11261432503050083,0.0008352355272404951,0.005477546224272288,3.65685008911268e-08
Classical,50,1000,15,1.0,,0.11261432503050083,0.0008820033853683365,0.003451420682772334,4.5246516319323877e-08
PPI,50,1000,16,1.0,0.5315989085807019,0.11261432503050083,0.0004940943370749416,0.0027469467254084253,1.7318133441403665e-07
Classical,50,1000,16,1.0,,0.11261432503050083,0.00111201671182242,0.0059205410305625756,9.520945049599181e-08
PPI,50,1000,17,1.0,0.48579499065940307,0.11261432503050083,0.000503231852733974,0.003154645891344093,5.407818405988691e-09
Classical,50,1000,17,1.0,,0.11261432503050083,0.0011695712055299584,0.00694264981549756,5.752248853045601e-07
PPI,50,1000,18,1.0,0.5027668082489389,0.11261432503050083,0.0004323708355923824,0.0016141800399903177,1.1213967374829321e-07
Classical,50,1000,18,1.0,,0.11261432503050083,0.0009611543846547683,0.005037322859668619,4.90919230990463e-07
PPI,50,1000,19,1.0,0.5061342119722423,0.11261432503050083,0.0008864705511998221,0.0055663515341170325,4.5085161497385344e-07
Classical,50,1000,19,1.0,,0.11261432503050083,0.0011153810465960427,0.007300869331751591,1.0655573774855542e-07
PPI,50,1000,20,1.0,0.4744844279980012,0.11261432503050083,0.00044263406772047996,0.003298207252147105,2.778182604161011e-06
Classical,50,1000,20,1.0,,0.11261432503050083,0.0009658833845426986,0.007095840795682131,7.197001884850815e-10
PPI,50,1000,21,1.0,0.510676572766192,0.11261432503050083,0.0005632325501691431,0.003673534362584952,3.206328896391647e-08
Classical,50,1000,21,1.0,,0.11261432503050083,0.0013010673540804684,0.005324853056260249,1.197876517198753e-07
PPI,50,1000,22,1.0,0.4607159338633665,0.11261432503050083,0.00037930737862530787,0.00244235416597164,3.3606876450905905e-07
Classical,50,1000,22,1.0,,0.11261432503050083,0.0005652578540251391,0.0027883438257702764,7.186732164833409e-09
PPI,50,1000,23,1.0,0.48458818590162367,0.11261432503050083,0.0006089944287120231,0.006056575315103606,6.38110619313186e-10
Classical,50,1000,23,1.0,,0.11261432503050083,0.0015260323074565382,0.009614853629226282,2.2341760119393187e-11
PPI,50,1000,24,1.0,0.4903246031148479,0.11261432503050083,0.0005963944409543138,0.003622559416145983,2.311466722712493e-06
Classical,50,1000,24,1.0,,0.11261432503050083,0.0010958812457170638,0.011913719966836656,3.2795683295998307e-07
PPI,50,1000,25,1.0,0.47059677430434504,0.11261432503050083,0.0006666185498793912,0.00465098319877941,2.624319835624315e-07
Classical,50,1000,25,1.0,,0.11261432503050083,0.0011495799009041616,0.006956877195175845,7.891194209650124e-07
PPI,50,1000,26,1.0,0.4865690726656851,0.11261432503050083,0.00047560924862633484,0.004069263431622831,8.170457065722507e-09
Classical,50,1000,26,1.0,,0.11261432503050083,0.0009209783503614763,0.0075841974428866735,2.3519867377555565e-09
PPI,50,1000,27,1.0,0.46371917168273685,0.11261432503050083,0.0007352212342090526,0.003505931456906742,1.8099938084066034e-07
Classical,50,1000,27,1.0,,0.11261432503050083,0.0010795642470305305,0.004756314867969284,2.876378248999535e-06
PPI,50,1000,28,1.0,0.4683110792420004,0.11261432503050083,0.00047457549769397845,0.0024684985448729484,7.38632181140793e-07
Classical,50,1000,28,1.0,,0.11261432503050083,0.0012467792500985993,0.006328576869907259,3.036088033519881e-06
PPI,50,1000,29,1.0,0.5313897936759797,0.11261432503050083,0.0006432780314429401,0.003848806890765298,2.5426999104854843e-06
Classical,50,1000,29,1.0,,0.11261432503050083,0.0010857217797087782,0.004773027572444336,2.400962529592564e-06
PPI,50,1000,30,1.0,0.47153972628546553,0.11261432503050083,0.0004901521896954953,0.004270679270232081,4.0400939277890076e-11
Classical,50,1000,30,1.0,,0.11261432503050083,0.0010533397744534533,0.005434581656520297,8.258476631539311e-07
PPI,50,1000,31,1.0,0.49650409910960985,0.11261432503050083,0.0006124567757757157,0.003111078022295415,2.245364836048703e-07
Classical,50,1000,31,1.0,,0.11261432503050083,0.0010245053823447676,0.004288893003810415,2.0538162377654277e-07
