method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
PPI,2000,0.49355437546023917,0.5005512564630314,7,0.0,0.01,True,5.566240546276203e-06,,0.006996881002792277
Tuned PPI,2000,0.4936400881844079,0.5006343769717942,7,0.0,0.01,True,5.365539471408006e-06,0.701183316755629,0.006994288787386338
Classical,2000,0.49368775898443223,0.5009828789856837,7,0.0,0.01,True,4.925692942358412e-06,,0.007295120001251487
PPI,2000,0.4975680170879153,0.5047928134227411,8,0.0,0.01,True,3.344513158490116e-06,,0.007224796334825756
Tuned PPI,2000,0.4975468617421905,0.5047286849683013,8,0.0,0.01,True,4.306721472944281e-06,0.05110051283680477,0.007181823226110773
Classical,2000,0.4977201785047127,0.5045507754686306,8,0.0,0.01,True,4.363224553678123e-06,,0.006830596963917912
PPI,2000,0.49626680728453465,0.5032909223883953,9,0.0,0.01,True,5.324694016155193e-07,,0.007024115103860695
Tuned PPI,2000,0.49630038194689463,0.5033197015807407,9,0.0,0.01,True,4.6674959069248624e-07,0.49348266491162324,0.007019319633846055
Classical,2000,0.4961261495787348,0.5035546831952854,9,0.0,0.01,True,4.0719546620847197e-07,,0.007428533616550603
PPI,3000,0.4959727866446498,0.5018921342939819,0,0.0,0.01,True,8.362120385882809e-07,,0.005919347649332163
Tuned PPI,3000,0.4961210462152013,0.5020180601756719,0,0.0,0.01,True,9.076749624384404e-07,0.2872541354260327,0.005897013960470543
Classical,3000,0.49601968679539665,0.5022299230847915,0,0.0,0.01,True,9.58700239644651e-07,,0.006210236289394877
PPI,3000,0.49666589545781265,0.502666347293634,1,0.0,0.01,True,3.108259601902856e-07,,0.006000451835821374
Tuned PPI,3000,0.4966612464724217,0.5026375815072168,1,0.0,0.01,True,3.026037969566386e-07,0.06415932251938582,0.0059763350347951105
Classical,3000,0.4966025532416361,0.5026939838895987,1,0.0,0.01,True,3.0206467329263326e-07,,0.006091430647962637
PPI,3000,0.49641658970181246,0.5024060190438566,2,0.0,0.01,True,3.147628187065582e-07,,0.005989429342044161
Tuned PPI,3000,0.49625087481411323,0.5022011051408053,2,0.0,0.01,True,4.3009802167056437e-07,0.03282624106619217,0.005950230326692063
Classical,3000,0.49625802231589355,0.5021813783584989,2,0.0,0.01,True,4.3462280963721043e-07,,0.005923356042605299
PPI,3000,0.49955529454654757,0.505394082514592,3,0.0,0.01,True,3.6273118838158316e-06,,0.005838787968044379
Tuned PPI,3000,0.4995990579823272,0.5054086115561004,3,0.0,0.01,True,3.6864080936262343e-06,0.1840356727282157,0.0058095535737732185
Classical,3000,0.4993447390708273,0.505676077972845,3,0.0,0.01,True,3.6998766865203093e-06,,0.006331338902017647
PPI,3000,0.49481152800030126,0.5010624699410338,4,0.0,0.01,True,3.2420026954997107e-06,,0.006250941940732502
Tuned PPI,3000,0.49502946009183113,0.5010576307234847,4,0.0,0.01,True,3.343491435071591e-06,0.0,0.006028170631653618
Classical,3000,0.4950299624812531,0.5010571283340628,4,0.0,0.01,True,3.343491435071591e-06,,0.006027165852809713
PPI,3000,0.5009426181353692,0.5070063934278622,5,0.0,0.01,False,8.302183493242019e-06,,0.006063775292493023
Tuned PPI,3000,0.5009611938644857,0.5070017068084981,5,0.0,0.01,False,8.419271918448944e-06,0.22297365273096167,0.006040512944012422
Classical,3000,0.5010540803232274,0.5069128059360181,5,0.0,0.01,False,8.454531697787666e-06,,0.005858725612790661
PPI,3000,0.499011297217383,0.5046410882226025,6,0.0,0.01,True,1.713823226041828e-06,,0.005629791005219431
Tuned PPI,3000,0.4989732213134419,0.5045886441597087,6,0.0,0.01,True,1.6152087285656451e-06,0.2600338437466464,0.005615422846266815
Classical,3000,0.49882795004127084,0.5047021055244767,6,0.0,0.01,True,1.581957579567999e-06,,0.005874155483205856
PPI,3000,0.49532375736078793,0.5013443367538242,7,0.0,0.01,True,1.389542641119349e-06,,0.006020579393036241
Tuned PPI,3000,0.49561799394389533,0.5015031286701712,7,0.0,0.01,True,1.048824988076432e-06,0.0,0.005885134726275887
Classical,3000,0.495618484412665,0.5015026382014015,7,0.0,0.01,True,1.0488249880765119e-06,,0.005884153788736524
PPI,3000,0.4973782763944272,0.5033633317975781,8,0.0,0.01,True,8.161189110848782e-07,,0.005985055403150863
Tuned PPI,3000,0.497654515644389,0.5036300653968195,8,0.0,0.01,True,9.549743146119654e-07,0.4074230730834512,0.005975549752430531
Classical,3000,0.4977142668429385,0.5039436322550069,8,0.0,0.01,True,1.0932027824207027e-06,,0.006229365412068422
PPI,3000,0.4978636084044798,0.5038048501871091,9,0.0,0.01,True,7.558300541071667e-07,,0.005941241782629281
Tuned PPI,3000,0.49805977947598956,0.5040303445866938,9,0.0,0.01,True,1.097861382942706e-06,0.0,0.005970565110704262
Classical,3000,0.4980602770645513,0.5040298469981321,9,0.0,0.01,True,1.097861382942706e-06,,0.005969569933580832
PPI,4000,0.4978008173162254,0.5031476472495504,0,0.0,0.01,True,2.592218042327788e-06,,0.005346829933325026
Tuned PPI,4000,0.4977308451415846,0.5030702692605734,0,0.0,0.01,True,2.6541277501860696e-06,0.20807250106107433,0.0053394241189888
Classical,4000,0.49773858323403497,0.50302381611262,0,0.0,0.01,True,2.671585363038295e-06,,0.005285232878585067
PPI,4000,0.4992089993296345,0.5045228726159123,1,0.0,0.01,True,2.7322703042944875e-06,,0.005313873286277859
Tuned PPI,4000,0.499270913508757,0.5042998552553475,1,0.0,0.01,True,2.6772339997686398e-06,0.0,0.005028941746590465
Classical,4000,0.4992712278372629,0.5042995409268415,1,0.0,0.01,True,2.6772339997686398e-06,,0.005028313089578573
PPI,4000,0.49632692702020836,0.5014045043484275,2,0.0,0.01,True,2.457341602456062e-06,,0.005077577328219174
Tuned PPI,4000,0.4964125071965982,0.5014628742294253,2,0.0,0.01,True,2.08175054385634e-06,0.034689074804967225,0.0050503670328270744
Classical,4000,0.496361443428519,0.5015191109362732,2,0.0,0.01,True,2.0688421448132545e-06,,0.0051576675077542045
PPI,4000,0.49649802741004967,0.501596158282459,3,0.0,0.01,True,4.5727495248194923e-07,,0.00509813087240929
Tuned PPI,4000,0.4964473938031592,0.5015146445144603,3,0.0,0.01,True,5.342773392408124e-07,0.03870917795032308,0.005067250711301041
Classical,4000,0.496348747016516,0.5016079700017282,3,0.0,0.01,True,5.388272589099695e-07,,0.0052592229852121974
PPI,4000,0.5008688998471358,0.5061061447483293,4,0.0,0.01,False,7.462458304056515e-06,,0.005237244901193483
Tuned PPI,4000,0.5011022124637976,0.5063099599081649,4,0.0,0.01,False,7.816105487516472e-06,0.0,0.00520774744436725
Classical,4000,0.5011025379683581,0.5063096344036043,4,0.0,0.01,False,7.816105487516472e-06,,0.005207096435246195
PPI,4000,0.49691465507534727,0.5024279381323907,5,0.0,0.01,True,1.1124160767425989e-06,,0.005513283057043461
Tuned PPI,4000,0.4969089328150055,0.502411519247251,5,0.0,0.01,True,1.1188393546620797e-06,0.35159725345362564,0.005502586432245549
Classical,4000,0.4969654271279162,0.5023430188686954,5,0.0,0.01,True,1.122375095253907e-06,,0.005377591740779175
PPI,4000,0.49786110359551383,0.5029525785858715,6,0.0,0.01,True,2.13993204365896e-06,,0.0050914749903576695
Tuned PPI,4000,0.4977455480548695,0.5030920244426421,6,0.0,0.01,True,2.23705124986598e-06,0.0,0.005346476387772636
Classical,4000,0.49774588223053096,0.5030916902669806,6,0.0,0.01,True,2.23705124986598e-06,,0.005345808036449684
PPI,4000,0.5010681592223278,0.5062416085881949,7,0.0,0.01,False,7.758412701425747e-06,,0.0051734493658670555
Tuned PPI,4000,0.5010904435533242,0.5062354451668366,7,0.0,0.01,False,8.061123014529318e-06,0.17246177431229787,0.00514500161351239
Classical,4000,0.5011245320112512,0.5062047163611814,7,0.0,0.01,False,8.128094463504038e-06,,0.0050801843499301835
PPI,4000,0.49880397675321175,0.5042210827288962,8,0.0,0.01,True,1.1872303571234738e-06,,0.005417105975684455
Tuned PPI,4000,0.4988731351986,0.504096773246717,8,0.0,0.01,True,1.1536059671538445e-06,0.0,0.005223638048116985
Classical,4000,0.4988734616963854,0.5040964467489316,8,0.0,0.01,True,1.1536059671538267e-06,,0.005222985052546203
PPI,4000,0.49623082888960335,0.5014271923781045,9,0.0,0.01,True,7.803658722760428e-07,,0.005196363488501166
Tuned PPI,4000,0.4964162435653817,0.5015763417967558,9,0.0,0.01,True,6.590310290800221e-07,0.0589120999720045,0.005160098231374088
Classical,4000,0.49648163297266984,0.5015318961008659,9,0.0,0.01,True,6.52861298749292e-07,,0.005050263128196064
PPI,5000,0.4982583099795647,0.5028474573227758,0,0.0,0.01,True,1.9308521702389395e-06,,0.004589147343211086
Tuned PPI,5000,0.4983251992756708,0.5028913769869418,0,0.0,0.01,True,1.682377106958302e-06,0.12010036453735191,0.004566177711270936
Classical,5000,0.49839450576907446,0.5028371951691112,0,0.0,0.01,True,1.6505685166330945e-06,,0.004442689400036726
PPI,5000,0.4996125974199179,0.5043082437137512,1,0.0,0.01,True,2.3485499621717074e-06,,0.004695646293833233
Tuned PPI,5000,0.49958172449191374,0.504450915432585,1,0.0,0.01,True,2.3523077749851793e-06,0.0,0.004869190940671286
Classical,5000,0.49958196796363497,0.5044506719608638,1,0.0,0.01,True,2.3523077749852238e-06,,0.004868703997228829
PPI,5000,0.496996116124562,0.5015366083312648,2,0.0,0.01,True,1.8392990108372505e-06,,0.004540492206702773
Tuned PPI,5000,0.49695637912234203,0.5015834845515467,2,0.0,0.01,True,1.8015741174352172e-06,0.0,0.0046271054292046365
Classical,5000,0.4969566104891824,0.5015832531847063,2,0.0,0.01,True,1.8015741174352172e-06,,0.00462664269552393
PPI,5000,0.49744307767422874,0.5022103188210697,3,0.0,0.01,True,1.0358679460122512e-06,,0.0047672411468409615
Tuned PPI,5000,0.4975573505912058,0.502184787239599,3,0.0,0.01,True,8.326222239698162e-07,0.0,0.004627436648393213
Classical,5000,0.497557581974608,0.5021845558561968,3,0.0,0.01,True,8.326222239698947e-07,,0.004626973881588836
