method,p,n,trial,std,lambda,theta,error,error_max,error_min
PPI,2,10,0,1.0,0.06863463569774357,0.4814839071526159,0.05937622064898715,0.08328685707352747,0.035465584224446824
Classical,2,10,0,1.0,,0.4814839071526159,0.017286741094009822,0.03196375923441514,0.0026097229536045023
PPI,2,10,1,1.0,0.025449183753267334,0.4814839071526159,0.11568027794804234,0.21735997789460632,0.014000578001478355
Classical,2,10,1,1.0,,0.4814839071526159,0.1096978516922991,0.2111255052113211,0.008270198173277121
PPI,2,10,2,1.0,0.6435229301772707,0.4814839071526159,1.693282271357125,3.181567047303333,0.20499749541091697
Classical,2,10,2,1.0,,0.4814839071526159,0.031541423675091156,0.05537530814933055,0.007707539200851762
PPI,2,10,3,1.0,0.613292226973475,0.4814839071526159,1.1267831742971621,2.0176579425896244,0.2359084060046997
Classical,2,10,3,1.0,,0.4814839071526159,0.21682637954585673,0.42422329395634334,0.009429465135370105
PPI,2,10,4,1.0,0.17505521259953258,0.4814839071526159,1.1177115743098425,1.6046662092456208,0.6307569393740641
Classical,2,10,4,1.0,,0.4814839071526159,0.7293373749701803,1.167640745354795,0.2910340045855655
PPI,2,10,5,1.0,0.19711706765564868,0.4814839071526159,0.19281758757662895,0.3620028220305263,0.023632353122731615
Classical,2,10,5,1.0,,0.4814839071526159,0.05406929138117078,0.10476292794583629,0.003375654816505278
PPI,2,10,6,1.0,0.26188178902005005,0.4814839071526159,0.13281845883033927,0.24627886150981101,0.01935805615086752
Classical,2,10,6,1.0,,0.4814839071526159,0.04526359298084745,0.0704799791164727,0.020047206845222203
PPI,2,10,7,1.0,0.7426339382399912,0.4814839071526159,3.7658230034228772,6.454028039967354,1.0776179668784003
Classical,2,10,7,1.0,,0.4814839071526159,0.07447611995305643,0.09107530313679811,0.05787693676931475
PPI,2,10,8,1.0,0.17830749197275056,0.4814839071526159,0.09158467495342112,0.18274026793560205,0.0004290819712402101
Classical,2,10,8,1.0,,0.4814839071526159,0.13464809231194383,0.1872377645897383,0.08205842003414937
PPI,2,10,9,1.0,0.7289336290516037,0.4814839071526159,0.985956103852719,1.8653750995989633,0.10653710810647485
