method,p,n,trial,std,lambda,theta,error,error_max,error_min
PPI,2,10,0,1.0,0.6071766487677961,0.4831898269944497,0.03456129585162146,0.06762793958759365,0.0014946521156492636
Classical,2,10,0,1.0,,0.4831898269944497,0.2324268198243937,0.45871825718212494,0.006135382466662438
PPI,2,10,1,1.0,1.0,0.4831898269944497,0.00020653007501649228,0.00038565057686491735,2.740957316806718e-05
Classical,2,10,1,1.0,,0.4831898269944497,0.09145790928184896,0.18257694538305883,0.00033887318063909055
PPI,2,10,2,1.0,0.30707883344650405,0.4831898269944497,0.12288677801526582,0.24366704146040402,0.002106514570127619
Classical,2,10,2,1.0,,0.4831898269944497,0.25084754078331845,0.49763225950808215,0.004062822058554785
PPI,2,10,3,1.0,0.37029522426678413,0.4831898269944497,0.017425189177580368,0.03423518803107787,0.000615190324082869
Classical,2,10,3,1.0,,0.4831898269944497,0.04133915906855931,0.08060994943317504,0.002068368703943591
PPI,2,10,4,1.0,0.6095010137413276,0.4831898269944497,0.022582181206251023,0.026536186441752724,0.018628175970749325
Classical,2,10,4,1.0,,0.4831898269944497,0.13623774045545609,0.16777400795765762,0.10470147295325456
PPI,2,10,5,1.0,1.0,0.4831898269944497,0.0002169334493201163,0.0003603440654895735,7.352283315065904e-05
Classical,2,10,5,1.0,,0.4831898269944497,0.17249561888230286,0.23577142860556186,0.10921980915904388
PPI,2,10,6,1.0,0.6641330839273736,0.4831898269944497,0.003843532488788124,0.007563473526276047,0.00012359145130020024
Classical,2,10,6,1.0,,0.4831898269944497,0.039874094691706045,0.07973602821456034,1.2161168851755534e-05
PPI,2,10,7,1.0,0.871420424657595,0.4831898269944497,0.00010063956359018206,0.00015485362826511418,4.642549891524995e-05
Classical,2,10,7,1.0,,0.4831898269944497,0.0027676898742729668,0.005199823924737713,0.0003355558238082212
PPI,2,10,8,1.0,1.0,0.4831898269944497,0.00019559689386252458,0.0003300593501002889,6.113443762476028e-05
Classical,2,10,8,1.0,,0.4831898269944497,0.003379857099487395,0.006745793030170795,1.3921168803995014e-05
PPI,2,10,9,1.0,0.4024449175997766,0.4831898269944497,0.05856378476265588,0.11186206838970066,0.005265501135611101
Classical,2,10,9,1.0,,0.4831898269944497,0.16967827642547745,0.3223188678901587,0.017037684960796204
PPI,2,10,10,1.0,0.599778084012411,0.4831898269944497,0.008348866475664359,0.015947753613675456,0.0007499793376532622
Classical,2,10,10,1.0,,0.4831898269944497,0.047229059151661895,0.09173806286790921,0.0027200554354145853
PPI,2,10,11,1.0,0.786749148624423,0.4831898269944497,0.0039692910889963014,0.0077230402971298255,0.00021554188086277796
Classical,2,10,11,1.0,,0.4831898269944497,0.06048946605622306,0.11901763249235581,0.0019612996200903134
PPI,2,10,12,1.0,0.44695575594016546,0.4831898269944497,0.017117957312874077,0.018149952473882482,0.016085962151865675
Classical,2,10,12,1.0,,0.4831898269944497,0.05943645501252391,0.06876095128473951,0.05011195874030832
PPI,2,10,13,1.0,0.16173723475322094,0.4831898269944497,0.03539222905740268,0.052341768913178544,0.018442689201626814
Classical,2,10,13,1.0,,0.4831898269944497,0.05103643663156593,0.07514915639765964,0.026923716865472215
PPI,2,10,14,1.0,0.2233907470040354,0.4831898269944497,0.1946555841353884,0.3803589566409698,0.008952211629806967
Classical,2,10,14,1.0,,0.4831898269944497,0.3222725922764433,0.630688112138549,0.013857072414337512
PPI,2,10,15,1.0,0.9885790379784383,0.4831898269944497,0.00045608980566075953,0.0008512120806612278,6.0967530660291304e-05
Classical,2,10,15,1.0,,0.4831898269944497,0.23578648230613525,0.4180905191199087,0.053482445492361794
PPI,2,10,16,1.0,0.6225878503975059,0.4831898269944497,0.013317482805055932,0.023391600558547145,0.00324336505156472
Classical,2,10,16,1.0,,0.4831898269944497,0.09326050834237243,0.15098122161432861,0.035539795070416234
PPI,2,10,17,1.0,0.7213112142507618,0.4831898269944497,0.06151274794437406,0.0761749744942209,0.046850521394527216
Classical,2,10,17,1.0,,0.4831898269944497,0.7078663676420894,0.8638252091172355,0.5519075261669434
PPI,2,10,18,1.0,0.9141082275466454,0.4831898269944497,0.001046695997727179,0.002047408635309678,4.598336014467991e-05
Classical,2,10,18,1.0,,0.4831898269944497,0.2841058444110723,0.5473723902959565,0.020839298526188064
PPI,2,10,19,1.0,0.6122569563639237,0.4831898269944497,0.0031932438212942133,0.0034350661589585283,0.0029514214836298984
Classical,2,10,19,1.0,,0.4831898269944497,0.023762364418294414,0.02498398470698547,0.02254074412960336
PPI,2,10,20,1.0,1.0,0.4831898269944497,0.00022913955592837308,0.0003989368057907625,5.934230606598371e-05
Classical,2,10,20,1.0,,0.4831898269944497,0.07506330610324918,0.10391802227239033,0.04620858993410802
PPI,2,10,21,1.0,0.7112580728392676,0.4831898269944497,0.0069224393589005315,0.012206940380955605,0.0016379383368454582
Classical,2,10,21,1.0,,0.4831898269944497,0.07615954297431975,0.14245220794687358,0.009866878001765925
PPI,2,10,22,1.0,1.0,0.4831898269944497,7.98681642973906e-05,0.0001482324818456769,1.1503846749104294e-05
Classical,2,10,22,1.0,,0.4831898269944497,0.19821271669584148,0.23742050348016205,0.1590049299115209
PPI,2,10,23,1.0,0.30306341586412283,0.4831898269944497,0.002397070448701599,0.004763163055569972,3.097784183322626e-05
Classical,2,10,23,1.0,,0.4831898269944497,0.005347231112012485,0.010401093207666598,0.00029336901635837286
PPI,2,10,24,1.0,0.4702758782492514,0.4831898269944497,0.013139503897246302,0.024995897297084527,0.0012831104974080768
Classical,2,10,24,1.0,,0.4831898269944497,0.052229635124606946,0.09807071569776357,0.006388554551450321
PPI,2,10,25,1.0,0.39430811209188654,0.4831898269944497,0.004503012558674204,0.007178449000012918,0.0018275761173354888
Classical,2,10,25,1.0,,0.4831898269944497,0.013573092450025349,0.02028774602022102,0.006858438879829675
PPI,2,10,26,1.0,0.5534192403477177,0.4831898269944497,0.018053466950109565,0.018133841367715866,0.017973092532503263
Classical,2,10,26,1.0,,0.4831898269944497,0.08617844968347474,0.09459285943556102,0.07776403993138845
PPI,2,10,27,1.0,0.9361298230663054,0.4831898269944497,0.005084545961872556,0.006702252556836178,0.003466839366908933
Classical,2,10,27,1.0,,0.4831898269944497,1.0135754562401547,1.5939480182087196,0.43320289427158987
PPI,2,10,28,1.0,0.7898906650016209,0.4831898269944497,0.011374798066054839,0.018316890425457345,0.004432705706652332
Classical,2,10,28,1.0,,0.4831898269944497,0.2596506056638612,0.37021362099600824,0.14908759033171418
PPI,2,10,29,1.0,0.5014948589477383,0.4831898269944497,0.00012050781359779106,0.00017419309629630408,6.682253089927802e-05
Classical,2,10,29,1.0,,0.4831898269944497,0.0013294038879365932,0.0021390744233379627,0.0005197333525352236
PPI,2,100,0,1.0,1.0,0.4831898269944497,0.0002244052823636372,0.00041705651322587945,3.1754051501394926e-05
Classical,2,100,0,1.0,,0.4831898269944497,0.005219438516569466,0.010408129978993543,3.074705414538823e-05
PPI,2,100,1,1.0,1.0,0.4831898269944497,0.0001856975991787339,0.0003216791007988307,4.971609755863711e-05
Classical,2,100,1,1.0,,0.4831898269944497,0.005500859386815199,0.01048952580995695,0.0005121929636734487
PPI,2,100,2,1.0,0.9918883920196344,0.4831898269944497,0.00016366020699934604,0.0002764283306791617,5.08920833195304e-05
Classical,2,100,2,1.0,,0.4831898269944497,0.0004912558611639263,0.0007890371232239843,0.0001934745991038684
PPI,2,100,3,1.0,0.9928483486085612,0.4831898269944497,0.00017560541374281807,0.0003022114919456962,4.8999335539939966e-05
Classical,2,100,3,1.0,,0.4831898269944497,0.032510475656643514,0.03770609069215183,0.02731486062113521
PPI,2,100,4,1.0,0.8648789570340867,0.4831898269944497,0.00016639785078695726,0.00020048258876991716,0.00013231311280399732
Classical,2,100,4,1.0,,0.4831898269944497,0.01028698766538932,0.02044269785915025,0.00013127747162838886
PPI,2,100,5,1.0,1.0,0.4831898269944497,0.0001644900105517661,0.0002611938688127132,6.778615229081903e-05
Classical,2,100,5,1.0,,0.4831898269944497,0.033208686680461806,0.06443840652080639,0.0019789668401172297
PPI,2,100,6,1.0,0.9573917708427245,0.4831898269944497,0.00025769494690860376,0.00043227552805773353,8.311436575947394e-05
Classical,2,100,6,1.0,,0.4831898269944497,0.008776581400834944,0.009561131614127041,0.007992031187542848
PPI,2,100,7,1.0,0.9029204917168291,0.4831898269944497,0.000797656919156635,0.0009739344883322662,0.0006213793499810038
Classical,2,100,7,1.0,,0.4831898269944497,0.03394142115125453,0.042586441421704445,0.025296400880804617
PPI,2,100,8,1.0,1.0,0.4831898269944497,0.00021954977797641076,0.0003473455877194779,9.175396823334361e-05
Classical,2,100,8,1.0,,0.4831898269944497,0.012166392302472255,0.023602876020485546,0.0007299085844589636
PPI,2,100,9,1.0,1.0,0.4831898269944497,0.0001358732922844884,0.00023722445306722115,3.452213150175562e-05
Classical,2,100,9,1.0,,0.4831898269944497,0.007350096916043013,0.014699893062913546,3.0076917247974636e-07
PPI,2,100,10,1.0,1.0,0.4831898269944497,0.0001403824970330954,0.00021117817062661206,6.958682343957875e-05
Classical,2,100,10,1.0,,0.4831898269944497,0.02757312580745838,0.05448707998619313,0.0006591716287236279
PPI,2,100,11,1.0,1.0,0.4831898269944497,0.00015996523456015822,0.00027216155195923975,4.7768917161076714e-05
Classical,2,100,11,1.0,,0.4831898269944497,0.003726316339844278,0.006118083438191919,0.001334549241496637
PPI,2,100,12,1.0,1.0,0.4831898269944497,0.00016967723406281516,0.00026444417992363325,7.491028820199707e-05
Classical,2,100,12,1.0,,0.4831898269944497,0.009132424111376151,0.009931236790636025,0.00833361143211628
PPI,2,100,13,1.0,1.0,0.4831898269944497,0.00018285652418228011,0.000343705786614114,2.2007261750446253e-05
Classical,2,100,13,1.0,,0.4831898269944497,0.015772888096540743,0.021656426156192204,0.009889350036889283
PPI,2,100,14,1.0,0.5228086350127757,0.4831898269944497,0.004736472934906354,0.006475118794609409,0.0029978270752032995
Classical,2,100,14,1.0,,0.4831898269944497,0.017407980137755318,0.022774419894653165,0.01204154038085747
PPI,2,100,15,1.0,1.0,0.4831898269944497,0.0001628773796117303,0.0003043114451486328,2.1443314074827833e-05
Classical,2,100,15,1.0,,0.4831898269944497,0.02192691516809428,0.04149326147574929,0.002360568860439267
PPI,2,100,16,1.0,0.7433381202865587,0.4831898269944497,0.00027133280677761184,0.0005404030106282081,2.2626029270155493e-06
Classical,2,100,16,1.0,,0.4831898269944497,0.004539522862306702,0.005625198094765883,0.0034538476298475213
PPI,2,100,17,1.0,1.0,0.4831898269944497,0.00018008063884312732,0.0003237421973747595,3.641908031149514e-05
Classical,2,100,17,1.0,,0.4831898269944497,0.013859233551859904,0.02597358902996685,0.0017448780737529563
PPI,2,100,18,1.0,1.0,0.4831898269944497,0.00018955756185027586,0.0002907149704629444,8.84001532376073e-05
Classical,2,100,18,1.0,,0.4831898269944497,0.025264766399681615,0.03957280798920116,0.010956724810162067
PPI,2,100,19,1.0,0.9833017344657624,0.4831898269944497,0.0002471897567613909,0.00043267691833329575,6.1702595189486e-05
Classical,2,100,19,1.0,,0.4831898269944497,0.02784907601700431,0.04479899109088478,0.010899160943123841
PPI,2,100,20,1.0,1.0,0.4831898269944497,0.00024533281742524654,0.0004192841713050333,7.138146354545977e-05
Classical,2,100,20,1.0,,0.4831898269944497,0.02056062680189026,0.021428581802351472,0.019692671801429047
PPI,2,100,21,1.0,1.0,0.4831898269944497,0.00018339308774105356,0.0003007179620159198,6.606821346618728e-05
Classical,2,100,21,1.0,,0.4831898269944497,0.0063401716106890795,0.01137871529404664,0.001301627927331519
