method,p,n,trial,std,theta,error,error_max,error_min
PPI,50,1000,0,1.0,0.1341110226858755,0.0008214724842298048,0.005783866861152711,6.424171615538977e-08
Classical,50,1000,0,1.0,0.1341110226858755,0.0008214724842298058,0.005783866861152593,6.424171615612141e-08
PPI,50,1000,1,1.0,0.1341110226858755,0.0011113271943613676,0.005918118438117079,3.133059401500246e-07
Classical,50,1000,1,1.0,0.1341110226858755,0.0011113271943613606,0.005918118438116977,3.133059401516403e-07
PPI,50,1000,2,1.0,0.1341110226858755,0.0010648509840285596,0.005585556524295959,5.315311382476768e-08
Classical,50,1000,2,1.0,0.1341110226858755,0.0010648509840285587,0.0055855565242960755,5.3153113824998046e-08
PPI,50,1000,3,1.0,0.1341110226858755,0.0008940871278704986,0.005557462201087288,5.420391707844111e-07
Classical,50,1000,3,1.0,0.1341110226858755,0.0008940871278705085,0.005557462201087868,5.420391707852285e-07
PPI,50,1000,4,1.0,0.1341110226858755,0.0006631141894536188,0.0026327015871479786,1.9375572134948537e-07
Classical,50,1000,4,1.0,0.1341110226858755,0.0006631141894536177,0.00263270158714791,1.9375572134963199e-07
PPI,50,1000,5,1.0,0.1341110226858755,0.0012751393166527006,0.009616069117835207,6.251569370700625e-07
Classical,50,1000,5,1.0,0.1341110226858755,0.0012751393166526856,0.00961606911783496,6.251569370700625e-07
PPI,50,1000,6,1.0,0.1341110226858755,0.0009890160766224169,0.004911824631925032,6.970089450003996e-12
Classical,50,1000,6,1.0,0.1341110226858755,0.0009890160766223921,0.0049118246319248835,6.970089458211053e-12
PPI,50,1000,7,1.0,0.1341110226858755,0.0014877453703003715,0.008436418451907138,1.7503885324552827e-06
Classical,50,1000,7,1.0,0.1341110226858755,0.0014877453703003648,0.008436418451907004,1.7503885324517575e-06
PPI,50,1000,8,1.0,0.1341110226858755,0.0011952784228650003,0.00855910796176195,3.4288831327674874e-07
Classical,50,1000,8,1.0,0.1341110226858755,0.0011952784228650326,0.008559107961762668,3.4288831327466837e-07
PPI,50,1000,9,1.0,0.1341110226858755,0.0015479231879651975,0.010246646660188138,2.3639665294354153e-06
Classical,50,1000,9,1.0,0.1341110226858755,0.0015479231879651993,0.01024664666018798,2.3639665294367808e-06
PPI,100,1000,0,1.0,0.057686964705902816,0.0009667323934028295,0.0064425521175441175,1.3960608857446983e-07
Classical,100,1000,0,1.0,0.057686964705902816,0.0009667323934028166,0.0064425521175436005,1.396060885743039e-07
PPI,100,1000,1,1.0,0.057686964705902816,0.0013591345303109988,0.012225929204434535,1.43666917145835e-07
Classical,100,1000,1,1.0,0.057686964705902816,0.0013591345303109958,0.012225929204434436,1.436669171460033e-07
PPI,100,1000,2,1.0,0.057686964705902816,0.001055759142297682,0.011108922601402345,1.2223763038891387e-08
Classical,100,1000,2,1.0,0.057686964705902816,0.0010557591422976906,0.011108922601402964,1.2223763039007998e-08
PPI,100,1000,3,1.0,0.057686964705902816,0.000972089096745481,0.005940881432976508,3.323524751944831e-08
Classical,100,1000,3,1.0,0.057686964705902816,0.0009720890967454915,0.0059408814329763035,3.323524751932687e-08
PPI,100,1000,4,1.0,0.057686964705902816,0.0010697135164419109,0.0066960196423140736,3.07046322368253e-08
Classical,100,1000,4,1.0,0.057686964705902816,0.0010697135164419076,0.006696019642314001,3.0704632236168725e-08
PPI,100,1000,5,1.0,0.057686964705902816,0.0008183650319525919,0.006749728262877295,4.832023917784048e-10
Classical,100,1000,5,1.0,0.057686964705902816,0.0008183650319526061,0.006749728262877227,4.832023919004286e-10
PPI,100,1000,6,1.0,0.057686964705902816,0.000998635097894558,0.005838649742897332,5.860633086191901e-07
Classical,100,1000,6,1.0,0.057686964705902816,0.0009986350978945734,0.005838649742897264,5.860633086209749e-07
PPI,100,1000,7,1.0,0.057686964705902816,0.0009146473329440604,0.005698878146546921,1.2365219697816998e-07
Classical,100,1000,7,1.0,0.057686964705902816,0.0009146473329440638,0.005698878146546921,1.236521969757495e-07
PPI,100,1000,8,1.0,0.057686964705902816,0.0010198732666086858,0.00920207056880314,1.217553209122566e-07
Classical,100,1000,8,1.0,0.057686964705902816,0.0010198732666086771,0.009202070568803055,1.2175532091065615e-07
PPI,100,1000,9,1.0,0.057686964705902816,0.0010944628967740743,0.006274657854593272,2.181240593687046e-09
Classical,100,1000,9,1.0,0.057686964705902816,0.00109446289677406,0.006274657854593484,2.1812405934277882e-09
PPI,200,1000,0,1.0,-0.02460834269929101,0.0013094351138670595,0.009975918377164852,2.1501251582091493e-08
Classical,200,1000,0,1.0,-0.02460834269929101,0.0013094351138670623,0.009975918377165228,2.1501251582905468e-08
PPI,200,1000,1,1.0,-0.02460834269929101,0.0011952781138544666,0.011815074645286996,8.95068683378288e-09
Classical,200,1000,1,1.0,-0.02460834269929101,0.0011952781138544729,0.01181507464528767,8.950686833562305e-09
PPI,200,1000,2,1.0,-0.02460834269929101,0.0012603635142979337,0.011343656882832351,2.7286422966987475e-09
Classical,200,1000,2,1.0,-0.02460834269929101,0.0012603635142979391,0.011343656882831784,2.7286422965711603e-09
PPI,200,1000,3,1.0,-0.02460834269929101,0.0015684513013179673,0.014836891090184965,1.598429829404312e-07
Classical,200,1000,3,1.0,-0.02460834269929101,0.001568451301317964,0.014836891090184752,1.598429829400761e-07
PPI,200,1000,4,1.0,-0.02460834269929101,0.001244555931695727,0.006836264223712634,8.644396815929399e-08
Classical,200,1000,4,1.0,-0.02460834269929101,0.00124455593169573,0.006836264223712156,8.644396816128516e-08
PPI,200,1000,5,1.0,-0.02460834269929101,0.0012002835860403125,0.011131267216118202,1.3394507715582646e-08
Classical,200,1000,5,1.0,-0.02460834269929101,0.0012002835860403325,0.011131267216118483,1.339450771581393e-08
PPI,200,1000,6,1.0,-0.02460834269929101,0.0014156333395143994,0.009999610822871778,2.4312201356791583e-08
Classical,200,1000,6,1.0,-0.02460834269929101,0.0014156333395143955,0.009999610822871602,2.4312201357553267e-08
PPI,200,1000,7,1.0,-0.02460834269929101,0.0012379349068115113,0.01012133688165922,7.645912720451754e-08
Classical,200,1000,7,1.0,-0.02460834269929101,0.001237934906811501,0.010121336881659285,7.645912720519676e-08
PPI,200,1000,8,1.0,-0.02460834269929101,0.0011250917626357743,0.008179871614960024,6.468362917625492e-10
Classical,200,1000,8,1.0,-0.02460834269929101,0.0011250917626357717,0.008179871614959491,6.468362917427839e-10
PPI,200,1000,9,1.0,-0.02460834269929101,0.0011485837813153472,0.010229156419520553,1.6170122146995798e-10
Classical,200,1000,9,1.0,-0.02460834269929101,0.001148583781315351,0.010229156419521115,1.6170122150242893e-10
