method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
PPI,1000,0.491554151590938,0.5020189944035326,0,0.0,0.01,True,7.530012825689449e-06,,0.010464842812594577
Tuned PPI,1000,0.491554151590938,0.5020189944035326,0,0.0,0.01,True,7.530012825689449e-06,1.0,0.010464842812594577
Classical,1000,0.4478454523060065,0.5586840764112115,0,0.0,0.01,True,9.789273830344524e-05,,0.11083862410520506
PPI,1000,0.491946552713611,0.5024313176137591,1,0.0,0.01,True,7.0501268466559294e-06,,0.010484764900148158
Tuned PPI,1000,0.491946552713611,0.5024313176137591,1,0.0,0.01,True,7.0501268466559294e-06,1.0,0.010484764900148158
Classical,1000,0.4832588413205466,0.5854905082711667,1,0.0,0.01,True,0.0005928927865929966,,0.10223166695062008
PPI,1000,0.4921970639172635,0.5026667159937384,2,0.0,0.01,True,6.342795245570892e-06,,0.010469652076474878
Tuned PPI,1000,0.4921970639172635,0.5026667159937384,2,0.0,0.01,True,6.342795245570892e-06,1.0,0.010469652076474878
Classical,1000,0.4283634581161455,0.5316397621020401,2,0.0,0.01,True,0.00025977486674277916,,0.1032763039858946
PPI,1000,0.49278885824687757,0.5032692626645088,3,0.0,0.01,True,6.100414565843094e-06,,0.010480404417631206
Tuned PPI,1000,0.49269091390412967,0.5032527344039266,3,0.0,0.01,True,6.613689390150388e-06,0.9756606175129409,0.010561820499796926
Classical,1000,0.4460196609956621,0.5453352755440001,3,0.0,0.01,True,4.492391434052455e-05,,0.09931561454833798
PPI,1000,0.4926658241050099,0.5031397854640997,4,0.0,0.01,True,4.029465344079092e-06,,0.010473961359089734
Tuned PPI,1000,0.49288357808407085,0.503313979945907,4,0.0,0.01,True,4.05805262407568e-06,0.9878373112705292,0.010430401861836136
Classical,1000,0.4633323549837332,0.5646987328152021,4,0.0,0.01,True,0.00027957603365262867,,0.1013663778314689
PPI,1000,0.49265061501621243,0.5031350334950558,5,0.0,0.01,True,5.521191487055145e-06,,0.010484418478843405
Tuned PPI,1000,0.494761829871322,0.5085216860734808,5,0.0,0.01,True,8.773528114357086e-06,0.8988284346077355,0.013759856202158804
Classical,1000,0.4831104192408063,0.5867856515463652,5,0.0,0.01,True,0.0007271759523967389,,0.10367523230555892
PPI,1000,0.49157143547230303,0.5020578916775208,6,0.0,0.01,True,8.888981211065745e-06,,0.010486456205217765
Tuned PPI,1000,0.49414691254900034,0.5081964866362565,6,0.0,0.01,True,3.955586696738364e-06,0.8939811215998411,0.014049574087256156
Classical,1000,0.48602049918130447,0.5898024161947861,6,0.0,0.01,True,0.0007189787678765742,,0.10378191701348166
PPI,1000,0.49199311564919085,0.5024772835989879,7,0.0,0.01,True,7.682142038960248e-06,,0.010484167949797063
Tuned PPI,1000,0.49199311564919085,0.5024772835989879,7,0.0,0.01,True,7.682142038960248e-06,1.0,0.010484167949797063
Classical,1000,0.4532853255248944,0.5567772060161683,7,0.0,0.01,True,5.580028883498158e-05,,0.10349188049127389
PPI,1000,0.4922176575554411,0.5026981183506836,8,0.0,0.01,True,5.08944313422748e-06,,0.010480460795242452
Tuned PPI,1000,0.4922176575554411,0.5026981183506836,8,0.0,0.01,True,5.08944313422748e-06,1.0,0.010480460795242452
Classical,1000,0.45876991460470123,0.5627120264441587,8,0.0,0.01,True,0.00324867255519439,,0.10394211183945751
PPI,1000,0.49226139720511786,0.5027405806113618,9,0.0,0.01,True,6.691216743977269e-06,,0.010479183406243986
Tuned PPI,1000,0.49430221514601386,0.5066489416765276,9,0.0,0.01,True,1.620729117532875e-06,0.9196963833764041,0.012346726530513774
Classical,1000,0.4813383303794373,0.5877472224514458,9,0.0,0.01,True,0.0006368621272747309,,0.10640889207200854
PPI,2000,0.49299675242550717,0.5034966801621666,0,0.0,0.01,True,4.683120821478065e-06,,0.010499927736659476
Tuned PPI,2000,0.49299675242550717,0.5034966801621666,0,0.0,0.01,True,4.683120821478065e-06,1.0,0.010499927736659476
Classical,2000,0.43309921327360973,0.5111499235711561,0,0.0,0.01,True,0.0003885199287203907,,0.07805071029754634
PPI,2000,0.4922930947157591,0.5028119935077304,1,0.0,0.01,True,6.105577493862187e-06,,0.01051889879197132
Tuned PPI,2000,0.49160060680322093,0.5020703592394672,1,0.0,0.01,True,8.398455428045828e-06,0.9586440109865413,0.01046975243624626
Classical,2000,0.4438232848126701,0.5166043065110415,1,0.0,0.01,True,0.00020904822023705484,,0.07278102169837142
PPI,2000,0.49210530127271734,0.5026143024604602,2,0.0,0.01,True,6.5923433036013794e-06,,0.010509001187742895
Tuned PPI,2000,0.4922896550905668,0.5032859600789018,2,0.0,0.01,True,4.327164994542612e-06,0.9300328212862893,0.010996304988334982
Classical,2000,0.46743322429889633,0.5395208506824873,2,0.0,0.01,True,2.0729358459434693e-05,,0.07208762638359101
PPI,2000,0.49271970834919615,0.5032228453690298,3,0.0,0.01,True,7.049958492389265e-06,,0.010503137019833686
Tuned PPI,2000,0.49271970834919615,0.5032228453690298,3,0.0,0.01,True,7.049958492389265e-06,1.0,0.010503137019833686
Classical,2000,0.45099176162962806,0.5271975838885412,3,0.0,0.01,True,0.0010513246781214901,,0.07620582225891315
PPI,2000,0.4919239356649156,0.502434610731278,4,0.0,0.01,True,5.168616051394931e-06,,0.01051067506636244
Tuned PPI,2000,0.49240068891593985,0.5028885190582273,4,0.0,0.01,True,9.162617543611726e-06,0.9611260288075039,0.010487830142287435
Classical,2000,0.47365263925651474,0.5446463883775023,4,0.0,0.01,True,0.0014892710987829281,,0.0709937491209876
PPI,2000,0.4928711195341086,0.5033654293451119,5,0.0,0.01,True,4.703012821392191e-06,,0.010494309811003244
Tuned PPI,2000,0.4928711195341086,0.5033654293451119,5,0.0,0.01,True,4.703012821392191e-06,1.0,0.010494309811003244
Classical,2000,0.43590010191627054,0.5129322518918026,5,0.0,0.01,True,0.00034653871479757114,,0.07703214997553204
PPI,2000,0.49211175162132814,0.5026169376405912,6,0.0,0.01,True,5.247159016719696e-06,,0.01050518601926309
Tuned PPI,2000,0.49191162691970236,0.5023212078866548,6,0.0,0.01,True,6.986470142032879e-06,0.9744824662189026,0.010409580966952436
Classical,2000,0.45062446633842623,0.5246723115242286,6,0.0,0.01,True,0.00030283734549229637,,0.07404784518580232
PPI,2000,0.49229668801323806,0.5027956654085574,7,0.0,0.01,True,5.090528968504043e-06,,0.010498977395319298
Tuned PPI,2000,0.49229668801323806,0.5027956654085574,7,0.0,0.01,True,5.090528968504043e-06,1.0,0.010498977395319298
Classical,2000,0.47236919714485337,0.5450590336901906,7,0.0,0.01,True,0.0002902207580336278,,0.07268983654533723
PPI,2000,0.49234726634593967,0.5028647040362924,8,0.0,0.01,True,5.673906608109363e-06,,0.010517437690352682
Tuned PPI,2000,0.4922235223066429,0.503702583269055,8,0.0,0.01,True,7.174895059580736e-06,0.9084670089505893,0.011479060962412135
Classical,2000,0.4650922167388379,0.5379216968037634,8,0.0,0.01,True,6.578906677701047e-05,,0.07282948006492557
PPI,2000,0.4926917342479945,0.5031987412220987,9,0.0,0.01,True,5.398028239698504e-06,,0.010507006974104227
Tuned PPI,2000,0.4926917342479945,0.5031987412220987,9,0.0,0.01,True,5.398028239698504e-06,1.0,0.010507006974104227
Classical,2000,0.44836203800411994,0.5203704331663715,9,0.0,0.01,True,0.00012882517445426692,,0.0720083951622516
PPI,3000,0.4920553602802391,0.5025888481338737,0,0.0,0.01,True,7.53782166404988e-06,,0.010533487853634615
Tuned PPI,3000,0.4920553602802391,0.5025888481338737,0,0.0,0.01,True,7.53782166404988e-06,1.0,0.010533487853634615
Classical,3000,0.46606837914992727,0.5267594275097868,0,0.0,0.01,True,3.9804376636416554e-05,,0.0606910483598595
PPI,3000,0.4912309822523731,0.501786021753285,1,0.0,0.01,True,1.1302028556293643e-05,,0.010555039500911911
Tuned PPI,3000,0.4925356579721386,0.5029272029731109,1,0.0,0.01,True,6.309518781412383e-06,0.9718451433932016,0.01039154500097228
Classical,3000,0.5099829007169573,0.5699056854725267,1,0.0,0.01,False,0.0008999746756140072,,0.05992278475556945
PPI,3000,0.49325556332331566,0.5038002320849457,2,0.0,0.01,True,1.4367085344163097e-06,,0.010544668761630072
Tuned PPI,3000,0.4924953722395832,0.5028891998805307,2,0.0,0.01,True,4.71818400674758e-06,0.9700737470946074,0.01039382764094754
Classical,3000,0.44009927313606906,0.5011117997995639,2,0.0,0.01,True,0.001252438790727983,,0.061012526663494826
PPI,3000,0.4921091384845988,0.5026737706318045,3,0.0,0.01,True,7.354432487966187e-06,,0.01056463214720571
