method,p,n,trial,std,lambda,theta,error,error_max,error_min
PPI,50,1000,0,1.0,0.10674890088726749,0.006056885270635366,0.0009046862257197403,0.003512605844467501,2.283631436865397e-08
Classical,50,1000,0,1.0,,0.006056885270635366,0.0008690286354044001,0.004999024062807186,3.480446161601722e-08
PPI,50,1000,1,1.0,0.09585799298941992,0.006056885270635366,0.0010934969038018732,0.008609871285931986,6.275254219440682e-08
Classical,50,1000,1,1.0,,0.006056885270635366,0.0010267064472498243,0.008277760117888137,1.1053658745949167e-06
PPI,50,1000,2,1.0,0.12659628551372082,0.006056885270635366,0.0008050329417554411,0.004666386378845312,7.301155426918633e-07
Classical,50,1000,2,1.0,,0.006056885270635366,0.0009694605791519048,0.01077875862335361,1.4428051282988624e-07
PPI,50,1000,3,1.0,0.10889433987530758,0.006056885270635366,0.0013059243274916397,0.006457554608013839,8.211456292596447e-09
Classical,50,1000,3,1.0,,0.006056885270635366,0.001055367316639316,0.005400414585282086,4.21840592834404e-07
PPI,50,1000,4,1.0,0.09934213148574286,0.006056885270635366,0.0012356437334843555,0.012112069354509921,8.05291464132097e-09
Classical,50,1000,4,1.0,,0.006056885270635366,0.0010574795815706222,0.009426277231903313,1.7605447644612498e-06
PPI,50,1000,5,1.0,0.08127470043219388,0.006056885270635366,0.0010989207721576097,0.010038287147577343,1.84700308209695e-06
Classical,50,1000,5,1.0,,0.006056885270635366,0.00117764215183645,0.011417289670438386,1.0725968280527723e-07
PPI,50,1000,6,1.0,0.07319526784779808,0.006056885270635366,0.0014647576577893665,0.007901070334293004,9.503900121895348e-07
Classical,50,1000,6,1.0,,0.006056885270635366,0.0014439090618743637,0.007891980179852646,1.576944414592967e-06
PPI,50,1000,7,1.0,0.1301352518629631,0.006056885270635366,0.0013731752145223662,0.011622161980583258,4.326307792360127e-09
Classical,50,1000,7,1.0,,0.006056885270635366,0.0010505731155463919,0.009565421564447462,5.497004058701105e-07
PPI,50,1000,8,1.0,0.09724975460586571,0.006056885270635366,0.0007670232656336372,0.004411261630335238,2.7391137203760895e-07
Classical,50,1000,8,1.0,,0.006056885270635366,0.0007646526878452229,0.0037355890358180604,4.302727279976549e-07
PPI,50,1000,9,1.0,0.1045813041155046,0.006056885270635366,0.0010531405225693573,0.005734897392294268,6.988014775818976e-06
Classical,50,1000,9,1.0,,0.006056885270635366,0.0011018867264110043,0.003815370187870974,1.4940376909122075e-07
PPI,50,1000,10,1.0,0.1177664639629823,0.006056885270635366,0.0012105699403754113,0.006534776851246327,1.0784955011544266e-05
Classical,50,1000,10,1.0,,0.006056885270635366,0.0007610531402558744,0.00543621170490517,5.711131674824609e-06
PPI,50,1000,11,1.0,0.11968830981297393,0.006056885270635366,0.0010344059372895517,0.007174439035079727,5.445464656808392e-06
Classical,50,1000,11,1.0,,0.006056885270635366,0.0007192012329848736,0.0045596606859534105,3.6261810050786506e-07
PPI,50,1000,12,1.0,0.12564912713917906,0.006056885270635366,0.0014440340690999567,0.008084801780949204,1.4085429935184578e-06
Classical,50,1000,12,1.0,,0.006056885270635366,0.0012192737679496254,0.014624351722004951,1.38471076931225e-06
PPI,50,1000,13,1.0,0.09301804836041114,0.006056885270635366,0.0012151155051766036,0.00978714283064611,1.3179270641106429e-06
Classical,50,1000,13,1.0,,0.006056885270635366,0.0011986759636805025,0.00933694280295967,8.552655489480379e-11
PPI,50,1000,14,1.0,0.10941564927062265,0.006056885270635366,0.0010163440776966434,0.005023313211289183,6.421693041063845e-07
Classical,50,1000,14,1.0,,0.006056885270635366,0.0010108462409407044,0.004903314497430276,1.2488672160246196e-08
PPI,50,1000,15,1.0,0.1309991270908494,0.006056885270635366,0.0014669980173371807,0.008618260577148951,9.816127421304447e-08
Classical,50,1000,15,1.0,,0.006056885270635366,0.001081592085310129,0.00752808697317388,1.3134026781999935e-09
PPI,50,1000,16,1.0,0.12680242682014123,0.006056885270635366,0.0012086173165701704,0.007488797822334374,9.965460742687003e-08
Classical,50,1000,16,1.0,,0.006056885270635366,0.0008713197551655495,0.007057268536204374,5.5422967016471944e-08
PPI,50,1000,17,1.0,0.1072235571930388,0.006056885270635366,0.001517114816847587,0.008035712261573662,2.176442075395325e-06
Classical,50,1000,17,1.0,,0.006056885270635366,0.001265643132857458,0.01393848385165304,4.795352324991749e-07
PPI,50,1000,18,1.0,0.10355181814805864,0.006056885270635366,0.0010629516210148655,0.005076228367126184,1.6580032798863158e-09
Classical,50,1000,18,1.0,,0.006056885270635366,0.0008463349392946215,0.006869190987485263,4.060456168134803e-06
PPI,50,1000,19,1.0,0.1157890590702877,0.006056885270635366,0.0014985376259930494,0.01174209061681089,3.3056400939363495e-07
Classical,50,1000,19,1.0,,0.006056885270635366,0.0012428558797117207,0.0065708540156902044,2.964077659179442e-07
PPI,50,1000,20,1.0,0.10799003544818976,0.006056885270635366,0.0011540539449860288,0.00595317501084651,4.5234751176267335e-06
Classical,50,1000,20,1.0,,0.006056885270635366,0.0009411843028330396,0.006276980626866714,1.0525123790366709e-07
PPI,50,1000,21,1.0,0.12988353046532078,0.006056885270635366,0.001579339481556247,0.008462926051584748,5.077120069825933e-07
Classical,50,1000,21,1.0,,0.006056885270635366,0.0012704499653916413,0.007770886440651413,2.5178925704884238e-08
PPI,50,1000,22,1.0,0.11224017487204456,0.006056885270635366,0.0010068989868671325,0.0056132893258229585,1.7622062901752486e-06
Classical,50,1000,22,1.0,,0.006056885270635366,0.0011341635431121766,0.004172363101249732,6.514941237741636e-07
PPI,50,1000,23,1.0,0.16900521108194227,0.006056885270635366,0.001836926304724556,0.01166709480552378,1.370120417793246e-06
Classical,50,1000,23,1.0,,0.006056885270635366,0.0008822460104489604,0.006006647263705411,5.340382881841017e-06
PPI,50,1000,24,1.0,0.11035273732050353,0.006056885270635366,0.0010708666588116623,0.007833598344767729,6.692793311034331e-08
Classical,50,1000,24,1.0,,0.006056885270635366,0.0011417359716064711,0.005951410652266256,2.3347948348294517e-06
PPI,50,1000,25,1.0,0.1325339132488507,0.006056885270635366,0.0010411913233058818,0.00708444219409552,4.509409752451996e-07
Classical,50,1000,25,1.0,,0.006056885270635366,0.0008206441867836502,0.0050299162606325205,5.367377488321992e-07
PPI,50,1000,26,1.0,0.10335892796114285,0.006056885270635366,0.001033073548784537,0.010497387422941257,1.5965936284202156e-07
Classical,50,1000,26,1.0,,0.006056885270635366,0.001167193312288807,0.011667626330530128,7.366444112065572e-09
PPI,50,1000,27,1.0,0.12461392444531362,0.006056885270635366,0.001310267341831541,0.006874396024956553,7.607396757045032e-06
Classical,50,1000,27,1.0,,0.006056885270635366,0.0013524159560273671,0.005769066093288942,1.2302366068198682e-08
PPI,50,1000,28,1.0,0.11061580873230875,0.006056885270635366,0.0011529036070954547,0.008142836213848993,1.7291456182913464e-07
Classical,50,1000,28,1.0,,0.006056885270635366,0.0008098384772356623,0.009932279517432507,9.779775977551962e-08
PPI,50,1000,29,1.0,0.09681539389393319,0.006056885270635366,0.0012025854225621512,0.005147143024806644,1.6525847293147644e-08
Classical,50,1000,29,1.0,,0.006056885270635366,0.0009471949359964039,0.005482020766567765,9.54533778862744e-11
PPI,50,1000,30,1.0,0.1346679746539988,0.006056885270635366,0.001637161088816471,0.011115523078110659,8.368500349243035e-07
Classical,50,1000,30,1.0,,0.006056885270635366,0.0010955573287348389,0.006758153805667651,5.262381523358828e-08
PPI,50,1000,31,1.0,0.11792376368292208,0.006056885270635366,0.0010211037415079444,0.006616992840652016,7.310491999204794e-07
Classical,50,1000,31,1.0,,0.006056885270635366,0.0009966542316902425,0.00495947012827149,1.7654196714084392e-06
PPI,50,1000,32,1.0,0.11552155893710514,0.006056885270635366,0.001219292762000597,0.006967866151910534,1.9380520862043855e-07
Classical,50,1000,32,1.0,,0.006056885270635366,0.0009504717906856853,0.0077106019208043365,1.418628327904639e-07
PPI,50,1000,33,1.0,0.11979482158640993,0.006056885270635366,0.0010951938495403993,0.009557568332606282,1.307798065457368e-06
Classical,50,1000,33,1.0,,0.006056885270635366,0.0007006223849876606,0.0045522592223696395,1.2014616394069197e-08
PPI,50,1000,34,1.0,0.10528469193851388,0.006056885270635366,0.0011647446195132338,0.006523356291847616,4.3837217202039336e-10
Classical,50,1000,34,1.0,,0.006056885270635366,0.0010394791018509938,0.005076495289008553,1.4183852180869064e-06
PPI,50,1000,35,1.0,0.13238960910886138,0.006056885270635366,0.0014284276543788449,0.015035957964257798,2.494447664994777e-07
Classical,50,1000,35,1.0,,0.006056885270635366,0.000831807919078911,0.007700884029134623,9.679307779188923e-07
PPI,50,1000,36,1.0,0.13048190920281402,0.006056885270635366,0.0019464339592784785,0.015354395264389708,3.5485801444244923e-07
Classical,50,1000,36,1.0,,0.006056885270635366,0.0013468146689652688,0.009792621134609469,2.4645278882571153e-07
PPI,50,1000,37,1.0,0.10586110094282727,0.006056885270635366,0.001708280244231136,0.011090472018985977,4.068039769477398e-06
Classical,50,1000,37,1.0,,0.006056885270635366,0.0012614379442229698,0.011819216923473898,2.469064761718992e-06
PPI,50,1000,38,1.0,0.11941121901722287,0.006056885270635366,0.0007533722265988612,0.004778648117538417,3.7333552992550606e-07
Classical,50,1000,38,1.0,,0.006056885270635366,0.0007592593307647941,0.00509682213955878,7.157065158531314e-11
PPI,50,1000,39,1.0,0.10897021856901812,0.006056885270635366,0.001203422240490431,0.00737357600314336,1.113821244410557e-09
Classical,50,1000,39,1.0,,0.006056885270635366,0.0012453240646601688,0.009612720444854214,3.044866755609233e-07
PPI,50,1000,40,1.0,0.12777522772573757,0.006056885270635366,0.0015010242545002064,0.007625265762230628,7.647345154055642e-07
Classical,50,1000,40,1.0,,0.006056885270635366,0.0011919398962862442,0.007855734633196039,2.6493586471393455e-07
PPI,50,1000,41,1.0,0.09351561178547262,0.006056885270635366,0.0011537978930613168,0.006753467865803639,2.015630304582151e-06
Classical,50,1000,41,1.0,,0.006056885270635366,0.0010857047732564299,0.00852152191706087,7.472438981692389e-08
PPI,50,1000,42,1.0,0.13106658635475502,0.006056885270635366,0.0011827416664932707,0.005008185499790479,2.574758092177072e-06
Classical,50,1000,42,1.0,,0.006056885270635366,0.0007339665749204461,0.006289348375352867,1.3367848535456983e-10
PPI,50,1000,43,1.0,0.10926127080981013,0.006056885270635366,0.0011079761542458315,0.004907094338448369,4.710574657283801e-06
Classical,50,1000,43,1.0,,0.006056885270635366,0.0010576096673579607,0.006991838242899334,2.4098800691936136e-07
PPI,50,1000,44,1.0,0.12129475076304652,0.006056885270635366,0.0012453364193810163,0.007668406650161188,2.633379886001271e-06
Classical,50,1000,44,1.0,,0.006056885270635366,0.0011038990668409431,0.007505180854964316,7.876795943109803e-07
PPI,50,1000,45,1.0,0.12690317383201627,0.006056885270635366,0.0013336255397402384,0.009648502722537127,1.1582110711318467e-08
Classical,50,1000,45,1.0,,0.006056885270635366,0.0011660529156385384,0.005683365700685248,2.449508836702565e-07
PPI,50,1000,46,1.0,0.12246248553223069,0.006056885270635366,0.0013389841960827478,0.006923645523749977,2.9289189772054877e-07
Classical,50,1000,46,1.0,,0.006056885270635366,0.0011452158449313178,0.007052400488842525,1.1043008395491773e-07
PPI,50,1000,47,1.0,0.10083963917170692,0.006056885270635366,0.0011624785984104434,0.009365117470055185,1.6040302845302648e-06
Classical,50,1000,47,1.0,,0.006056885270635366,0.001128818941393862,0.008156529189564504,1.9171475448963594e-06
PPI,50,1000,48,1.0,0.12944825127322396,0.006056885270635366,0.001273485542233721,0.009745486591385981,1.688068898353611e-06
Classical,50,1000,48,1.0,,0.006056885270635366,0.0011090477435835918,0.005147123983751678,1.4419179583426124e-06
PPI,50,1000,49,1.0,0.12639767003553737,0.006056885270635366,0.0008600766839687449,0.007274364872094827,1.4201918515501116e-08
Classical,50,1000,49,1.0,,0.006056885270635366,0.0007729809186151995,0.005424808214277208,4.0624504391105574e-08
