method,p,n,trial,std,lambda,theta,error,error_max,error_min
PPI,2,10,0,1.0,0.7193110539680871,-0.27349328820169816,0.21859945745813472,0.34242547122533257,0.09477344369093686
Classical,2,10,0,1.0,,-0.27349328820169816,0.1432135892307439,0.2044491153187676,0.08197806314272016
PPI,2,10,1,1.0,0.4796128657824808,-0.27349328820169816,0.1673209860402958,0.2586101784793069,0.07603179360128469
Classical,2,10,1,1.0,,-0.27349328820169816,0.014486036892498232,0.015755041223424457,0.01321703256157201
PPI,2,10,2,1.0,0.07033411080427542,-0.27349328820169816,0.025612071093874162,0.05120326740058294,2.0874787165386086e-05
Classical,2,10,2,1.0,,-0.27349328820169816,0.015745923538556895,0.031087617286953605,0.0004042297901601832
PPI,2,10,3,1.0,0.3039213983100754,-0.27349328820169816,0.018206055099043092,0.033100459536091975,0.003311650661994211
Classical,2,10,3,1.0,,-0.27349328820169816,0.15328339064738442,0.2862032542283542,0.020363527066414665
PPI,2,10,4,1.0,0.39451664374461504,-0.27349328820169816,0.2348265341348513,0.39248009438479836,0.07717297388490425
Classical,2,10,4,1.0,,-0.27349328820169816,0.03193433118873911,0.05003273406680788,0.013835928310670346
PPI,2,10,5,1.0,0.300556117335436,-0.27349328820169816,0.480330628598837,0.9512091122165754,0.00945214498109864
Classical,2,10,5,1.0,,-0.27349328820169816,0.36757124896499793,0.7126345267005499,0.022507971229445974
PPI,2,10,6,1.0,0.11907436062445452,-0.27349328820169816,0.027929109408956213,0.05256398551219953,0.0032942333057128905
Classical,2,10,6,1.0,,-0.27349328820169816,0.02391230728674337,0.04539999842148534,0.0024246161520014037
PPI,2,10,7,1.0,0.4099102747646125,-0.27349328820169816,0.13911839524514208,0.22783716158637332,0.050399628903910816
Classical,2,10,7,1.0,,-0.27349328820169816,0.02229477046758843,0.025925237202956294,0.018664303732220566
PPI,2,10,8,1.0,0.1645540910389389,-0.27349328820169816,0.09675650475507384,0.12301691909333665,0.07049609041681104
Classical,2,10,8,1.0,,-0.27349328820169816,0.13281507792362535,0.1428393362611703,0.1227908195860804
