method,p,n,trial,std,lambda,theta,error,error_max,error_min
PPI,50,1000,0,1.0,0.5002538981292876,0.04708543814946298,0.0005648279641098235,0.003930521851800784,1.6657104666639136e-06
Classical,50,1000,0,1.0,,0.04708543814946298,0.0010771876027410678,0.006097171200960578,1.4989157026059134e-08
PPI,50,1000,1,1.0,0.48114512357209166,0.04708543814946298,0.0006494169311460658,0.003707710710438796,2.140780002010565e-06
Classical,50,1000,1,1.0,,0.04708543814946298,0.000854064690388278,0.004667219116965114,2.3030030198247507e-10
PPI,50,1000,2,1.0,0.5475492670321747,0.04708543814946298,0.0005178632298169335,0.0031400687841978366,6.891344413278545e-07
Classical,50,1000,2,1.0,,0.04708543814946298,0.000790271185602109,0.004293210819175607,1.7055654922782763e-07
PPI,50,1000,3,1.0,0.49654337082081673,0.04708543814946298,0.0006486658843232756,0.003176748558193727,4.243409956232978e-08
Classical,50,1000,3,1.0,,0.04708543814946298,0.001417461802613549,0.005912421241273574,4.5860340049263335e-08
PPI,50,1000,4,1.0,0.5196345136738075,0.04708543814946298,0.0007380902706596345,0.004326769484387054,3.4652639685858515e-10
Classical,50,1000,4,1.0,,0.04708543814946298,0.001223201217387979,0.007098126410328407,3.9511257463202376e-07
PPI,50,1000,5,1.0,0.5299304541797929,0.04708543814946298,0.0005276722420134257,0.003317782920722882,3.808118624060245e-07
Classical,50,1000,5,1.0,,0.04708543814946298,0.00119228403041905,0.005852736183309338,7.825177913517142e-08
PPI,50,1000,6,1.0,0.475594639039632,0.04708543814946298,0.0006364757194599622,0.0031535699349337855,1.2215534573287968e-08
Classical,50,1000,6,1.0,,0.04708543814946298,0.0012515065155621354,0.007494917808314872,5.152798161908516e-07
PPI,50,1000,7,1.0,0.44175764227105097,0.04708543814946298,0.0008476590981955456,0.007014895179158081,8.63970780128225e-08
Classical,50,1000,7,1.0,,0.04708543814946298,0.0011889871285799217,0.011022173998297996,1.1379279943665574e-06
PPI,50,1000,8,1.0,0.4843276208819261,0.04708543814946298,0.0007204524440557088,0.004764935281812563,6.849028386637886e-06
Classical,50,1000,8,1.0,,0.04708543814946298,0.0009899379663069457,0.008617744457488663,4.2330702458173794e-08
PPI,50,1000,9,1.0,0.48097167592406964,0.04708543814946298,0.0005029590931296224,0.004064049868230237,1.1196150357262224e-06
Classical,50,1000,9,1.0,,0.04708543814946298,0.0010405258930454933,0.010963001568571199,9.645629534862852e-07
PPI,50,1000,10,1.0,0.4657237483033055,0.04708543814946298,0.000554507181751106,0.005099042912011018,2.2465369408808395e-10
Classical,50,1000,10,1.0,,0.04708543814946298,0.0008942012002069573,0.0051887451181303135,5.545695738715041e-06
PPI,50,1000,11,1.0,0.4702115021712506,0.04708543814946298,0.0007421140235474006,0.004837995185782696,1.867824871715878e-07
Classical,50,1000,11,1.0,,0.04708543814946298,0.0012738403436042265,0.013984386089481037,6.861208601681999e-07
PPI,50,1000,12,1.0,0.49492826806573376,0.04708543814946298,0.0005253349703617564,0.0016960262868081547,2.707042221545156e-07
Classical,50,1000,12,1.0,,0.04708543814946298,0.0008352562850770759,0.0036763656103593017,1.6656939460286073e-06
PPI,50,1000,13,1.0,0.5293110062447027,0.04708543814946298,0.0007752166915469458,0.0055946283277772905,1.749827323745098e-07
Classical,50,1000,13,1.0,,0.04708543814946298,0.001260490379767337,0.010433331010377788,2.9145603799515647e-08
PPI,50,1000,14,1.0,0.5154073829619145,0.04708543814946298,0.0005019122144623943,0.0024846214198600727,1.9489999350940954e-06
Classical,50,1000,14,1.0,,0.04708543814946298,0.001071288973623694,0.007194202815829357,5.365615313612402e-07
PPI,50,1000,15,1.0,0.5123334125386839,0.04708543814946298,0.0006019374105098448,0.003983031243830148,1.2394216423558808e-07
Classical,50,1000,15,1.0,,0.04708543814946298,0.0010258245073557714,0.006622557512709532,1.7142734613430827e-07
PPI,50,1000,16,1.0,0.5251231407188834,0.04708543814946298,0.0007499366956999775,0.004489926914955096,2.177297690840553e-07
Classical,50,1000,16,1.0,,0.04708543814946298,0.001483229640855071,0.009842089182327114,7.06812268383819e-07
PPI,50,1000,17,1.0,0.49495173981432417,0.04708543814946298,0.0005892256113011803,0.0035830741055024977,8.916891411848244e-08
Classical,50,1000,17,1.0,,0.04708543814946298,0.0007288238024845253,0.004516704990811323,8.501690228558399e-07
PPI,50,1000,18,1.0,0.46455738587138534,0.04708543814946298,0.0007324125222128916,0.004318528988522962,7.994879595948058e-08
Classical,50,1000,18,1.0,,0.04708543814946298,0.001137936198745846,0.00864862466617821,3.492499882637129e-06
