method,p,n,trial,std,lam,theta,error,error_max,error_min
PPI,10,100,13,1.0,1.0,0.01098496630976371,0.007184443093294937,0.02055750788496962,0.000628896664528838
Classical,10,100,13,1.0,,0.01098496630976371,0.007184443093294812,0.02055750788496993,0.0006288966645286265
PPI,10,100,14,1.0,1.0,0.01098496630976371,0.014137648867306599,0.059496914367882715,0.00019396865271033108
Classical,10,100,14,1.0,,0.01098496630976371,0.01413764886730658,0.05949691436788249,0.00019396865271034038
PPI,10,100,15,1.0,1.0,0.01098496630976371,0.009610335371332757,0.04556392562407044,1.1248440195138986e-06
Classical,10,100,15,1.0,,0.01098496630976371,0.009610335371332736,0.04556392562407018,1.1248440195134275e-06
PPI,10,100,16,1.0,1.0,0.01098496630976371,0.014629657572805896,0.040491830321003806,0.00023218128954908675
Classical,10,100,16,1.0,,0.01098496630976371,0.014629657572806012,0.04049183032100419,0.00023218128954903262
PPI,10,100,17,1.0,1.0,0.01098496630976371,0.009332509733291534,0.020993251905736133,3.461517517130197e-05
Classical,10,100,17,1.0,,0.01098496630976371,0.009332509733291533,0.02099325190573607,3.4615175171288905e-05
PPI,10,100,18,1.0,1.0,0.01098496630976371,0.008407296174925178,0.05756713768848405,5.596474955474809e-06
Classical,10,100,18,1.0,,0.01098496630976371,0.008407296174925104,0.057567137688483414,5.5964749554847896e-06
PPI,10,100,19,1.0,1.0,0.01098496630976371,0.007303563031814143,0.02356144049853914,0.00012792034568175688
Classical,10,100,19,1.0,,0.01098496630976371,0.00730356303181409,0.02356144049853941,0.0001279203456816715
PPI,10,100,20,1.0,1.0,0.01098496630976371,0.00939644001613722,0.05826851953910422,5.490664063743999e-06
Classical,10,100,20,1.0,,0.01098496630976371,0.009396440016137233,0.05826851953910443,5.490664063739317e-06
PPI,10,100,21,1.0,1.0,0.01098496630976371,0.010474031884329115,0.03350405684613486,0.00032464370186621017
Classical,10,100,21,1.0,,0.01098496630976371,0.010474031884329089,0.03350405684613465,0.00032464370186619017
PPI,10,100,22,1.0,1.0,0.01098496630976371,0.0067379811952892905,0.03643728931295586,4.9386752869054125e-05
Classical,10,100,22,1.0,,0.01098496630976371,0.006737981195289328,0.036437289312955985,4.938675286905881e-05
PPI,10,100,23,1.0,1.0,0.01098496630976371,0.025217683943282804,0.0895087505902623,0.00016242630146832106
Classical,10,100,23,1.0,,0.01098496630976371,0.025217683943282672,0.08950875059026216,0.00016242630146835784
PPI,10,100,24,1.0,1.0,0.01098496630976371,0.0034194806031336497,0.011463419661268672,0.0006636839918542785
Classical,10,100,24,1.0,,0.01098496630976371,0.0034194806031336345,0.011463419661268483,0.0006636839918542614
PPI,10,100,25,1.0,1.0,0.01098496630976371,0.0044556098828012905,0.020046389111746526,8.131592684845435e-05
Classical,10,100,25,1.0,,0.01098496630976371,0.004455609882801306,0.02004638911174662,8.131592684844634e-05
PPI,10,100,26,1.0,1.0,0.01098496630976371,0.012537547467572994,0.04050022101300218,3.9100393501758476e-05
Classical,10,100,26,1.0,,0.01098496630976371,0.012537547467573119,0.0405002210130024,3.910039350174251e-05
PPI,10,100,27,1.0,1.0,0.01098496630976371,0.010181495575480776,0.03142901861915876,0.0003713421158976539
Classical,10,100,27,1.0,,0.01098496630976371,0.010181495575480867,0.03142901861915888,0.0003713421158976785
PPI,10,100,28,1.0,1.0,0.01098496630976371,0.011706000318856167,0.05279370864369871,0.0008129235106810619
Classical,10,100,28,1.0,,0.01098496630976371,0.011706000318856262,0.052793708643699325,0.0008129235106810444
PPI,10,100,29,1.0,1.0,0.01098496630976371,0.004930034374375626,0.014595634723606159,0.000681037981019228
Classical,10,100,29,1.0,,0.01098496630976371,0.00493003437437571,0.014595634723606426,0.0006810379810191874
PPI,20,100,0,1.0,1.0,0.11329126126803586,0.006750736796170273,0.04427586714841419,2.4743438599523154e-07
Classical,20,100,0,1.0,,0.11329126126803586,0.006750736796170239,0.0442758671484136,2.47434385994348e-07
PPI,20,100,1,1.0,1.0,0.11329126126803586,0.0053827172102662215,0.013770005994292641,0.0001047053993619391
Classical,20,100,1,1.0,,0.11329126126803586,0.00538271721026621,0.013770005994292706,0.00010470539936193683
PPI,20,100,2,1.0,1.0,0.11329126126803586,0.016539670850208563,0.06716679239686464,0.00045704945885102625
Classical,20,100,2,1.0,,0.11329126126803586,0.016539670850208552,0.06716679239686447,0.00045704945885105
PPI,20,100,3,1.0,1.0,0.11329126126803586,0.016199011204973586,0.06512104440651899,6.829691985971598e-05
Classical,20,100,3,1.0,,0.11329126126803586,0.016199011204973614,0.06512104440651853,6.82969198597192e-05
PPI,20,100,4,1.0,1.0,0.11329126126803586,0.008920281383609063,0.040101319833104124,1.4929725470108755e-05
Classical,20,100,4,1.0,,0.11329126126803586,0.008920281383609069,0.040101319833104124,1.492972547012098e-05
PPI,20,100,5,1.0,1.0,0.11329126126803586,0.006038938050487567,0.02125535699847575,2.575957137951207e-05
Classical,20,100,5,1.0,,0.11329126126803586,0.0060389380504875245,0.021255356998474906,2.575957137952728e-05
PPI,20,100,6,1.0,1.0,0.11329126126803586,0.012371101020140166,0.05738489515997535,0.0004554333042285927
Classical,20,100,6,1.0,,0.11329126126803586,0.012371101020140144,0.057384895159975566,0.00045543330422852875
PPI,20,100,7,1.0,1.0,0.11329126126803586,0.005332718098139159,0.030777279863127838,4.3493571828774327e-07
Classical,20,100,7,1.0,,0.11329126126803586,0.005332718098139154,0.03077727986312782,4.3493571828723076e-07
PPI,20,100,8,1.0,1.0,0.11329126126803586,0.009648808069977581,0.07747763787231013,1.9314109626854386e-05
Classical,20,100,8,1.0,,0.11329126126803586,0.00964880806997756,0.0774776378723094,1.931410962686079e-05
PPI,20,100,9,1.0,1.0,0.11329126126803586,0.010569202103984121,0.09681488364205167,1.3580733178292125e-05
Classical,20,100,9,1.0,,0.11329126126803586,0.01056920210398411,0.0968148836420496,1.3580733178283943e-05
PPI,20,100,10,1.0,1.0,0.11329126126803586,0.016129753750691984,0.13377796741080833,2.535570881615627e-05
Classical,20,100,10,1.0,,0.11329126126803586,0.01612975375069187,0.1337779674108068,2.5355708816157665e-05
PPI,20,100,11,1.0,1.0,0.11329126126803586,0.009414748961246801,0.041571848469966144,4.6820466782723865e-07
Classical,20,100,11,1.0,,0.11329126126803586,0.009414748961246795,0.041571848469966095,4.682046678256813e-07
PPI,20,100,12,1.0,1.0,0.11329126126803586,0.00964837504526985,0.05516421279523989,9.753002673228234e-06
Classical,20,100,12,1.0,,0.11329126126803586,0.009648375045269773,0.05516421279524015,9.753002673222688e-06
PPI,20,100,13,1.0,1.0,0.11329126126803586,0.00753234620059461,0.06275465010821088,5.676077355707239e-05
Classical,20,100,13,1.0,,0.11329126126803586,0.007532346200594573,0.06275465010821085,5.676077355703893e-05
PPI,20,100,14,1.0,1.0,0.11329126126803586,0.020225169888530424,0.15910078954511153,2.079362795030022e-05
Classical,20,100,14,1.0,,0.11329126126803586,0.020225169888530355,0.1591007895451109,2.079362795030895e-05
PPI,20,100,15,1.0,1.0,0.11329126126803586,0.0053404915551328895,0.01682873940375819,4.361728777049367e-05
Classical,20,100,15,1.0,,0.11329126126803586,0.0053404915551328695,0.016828739403758074,4.3617287770509075e-05
PPI,20,100,16,1.0,1.0,0.11329126126803586,0.011806642814054543,0.02909009719650217,5.071092357674265e-06
Classical,20,100,16,1.0,,0.11329126126803586,0.0118066428140546,0.029090097196502258,5.071092357668765e-06
PPI,20,100,17,1.0,1.0,0.11329126126803586,0.01018980316815213,0.05444354520153143,5.316498912264509e-06
Classical,20,100,17,1.0,,0.11329126126803586,0.010189803168152102,0.05444354520153215,5.316498912276796e-06
PPI,20,100,18,1.0,1.0,0.11329126126803586,0.012899990914720438,0.0718308806089558,1.2571634081105753e-06
Classical,20,100,18,1.0,,0.11329126126803586,0.012899990914720333,0.07183088060895435,1.2571634081109332e-06
PPI,20,100,19,1.0,1.0,0.11329126126803586,0.013258406287069827,0.10376512311693546,2.933864949752401e-07
