method,p,n,trial,std,lambda,theta,error,error_max,error_min
PPI,10,100,0,1.0,0.2031622887380974,-0.20752539980739643,0.02569117994865599,0.13194353987629975,4.1663200339381765e-07
Classical,10,100,0,1.0,,-0.20752539980739643,0.010362393422275084,0.03090855718285644,3.380427807223783e-05
PPI,10,100,1,1.0,0.10212263138438135,-0.20752539980739643,0.005441252834258168,0.019463641098538056,2.1901571062600317e-05
Classical,10,100,1,1.0,,-0.20752539980739643,0.008534745028592701,0.050023209123802946,4.195312060518728e-05
PPI,10,100,2,1.0,0.1588091719705938,-0.20752539980739643,0.04183717389957127,0.1690563722711194,0.00018148974744192618
Classical,10,100,2,1.0,,-0.20752539980739643,0.0163783491693255,0.07072022039686698,5.404574348656335e-05
PPI,10,100,3,1.0,0.24366773524786875,-0.20752539980739643,0.02931131903027138,0.10589679022169073,6.788481944543551e-05
Classical,10,100,3,1.0,,-0.20752539980739643,0.010266532023359448,0.04783676532403348,0.0003983811224183515
PPI,10,100,4,1.0,0.1659703496081814,-0.20752539980739643,0.01701209165970569,0.11911992535328934,1.4635784772084866e-05
Classical,10,100,4,1.0,,-0.20752539980739643,0.011170013784590382,0.05817950492737671,0.00037083102377854816
PPI,10,100,5,1.0,0.16452816396621586,-0.20752539980739643,0.00744020350825844,0.022260611771164857,0.0003117080013685522
Classical,10,100,5,1.0,,-0.20752539980739643,0.010297076012321328,0.030403057276865535,0.00047717707118036733
PPI,10,100,6,1.0,0.17001840570865664,-0.20752539980739643,0.017690242451731984,0.10249453301202009,3.932379770907967e-06
Classical,10,100,6,1.0,,-0.20752539980739643,0.010715610557093715,0.04602187793735309,6.034705561559975e-05
PPI,10,100,7,1.0,0.20500418499192458,-0.20752539980739643,0.013879561024911505,0.0501131569858532,0.00012004173428723278
Classical,10,100,7,1.0,,-0.20752539980739643,0.005632694515869734,0.028139904514963086,5.453193467232063e-06
PPI,10,100,8,1.0,0.18462011937684622,-0.20752539980739643,0.013999315189211404,0.04596790462595163,2.9816617798178782e-05
Classical,10,100,8,1.0,,-0.20752539980739643,0.005883042356075228,0.032738943924565105,9.44873985621497e-06
PPI,10,100,9,1.0,0.24310127942133264,-0.20752539980739643,0.012537869513725569,0.05137553072344957,0.00013187619128324324
Classical,10,100,9,1.0,,-0.20752539980739643,0.0077423661003960115,0.02301332754272618,2.1916831983995255e-06
