method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
PPI,1000,0.41186776165108807,0.5195621326809019,0,0.0,0.01,True,0.0006200170917726563,,0.10769437102981383
Tuned PPI,1000,0.4118895803389674,0.519517460216992,0,0.0,0.01,True,0.0006173893614566263,0.3667341505554439,0.10762787987802458
Classical,1000,0.41581243077741664,0.5155813747996676,0,0.0,0.01,True,0.0006159354371188345,,0.09976894402225095
PPI,1000,0.48027327214864163,0.5815227343107006,1,0.0,0.01,True,0.0005253784039881284,,0.10124946216205893
Tuned PPI,1000,0.47825589484494313,0.5840088256930083,1,0.0,0.01,True,0.0005334126133621116,0.0,0.10575293084806514
Classical,1000,0.47828233969052025,0.5839823808474311,1,0.0,0.01,True,0.0005334126133621116,,0.1057000411569109
PPI,1000,0.4346607153317058,0.526433560906781,2,0.0,0.01,True,0.0007620782682701369,,0.09177284557507515
Tuned PPI,1000,0.43156309660979647,0.5303296296792299,2,0.0,0.01,True,0.0007584398260854048,0.0,0.09876653306943345
Classical,1000,0.43158779441906064,0.5303049318699657,2,0.0,0.01,True,0.0007584398260854048,,0.0987171374509051
PPI,1000,0.42126598621687134,0.5288593223176385,3,0.0,0.01,True,0.0013698427908113676,,0.10759333610076721
Tuned PPI,1000,0.4218732530766858,0.5282860196948135,3,0.0,0.01,True,0.0013638141630378463,0.0,0.10641276661812771
Classical,1000,0.4218998629224657,0.5282594098490335,3,0.0,0.01,True,0.0013638141630378476,,0.10635954692656785
PPI,1000,0.43673850278379944,0.5452823707184774,4,0.0,0.01,True,6.904010150266837e-05,,0.10854386793467796
Tuned PPI,1000,0.43932936145738616,0.5437830364169987,4,0.0,0.01,True,6.212396116934263e-05,0.0,0.1044536749596125
Classical,1000,0.439355481407747,0.5437569164666377,4,0.0,0.01,True,6.212396116934263e-05,,0.10440143505889071
PPI,1000,0.43822316070893597,0.5430115668707196,5,0.0,0.01,True,0.00020036241432149618,,0.10478840616178364
Tuned PPI,1000,0.4322117429272967,0.5486206274446402,5,0.0,0.01,True,0.00020072624862757472,0.0,0.11640888451734355
Classical,1000,0.4322408524276213,0.5485915179443156,5,0.0,0.01,True,0.00020072624862757526,,0.11635066551669432
PPI,1000,0.44732029572496634,0.557135077424962,6,0.0,0.01,True,0.00014461600019637642,,0.1098147816999957
Tuned PPI,1000,0.45138139862583093,0.5537130495197055,6,0.0,0.01,True,0.00013925352633791858,0.0,0.10233165089387453
Classical,1000,0.4514069879374824,0.5536874602080539,6,0.0,0.01,True,0.0001392535263379195,,0.10228047227057152
PPI,1000,0.4336347384136244,0.5358085163264816,7,0.0,0.01,True,0.00013189658864160944,,0.10217377791285726
Tuned PPI,1000,0.433634287721378,0.5358234661631477,7,0.0,0.01,True,0.00013203355434823007,0.8600553668688993,0.10218917844176967
Classical,1000,0.42831649947284905,0.5412303615585105,7,0.0,0.01,True,0.00013292046627065554,,0.1129138620856614
PPI,1000,0.4512186823926777,0.5565262959161087,8,0.0,0.01,True,0.001427057326086889,,0.10530761352343099
Tuned PPI,1000,0.4515057894888556,0.5567254917658258,8,0.0,0.01,True,0.0014396127192152096,0.03262148407749465,0.10521970227697014
Classical,1000,0.4508514756727911,0.5573962044614866,8,0.0,0.01,True,0.001440037957229669,,0.10654472878869553
PPI,1000,0.4112627514252315,0.5159628885810461,9,0.0,0.01,True,0.000967682309794163,,0.10470013715581461
Tuned PPI,1000,0.4112627514252315,0.5159628885810461,9,0.0,0.01,True,0.000967682309794163,1.0,0.10470013715581461
Classical,1000,0.4107976320551391,0.5162054517217955,9,0.0,0.01,True,0.0009684496745276012,,0.10540781966665647
PPI,2000,0.47567468831120363,0.5543048466633608,0,0.0,0.01,True,0.0002002083980494356,,0.07863015835215714
Tuned PPI,2000,0.47692907465835843,0.5526196567399392,0,0.0,0.01,True,0.00019446349898147232,0.0,0.07569058208158075
Classical,2000,0.47693853716407963,0.552610194234218,0,0.0,0.01,True,0.00019446349898147232,,0.07567165707013834
PPI,2000,0.4504060713073864,0.5259760743740858,1,0.0,0.01,True,7.152243317711997e-05,,0.07557000306669936
Tuned PPI,2000,0.45040543698327973,0.5252274070559061,1,0.0,0.01,True,7.55797913927249e-05,0.0,0.07482197007262636
Classical,2000,0.4504147908989245,0.5252180531402614,1,0.0,0.01,True,7.557979139272422e-05,,0.07480326224133688
PPI,2000,0.4541947464240576,0.525896141980284,2,0.0,0.01,True,0.0005763316167837606,,0.0717013955562264
Tuned PPI,2000,0.4541635208747774,0.5258982540445725,2,0.0,0.01,True,0.0005791251825568956,0.2748064713584801,0.07173473316979506
Classical,2000,0.4531074754512957,0.5269432671383883,2,0.0,0.01,True,0.0005801855732506838,,0.07383579168709264
PPI,2000,0.48578353485999437,0.5602520149825798,3,0.0,0.01,True,0.00035726813116169055,,0.07446848012258545
Tuned PPI,2000,0.4851120230392296,0.5605033908684001,3,0.0,0.01,True,0.000351675654206277,0.0,0.07539136782917044
Classical,2000,0.4851214481384929,0.5604939657691368,3,0.0,0.01,True,0.000351675654206277,,0.0753725176306439
PPI,2000,0.4639160409871972,0.534588522272418,4,0.0,0.01,True,0.0001311016175289198,,0.07067248128522086
Tuned PPI,2000,0.4637905032042875,0.5343050305061151,4,0.0,0.01,True,0.00012716508646401793,0.0,0.07051452730182761
Classical,2000,0.46379931862226526,0.5342962150881374,4,0.0,0.01,True,0.00012716508646401788,,0.07049689646587215
PPI,2000,0.43621554477682195,0.5073180537660673,5,0.0,0.01,True,0.0004935390568382605,,0.07110250898924536
Tuned PPI,2000,0.4361011531332603,0.5072016697422356,5,0.0,0.01,True,0.0004965503711735876,0.43531247093718994,0.07110051660897526
Classical,2000,0.4356931992975687,0.5074317207186737,5,0.0,0.01,True,0.0004988810845977247,,0.07173852142110498
PPI,2000,0.47834474658207005,0.5511370061787793,6,0.0,0.01,True,0.0001139132153895792,,0.07279225959670921
Tuned PPI,2000,0.47778846599943436,0.551652013133395,6,0.0,0.01,True,0.0001132530367431692,0.0,0.0738635471339606
Classical,2000,0.47779770009723266,0.5516427790355967,6,0.0,0.01,True,0.0001132530367431692,,0.073845078938364
PPI,2000,0.43475628679620343,0.5074562857364607,7,0.0,0.01,True,0.0004182822197790055,,0.0726999989402573
Tuned PPI,2000,0.4348864339093423,0.5075815925767923,7,0.0,0.01,True,0.00041448787092812276,0.45943318148235973,0.07269515866744997
Classical,2000,0.43278773473690985,0.5098974046361877,7,0.0,0.01,True,0.0004112819892757837,,0.07710966989927787
PPI,2000,0.44677742777601925,0.5212985842485983,8,0.0,0.01,True,0.00022883113540608677,,0.07452115647257906
Tuned PPI,2000,0.44719763572800597,0.5211432257822296,8,0.0,0.01,True,0.00022867525843023467,0.0,0.07394559005422363
Classical,2000,0.4472068800824515,0.521133981427784,8,0.0,0.01,True,0.00022867525843023467,,0.07392710134533248
PPI,2000,0.443827517347706,0.5178585266381945,9,0.0,0.01,True,0.00045793061983509135,,0.07403100929048856
Tuned PPI,2000,0.44381940012369747,0.5177634584364563,9,0.0,0.01,True,0.0004575506272837382,0.0350893864469239,0.07394405831275885
Classical,2000,0.443070432527201,0.518508673650889,9,0.0,0.01,True,0.0004575369234208083,,0.07543824112368802
PPI,3000,0.4890172532498531,0.5496566915083383,0,0.0,0.01,True,0.0002520102441498227,,0.06063943825848517
Tuned PPI,3000,0.48864201598895585,0.5505228644343952,0,0.0,0.01,True,0.0002587267779796496,0.0,0.061880848445439396
Classical,3000,0.48864717315612605,0.550517707267225,0,0.0,0.01,True,0.0002587267779796496,,0.061870534111098996
PPI,3000,0.4655015145213985,0.5242344448459836,1,0.0,0.01,True,1.964546067815898e-05,,0.0587329303245851
Tuned PPI,3000,0.4655766715039248,0.5243136163972913,1,0.0,0.01,True,1.9147189033065105e-05,0.7284543662165042,0.05873694489336656
Classical,3000,0.46595069253150095,0.5243536005324454,1,0.0,0.01,True,1.7844184197709908e-05,,0.05840290800094444
PPI,3000,0.4789867587137562,0.5397032073600769,2,0.0,0.01,True,6.58678637975224e-05,,0.06071644864632075
Tuned PPI,3000,0.48025761364683894,0.5386886980018281,2,0.0,0.01,True,6.730665283876991e-05,0.0,0.058431084354989116
Classical,3000,0.48026248330970756,0.5386838283389594,2,0.0,0.01,True,6.730665283876991e-05,,0.05842134502925189
PPI,3000,0.4945132628309449,0.5525010046491915,3,0.0,0.01,True,0.0008689503886916765,,0.05798774181824662
Tuned PPI,3000,0.4943899400391901,0.5525565261923503,3,0.0,0.01,True,0.0008675893684873992,0.0,0.05816658615316017
Classical,3000,0.49439478765870487,0.5525516785728356,3,0.0,0.01,True,0.0008675893684873992,,0.05815689091413073
PPI,3000,0.5064607577336189,0.5682665821990098,4,0.0,0.01,False,0.001519071071694499,,0.06180582446539096
Tuned PPI,3000,0.5063820556567106,0.5681586160722719,4,0.0,0.01,False,0.0015044120971835677,0.26727144978795087,0.061776560415561343
Classical,3000,0.5064871187391435,0.5679854635433408,4,0.0,0.01,False,0.0014990862928806188,,0.06149834480419725
PPI,3000,0.46303334383885814,0.5226260024101569,5,0.0,0.01,True,0.0013843653448334745,,0.05959265857129875
Tuned PPI,3000,0.4630524295671562,0.523001113954687,5,0.0,0.01,True,0.0013888084561558837,0.0,0.05994868438753076
