method,p,n,ratio,trial,std,lower,upper,coverage,error,width
PPI,100,10,0.1,0,0.1,-41.26923131195789,38.53199534176532,0,91.51147926707952,79.8012266537232
PPI,100,10,0.1,1,0.1,-41.62512625794137,38.07162296671829,0,91.91961292759477,79.69674922465965
PPI,100,10,0.1,2,0.1,-67.72667871026063,84.61641852642664,0,81.69799137390022,152.34309723668727
PPI,100,10,0.1,3,0.1,-215.57185937229897,321.62580515547404,1,37.115888390395696,537.197664527773
PPI,100,10,0.1,4,0.1,26.211452059820814,158.63053696669397,1,2.2781332312741682,132.41908490687314
PPI,100,10,0.1,5,0.1,-84.04882697203468,81.22262713675514,0,91.555961199623,165.2714541087898
PPI,100,10,0.1,6,0.1,-39.60570309365639,40.16094047692742,0,89.86524259034772,79.76664357058381
PPI,100,10,0.1,7,0.1,-116.28644437762932,144.49636326588302,1,76.03790183785638,260.78280764351234
PPI,100,10,0.1,8,0.1,-105.39354251747525,113.74668787761144,1,85.96628860191514,219.1402303950867
PPI,100,10,0.1,9,0.1,-172.50440475726268,-9.073650981421082,0,180.9318891513251,163.4307537758416
PPI,100,10,0.1,10,0.1,-182.9863201790264,112.3575798098185,1,125.45723146658717,295.3438999888449
PPI,100,10,0.1,11,0.1,-188.66810404671756,66.49989412441155,0,151.22696624313625,255.1679981711291
PPI,100,10,0.1,12,0.1,-39.883880666411386,39.7101312635496,0,90.22973598341412,79.59401192996098
PPI,100,10,0.1,13,0.1,-40.74878510743286,39.08089014039367,0,90.97680876550282,79.82967524782653
PPI,100,10,0.1,14,0.1,-41.69859503227876,38.130707668892626,0,91.92680496367629,79.82930270117139
PPI,100,10,0.1,15,0.1,-287.4703170683398,294.9782067978522,1,86.38891641722704,582.448523866192
PPI,100,10,0.1,16,0.1,-42.54081844290684,37.08426868371575,0,92.87113616157878,79.62508712662259
PPI,100,10,0.1,17,0.1,-40.241236118682586,39.51410247370047,0,90.50642810447428,79.75533859238305
PPI,100,10,0.1,18,0.1,-9.375716122568157,84.26823128308766,0,52.696603701723475,93.64394740565581
PPI,100,10,0.1,19,0.1,-151.30340688861511,190.58736778680029,1,70.50088083289064,341.8907746754154
PPI,100,10,0.1,20,0.1,-41.73891260382452,37.90558944648781,0,92.05952286065158,79.64450205031233
PPI,100,10,0.1,21,0.1,-121.44346316800639,96.64500901219873,1,102.54208835988706,218.08847218020512
PPI,100,10,0.1,22,0.1,-117.45829680533842,-15.217737095553645,0,156.48087823242926,102.24055970978478
PPI,100,10,0.1,23,0.1,-41.25301437085812,38.554824851886075,0,91.49195604146925,79.80783922274419
PPI,100,10,0.1,24,0.1,-149.058666076172,142.87596925169188,1,93.23420969422328,291.9346353278639
PPI,100,10,0.1,25,0.1,-136.76933572904645,111.45022527981328,1,102.80241650659981,248.21956100885973
PPI,100,10,0.1,26,0.1,-105.34300330491055,-34.56182256566887,0,160.09527421727296,70.78118073924168
PPI,100,10,0.1,27,0.1,-62.41315647708741,109.39106909869513,1,66.65390497117937,171.80422557578254
PPI,100,10,0.1,28,0.1,-186.75372376950395,233.83387481607025,1,66.60278575870008,420.5875985855742
PPI,100,10,0.1,29,0.1,-112.16440818061956,257.62688468482554,1,17.411623029880232,369.7912928654451
PPI,50,10,0.2,0,0.1,-654.6221287510068,585.9865631977725,1,124.46064405860038,1240.6086919487793
PPI,50,10,0.2,1,0.1,-30.130006815098795,285.244958601287,1,37.41461461111088,315.3749654163858
PPI,50,10,0.2,2,0.1,-33.47919730289108,282.60807807615424,1,34.42157910464836,316.0872753790453
PPI,50,10,0.2,3,0.1,-481.3181573422305,618.8121618154266,1,21.395859045385166,1100.1303191576571
PPI,50,10,0.2,4,0.1,-192.72998345587933,413.797251735187,1,20.390772857670598,606.5272351910663
PPI,50,10,0.2,5,0.1,-941.6006963265205,1042.3316878191583,1,39.777365535664316,1983.932384145679
PPI,50,10,0.2,6,0.1,-31.545262798615667,284.3823479484676,1,36.275681292942735,315.9276107470833
PPI,50,10,0.2,7,0.1,-830.160707867791,860.3678651324396,1,75.03928264965889,1690.5285730002306
PPI,50,10,0.2,8,0.1,-589.0462832115729,753.26808657474,1,8.031959600399702,1342.314369786313
PPI,50,10,0.2,9,0.1,-210.1250546761361,138.79493171326496,1,125.8079227634188,348.91998638940106
PPI,50,10,0.2,10,0.1,-106.6756876441347,159.7560339613849,1,63.60268812335813,266.4317216055196
PPI,50,10,0.2,11,0.1,-228.67456169841785,294.56291223815526,1,57.19868601211452,523.2374739365731
PPI,50,10,0.2,12,0.1,-115.26952857684638,332.89730217542683,1,18.671025517307,448.1668307522732
PPI,50,10,0.2,13,0.1,-865.2127569341067,945.6118636245492,1,49.94330793676197,1810.8246205586559
PPI,50,10,0.2,14,0.1,-234.58174429237098,160.53188191088614,1,127.16779247272565,395.1136262032571
PPI,50,10,0.2,15,0.1,-940.0515791168149,1116.3629358785138,1,1.987182901133778,2056.414514995329
PPI,50,10,0.2,16,0.1,-172.63945183430678,99.89205545639253,1,126.51655947094036,272.5315072906993
PPI,50,10,0.2,17,0.1,-789.7037141616207,815.8258219619526,1,77.08180738181731,1605.5295361235733
PPI,50,10,0.2,18,0.1,-617.88933359384,455.09483525685044,1,171.54011045047798,1072.9841688506904
PPI,50,10,0.2,19,0.1,-29.511640722250945,286.26493110383325,1,38.23378390880792,315.7765718260842
PPI,50,10,0.2,20,0.1,-14.470216642932986,40.87381976411311,0,76.94105972139317,55.34403640704609
PPI,50,10,0.2,21,0.1,-36.901346925114964,279.14155067550064,1,30.9772405932096,316.0428976006156
PPI,50,10,0.2,22,0.1,-44.13922648733154,271.8343393308237,1,23.704695139762848,315.97356581815524
PPI,50,10,0.2,23,0.1,-787.5792529156842,976.2952305026078,1,4.2151275114785705,1763.874483418292
PPI,50,10,0.2,24,0.1,-40.538273961004364,275.1671463275612,1,27.1715749012952,315.7054202885656
PPI,50,10,0.2,25,0.1,-468.6930510978388,465.9105377644261,1,91.53411794868957,934.6035888622649
PPI,50,10,0.2,26,0.1,-123.7549792825553,88.1889892496848,0,107.92585629841848,211.9439685322401
PPI,50,10,0.2,27,0.1,-478.8408458806783,453.71675800080396,1,102.70490522192038,932.5576038814822
PPI,50,10,0.2,28,0.1,-641.0899504797418,739.3866584927663,1,40.99450727547098,1380.476608972508
PPI,50,10,0.2,29,0.1,-35.94454930961052,280.06768928751353,1,31.918708706968275,316.01223859712405
PPI,20,10,0.5,0,0.1,-384.7746179552348,257.8470829975349,1,153.6066287608332,642.6217009527697
PPI,20,10,0.5,1,0.1,99.8189529678832,118.61810451140337,0,19.07566745766006,18.799151543520168
PPI,20,10,0.5,2,0.1,-123.68624051222841,-10.224334533813966,0,157.09814880500443,113.46190597841445
PPI,20,10,0.5,3,0.1,-122.46947109364024,-8.89290965111379,0,155.82405165436023,113.57656144252644
PPI,20,10,0.5,4,0.1,-123.61117629171099,-9.979209626810281,0,156.93805424124386,113.63196666490072
PPI,20,10,0.5,5,0.1,52.47541916845451,141.09311908198015,1,6.6414078432340915,88.61769991352564
PPI,20,10,0.5,6,0.1,-136.43239979743538,147.00188812812428,1,84.85811711663878,283.43428792555966
PPI,20,10,0.5,7,0.1,-160.12191078650568,372.41008773052175,1,16.001227190024807,532.5319985170274
PPI,20,10,0.5,8,0.1,-126.03674652378015,-12.46040853456605,0,159.39143881115632,113.5763379892141
PPI,20,10,0.5,9,0.1,393.977889504097,693.8654788946087,0,453.7788229173696,299.8875893905117
PPI,20,10,0.5,10,0.1,-127.04286308288647,-13.464789850691766,0,160.39668774877237,113.5780732321947
PPI,20,10,0.5,11,0.1,-123.96235578441268,-10.373044557760906,0,157.31056145307002,113.58931122665177
PPI,20,10,0.5,12,0.1,837.0369102095385,909.601675771207,0,783.1764317083896,72.56476556166854
PPI,20,10,0.5,13,0.1,-635.9821690689258,-418.33740125090674,0,617.3026464418995,217.6447678180191
PPI,20,10,0.5,14,0.1,-124.70161735575687,-11.16897789567448,0,158.0781589076989,113.53263946008238
PPI,20,10,0.5,15,0.1,-77.41626017814676,-63.188477888551375,0,160.4452303153323,14.227782289595382
PPI,20,10,0.5,16,0.1,-251.79193794885074,-233.98305588424844,0,333.03035819853284,17.8088820646023
PPI,20,10,0.5,17,0.1,-123.18217989560625,-9.691169456203738,0,156.57953595788823,113.49101043940252
PPI,20,10,0.5,18,0.1,-147.42962174420296,162.75618290572936,1,82.47958070122003,310.1858046499323
PPI,20,10,0.5,19,0.1,-591.161962038102,375.7351311436172,1,197.85627672922567,966.8970931817192
PPI,20,10,0.5,20,0.1,-690.647527420776,-114.85285400905389,0,492.8930519968982,575.7946734117221
PPI,20,10,0.5,21,0.1,-307.2088295115112,375.3085332890968,1,56.09300939319046,682.517362800608
PPI,20,10,0.5,22,0.1,-124.68768754929923,-11.204917949906438,0,158.08916403158605,113.48276959939278
PPI,20,10,0.5,23,0.1,-391.7760101074937,358.4987031963967,1,106.78151473753171,750.2747133038904
PPI,20,10,0.5,24,0.1,-125.96104924856215,-12.532029547438079,0,159.38940067998334,113.42901970112408
PPI,20,10,0.5,25,0.1,-198.99041167366465,96.08540672862419,1,141.59536375450347,295.07581840228886
PPI,20,10,0.5,26,0.1,-124.17471027170967,-10.559234783697661,0,157.50983380968688,113.61547548801201
PPI,20,10,0.5,27,0.1,-126.1334697432186,-12.72643176605937,0,159.57281203662222,113.40703797715923
PPI,20,10,0.5,28,0.1,-125.77395871824714,-12.263970646169469,0,159.16182596419154,113.50998807207768
PPI,20,10,0.5,29,0.1,-124.263513006435,-10.79080245396296,0,157.6700190121822,113.47271055247205
PPI,10,10,1.0,0,0.1,-215.85898248063506,80.00313947396371,0,158.0707827853189,295.86212195459876
Classical,10,10,1.0,0,0.1,22769.364236717873,22769.364236722515,0,22679.22137543821,4.642060957849026e-09
PPI,10,10,1.0,1,0.1,-2859.8375164816694,-1907.066754328685,0,2473.5949966871603,952.7707621529844
Classical,10,10,1.0,1,0.1,-3382.892391671294,-3382.892391671112,0,3473.035252953186,1.8189894035458565e-10
PPI,10,10,1.0,2,0.1,-1806.0850946205294,-1697.3664495628143,0,1841.868633373655,108.7186450577151
Classical,10,10,1.0,2,0.1,-1799.7317458897082,-1799.731745889596,0,1889.8746071716353,1.1232259566895664e-10
PPI,10,10,1.0,3,0.1,-232.33091567209823,62.555677288212664,0,175.030480473926,294.8865929603109
Classical,10,10,1.0,3,0.1,1627.3380944529524,1627.3380944530074,0,1537.1952331709967,5.502442945726216e-11
PPI,10,10,1.0,4,0.1,-225.1897527919672,70.67374920118661,0,167.40086307737351,295.8635019931538
Classical,10,10,1.0,4,0.1,-19364.932478148054,-19364.932478144736,0,19455.07533942838,3.3178366720676422e-09
PPI,10,10,1.0,5,0.1,14094.561910168975,14094.670224330062,0,14004.473205967535,0.10831416108703706
Classical,10,10,1.0,5,0.1,14094.755507807899,14094.755507809485,0,14004.612646526708,1.5861587598919868e-09
PPI,10,10,1.0,6,0.1,-16972.130522132393,-16961.676801243564,0,17057.046522969962,10.453720888828684
Classical,10,10,1.0,6,0.1,-16985.81851272347,-16985.81851272272,0,17075.961374005077,7.494236342608929e-10
PPI,10,10,1.0,7,0.1,-10862.848718838533,-10842.81453599816,0,10942.97448870033,20.034182840372523
Classical,10,10,1.0,7,0.1,-10946.261097132903,-10946.261097132678,0,11036.403958414774,2.255546860396862e-10
PPI,10,10,1.0,8,0.1,-172638.2319750862,-172555.22086855856,0,172686.86928310437,83.01110652764328
Classical,10,10,1.0,8,0.1,-173407.74086666136,-173407.7408666073,0,173497.8837279163,5.407491698861122e-08
PPI,10,10,1.0,9,0.1,-714.9999443166018,-711.6277820236644,0,803.4567244521163,3.372162292937446
Classical,10,10,1.0,9,0.1,-713.7563013868997,-713.7563013866535,0,803.8991626687598,2.462456905050203e-10
PPI,10,10,1.0,10,0.1,-222.78860944221324,72.99021133192221,0,165.04206033712876,295.77882077413545
Classical,10,10,1.0,10,0.1,-2493.997773268174,-2493.997773268106,0,2584.140634550123,6.821210263296962e-11
PPI,10,10,1.0,11,0.1,-5286.499005968158,-4969.363595646671,0,5218.074162089398,317.13541032148714
Classical,10,10,1.0,11,0.1,-5537.341845225018,-5537.341845224965,0,5627.484706506975,5.275069270282984e-11
PPI,10,10,1.0,12,0.1,-227.70551873727914,68.0508225939531,0,169.97020935364623,295.75634133123225
Classical,10,10,1.0,12,0.1,1670.927109835011,1670.9271098350791,0,1580.7842485530618,6.821210263296962e-11
PPI,10,10,1.0,13,0.1,-227.09950948778973,68.91078837865123,0,169.23722183655246,296.01029786644096
Classical,10,10,1.0,13,0.1,-4107.796450379091,-4107.796450378893,0,4197.939311660975,1.9826984498649836e-10
PPI,10,10,1.0,14,0.1,-33502.28098569022,-33502.13753401283,0,33592.3521211335,0.14345167738792952
Classical,10,10,1.0,14,0.1,-33502.88887667503,-33502.88887666854,0,33593.03173795377,6.490154191851616e-09
PPI,10,10,1.0,15,0.1,-4234.0055575459655,-3830.6610330052845,0,4122.476156557608,403.34452454068105
Classical,10,10,1.0,15,0.1,-4347.756513067566,-4347.756513067526,0,4437.899374349529,4.001776687800884e-11
PPI,10,10,1.0,16,0.1,-2042.2227565715143,-1093.8769171983295,0,1658.192698166905,948.3458393731848
Classical,10,10,1.0,16,0.1,-2094.7935457972044,-2094.793545797188,0,2184.9364070791794,1.6370904631912708e-11
PPI,10,10,1.0,17,0.1,-30628.91599907994,-30626.50369791238,0,30717.852709778144,2.4123011675619637
Classical,10,10,1.0,17,0.1,-30637.816859239138,-30637.816859232087,0,30727.959720517596,7.05040292814374e-09
PPI,10,10,1.0,18,0.1,-32796.877292353376,-32789.71716903817,0,32883.440091977754,7.160123315203236
Classical,10,10,1.0,18,0.1,-32835.708603628496,-32835.708603619605,0,32925.85146490603,8.891220204532146e-09
PPI,10,10,1.0,19,0.1,-226.28536756251862,69.39341774353443,0,168.5888361914753,295.67878530605304
Classical,10,10,1.0,19,0.1,-19986.064197185027,-19986.06419718352,0,20076.207058466258,1.5061232261359692e-09
PPI,10,10,1.0,20,0.1,-238.54326521437412,57.50366127007631,0,180.66266325413216,296.0469264844504
Classical,10,10,1.0,20,0.1,4013.068056761305,4013.0680567618515,0,3922.925195479595,5.466063157655299e-10
PPI,10,10,1.0,21,0.1,-235.0479644002211,61.05829327401179,0,177.13769684508787,296.1062576742329
Classical,10,10,1.0,21,0.1,3465.6363554372656,3465.636355437422,0,3375.4934941553606,1.5643308870494366e-10
PPI,10,10,1.0,22,0.1,1087.3433442249325,1094.8472092008078,0,1000.952415430887,7.503864975875331
Classical,10,10,1.0,22,0.1,1094.1313105158192,1094.1313105158365,0,1003.9884492338447,1.7280399333685637e-11
