method,p,n,trial,std,lambda,theta,error,error_max,error_min
PPI,2,10,0,1.0,0.12486703561349177,-0.008300175683482403,0.0568036515295079,0.09948811145097956,0.01411919160803623
Classical,2,10,0,1.0,,-0.008300175683482403,0.06976323465517265,0.11235478887791651,0.027171680432428763
PPI,2,10,1,1.0,0.5306897097696013,-0.008300175683482403,0.11115431311906114,0.21781421053824698,0.0044944156998753
Classical,2,10,1,1.0,,-0.008300175683482403,0.04788012763167604,0.07688762204282217,0.01887263322052991
PPI,2,10,2,1.0,1.0,-0.008300175683482403,0.08693323585707108,0.17377114992571988,9.532178842227001e-05
Classical,2,10,2,1.0,,-0.008300175683482403,0.02764777967065657,0.039125424945713576,0.016170134395599566
PPI,2,10,3,1.0,0.7798358263506204,-0.008300175683482403,0.03199183249871057,0.03414944036891742,0.029834224628503724
Classical,2,10,3,1.0,,-0.008300175683482403,0.4483511770893601,0.755205097763679,0.14149725641504132
PPI,2,10,4,1.0,0.46621070557772315,-0.008300175683482403,0.06621515646286366,0.1093976500937219,0.02303266283200542
Classical,2,10,4,1.0,,-0.008300175683482403,0.07708664430503623,0.0774761039636768,0.07669718464639566
PPI,2,10,5,1.0,0.08605418259419206,-0.008300175683482403,0.17233082931506566,0.29847739394568995,0.04618426468444139
Classical,2,10,5,1.0,,-0.008300175683482403,0.181100157689066,0.3066211765334019,0.055579138844730154
PPI,2,10,6,1.0,0.23623511702446953,-0.008300175683482403,0.32184433443715277,0.6277913887526287,0.015897280121676773
Classical,2,10,6,1.0,,-0.008300175683482403,0.1852718511603976,0.3637846489496015,0.006759053371193726
PPI,2,10,7,1.0,0.3299032255367533,-0.008300175683482403,0.2502646050661529,0.34518234439515977,0.155346865737146
Classical,2,10,7,1.0,,-0.008300175683482403,0.5022937672332753,0.6562062115576675,0.34838132290888324
PPI,2,10,8,1.0,0.3336132338136624,-0.008300175683482403,0.13988319071609476,0.2729329066613176,0.006833474770871949
Classical,2,10,8,1.0,,-0.008300175683482403,0.3475362110135747,0.6938422849345461,0.0012301370926032739
PPI,2,10,9,1.0,1.0,-0.008300175683482403,0.0653655320585836,0.0799798638902894,0.050751200226877805
Classical,2,10,9,1.0,,-0.008300175683482403,0.011328307329731538,0.021988326991734884,0.0006682876677281931
PPI,2,10,10,1.0,0.6985297017031151,-0.008300175683482403,0.04240867232587174,0.04288741402757293,0.041929930624170546
Classical,2,10,10,1.0,,-0.008300175683482403,0.0006564296773146765,0.001266598902041726,4.6260452587627194e-05
PPI,2,10,11,1.0,0.01477628833952592,-0.008300175683482403,0.3252253031789354,0.3830286492284898,0.26742195712938094
Classical,2,10,11,1.0,,-0.008300175683482403,0.33025339920138186,0.3881781764827255,0.27232862192003826
PPI,2,10,12,1.0,0.22048658006441435,-0.008300175683482403,0.17725864065691413,0.24156167139041285,0.11295560992341541
Classical,2,10,12,1.0,,-0.008300175683482403,0.19453081428248065,0.2657164828369228,0.1233451457280385
PPI,2,10,13,1.0,0.4794193427072198,-0.008300175683482403,0.08277492542733911,0.15648726772936664,0.009062583125311576
Classical,2,10,13,1.0,,-0.008300175683482403,0.061213900254834176,0.11719779236307507,0.005230008146593289
PPI,2,10,14,1.0,1.0,-0.008300175683482403,0.3542313449540123,0.6359109182267293,0.07255177168129534
Classical,2,10,14,1.0,,-0.008300175683482403,0.14015209412362456,0.2661465804020763,0.01415760784517286
PPI,2,10,15,1.0,0.12524303041839802,-0.008300175683482403,0.31107798282731314,0.5602702699854927,0.061885695669133656
Classical,2,10,15,1.0,,-0.008300175683482403,0.36133938587019665,0.6542220242843089,0.06845674745608449
PPI,2,10,16,1.0,0.7597577015127438,-0.008300175683482403,0.04356661062686229,0.05327557515344061,0.033857646100283974
Classical,2,10,16,1.0,,-0.008300175683482403,0.016561057606556743,0.02166963287841355,0.011452482334699934
PPI,2,10,17,1.0,0.6398938751498711,-0.008300175683482403,0.035141917244096064,0.0699623548305885,0.0003214796576036249
Classical,2,10,17,1.0,,-0.008300175683482403,0.04023302051388932,0.08034553731889245,0.00012050370888619788
PPI,2,10,18,1.0,0.02619947333736488,-0.008300175683482403,0.008709384732319038,0.017406715805894733,1.2053658743341542e-05
Classical,2,10,18,1.0,,-0.008300175683482403,0.00862478870505198,0.01724936909076104,2.0831934291845744e-07
PPI,2,10,19,1.0,1.0,-0.008300175683482403,0.10514352341385436,0.16089387973889607,0.049393167088812646
Classical,2,10,19,1.0,,-0.008300175683482403,0.02711095274891638,0.04791146871600649,0.006310436781826273
PPI,2,10,20,1.0,1.0,-0.008300175683482403,0.02675010030882924,0.03335114258618474,0.020149058031473734
Classical,2,10,20,1.0,,-0.008300175683482403,1.2024265709301871,1.7602491449275983,0.6446039969327761
PPI,2,10,21,1.0,1.0,-0.008300175683482403,0.2774689051498848,0.5434844349844054,0.011453375315364328
Classical,2,10,21,1.0,,-0.008300175683482403,0.09743299763993833,0.17913263755594125,0.015733357723935408
PPI,2,10,22,1.0,1.0,-0.008300175683482403,0.34015131884223687,0.6569993344549553,0.02330330322951848
Classical,2,10,22,1.0,,-0.008300175683482403,0.20554398388864228,0.3500521687622372,0.06103579901504736
PPI,2,10,23,1.0,0.45373417705094676,-0.008300175683482403,0.0029461244283785415,0.0056054337370183005,0.00028681511973878247
Classical,2,10,23,1.0,,-0.008300175683482403,0.08409161409403176,0.1426114154200077,0.02557181276805584
PPI,2,10,24,1.0,0.15782327725434772,-0.008300175683482403,0.008489824657825282,0.013713200007169725,0.003266449308480839
Classical,2,10,24,1.0,,-0.008300175683482403,0.011056362370531155,0.013583862710972443,0.008528862030089866
PPI,2,10,25,1.0,0.019982394419213918,-0.008300175683482403,0.17327948832316056,0.341963263210144,0.004595713436177168
Classical,2,10,25,1.0,,-0.008300175683482403,0.17665246398760667,0.34824650213126607,0.005058425843947269
PPI,2,10,26,1.0,0.6324112026606492,-0.008300175683482403,0.054584725157335146,0.09477160040715697,0.014397849907513319
Classical,2,10,26,1.0,,-0.008300175683482403,0.1973782022783006,0.3946588903723157,9.751418428548531e-05
PPI,2,10,27,1.0,0.9435682626842693,-0.008300175683482403,0.07361802136004576,0.14715949793757788,7.654478251364903e-05
Classical,2,10,27,1.0,,-0.008300175683482403,0.08808207889150288,0.17041847018017475,0.0057456876028310145
