method,p,n,trial,std,lambda,theta,error,error_max,error_min
PPI,2,1000,0,1.0,0.037820736309421225,-0.03568649453500461,0.0003775819686189402,0.0006041925457251963,0.00015097139151268413
Classical,2,1000,0,1.0,,-0.03568649453500461,0.00033055285163761174,0.0005187978802621288,0.0001423078230130947
PPI,2,1000,1,1.0,0.044939928028185,-0.03568649453500461,0.000520444638461587,0.000575918030555074,0.0004649712463680999
Classical,2,1000,1,1.0,,-0.03568649453500461,0.00073627166242552,0.0007702526573939657,0.0007022906674570741
PPI,2,1000,2,1.0,0.04602879342243089,-0.03568649453500461,0.001165254193825448,0.0022795678960595696,5.094049159132627e-05
Classical,2,1000,2,1.0,,-0.03568649453500461,0.0011773281328129979,0.002320243578579129,3.4412687046866395e-05
PPI,2,1000,3,1.0,0.04279287945295804,-0.03568649453500461,0.0021004362889097523,0.004148427341050318,5.244523676918671e-05
Classical,2,1000,3,1.0,,-0.03568649453500461,0.002103062672673401,0.004203316946790869,2.8083985559333062e-06
PPI,2,1000,4,1.0,0.04198824638590609,-0.03568649453500461,0.0010387655951043671,0.0020120685539061346,6.546263630259962e-05
Classical,2,1000,4,1.0,,-0.03568649453500461,0.0014436079378153087,0.0027052096714909983,0.00018200620413961918
PPI,2,1000,5,1.0,0.05707816296800834,-0.03568649453500461,0.0013681042236959938,0.0019363296410474886,0.0007998788063444988
Classical,2,1000,5,1.0,,-0.03568649453500461,0.00079108882599764,0.0013304091891205377,0.0002517684628747423
PPI,2,1000,6,1.0,0.04743753575246452,-0.03568649453500461,0.0018677397532226722,0.0035354564258438395,0.00020002308060150468
Classical,2,1000,6,1.0,,-0.03568649453500461,0.001369998938422603,0.002652182960497082,8.781491634812387e-05
PPI,2,1000,7,1.0,0.041509616297200846,-0.03568649453500461,0.00021894843606238407,0.0003845097465272423,5.338712559752583e-05
Classical,2,1000,7,1.0,,-0.03568649453500461,0.0003864517426733288,0.0005553417086607703,0.00021756177668588736
PPI,2,1000,8,1.0,0.041155566061309434,-0.03568649453500461,0.00030478708502575504,0.0005934712300732195,1.6102939978290546e-05
Classical,2,1000,8,1.0,,-0.03568649453500461,0.0003006956870385879,0.0005660002324010625,3.539114167611328e-05
PPI,2,1000,9,1.0,0.04584918207421652,-0.03568649453500461,0.00041938377607164093,0.0008237421498307429,1.5025402312538985e-05
Classical,2,1000,9,1.0,,-0.03568649453500461,0.00030376680736153024,0.0005573968058535311,5.0136808869529356e-05
PPI,2,1000,10,1.0,0.044699984193287585,-0.03568649453500461,0.000471062962050827,0.0006178973678021137,0.0003242285562995403
Classical,2,1000,10,1.0,,-0.03568649453500461,0.0005745596128602635,0.000951951737165902,0.000197167488554625
PPI,2,1000,11,1.0,0.029445149967137367,-0.03568649453500461,0.002100219264012304,0.0041681381805424396,3.230034748216849e-05
Classical,2,1000,11,1.0,,-0.03568649453500461,0.002111007457390584,0.004205829952626108,1.6184962155060678e-05
PPI,2,1000,12,1.0,0.044017770169399534,-0.03568649453500461,0.0002451202017737544,0.0004864578763047205,3.7825272427883074e-06
Classical,2,1000,12,1.0,,-0.03568649453500461,0.00014708785680136362,0.00025506082879711616,3.911488480561108e-05
PPI,2,1000,13,1.0,0.04639767322625154,-0.03568649453500461,0.00104977376108355,0.0019362908719966383,0.00016325665017046176
Classical,2,1000,13,1.0,,-0.03568649453500461,0.001242430794289138,0.0024098054677495675,7.505612082870865e-05
PPI,2,1000,14,1.0,0.047675758492081416,-0.03568649453500461,6.971029370680352e-05,0.0001353711666356009,4.049420778006141e-06
Classical,2,1000,14,1.0,,-0.03568649453500461,5.2174418425052875e-06,1.0184342620444336e-05,2.505410645662397e-07
PPI,2,1000,15,1.0,0.04953732502724642,-0.03568649453500461,0.00022918597861401198,0.0003868943014601962,7.147765576782774e-05
Classical,2,1000,15,1.0,,-0.03568649453500461,0.0005551167653743852,0.0010117190526344755,9.851447811429498e-05
PPI,2,1000,16,1.0,0.04416917132964614,-0.03568649453500461,0.0015412029374854601,0.0018772380731934205,0.0012051678017774997
Classical,2,1000,16,1.0,,-0.03568649453500461,0.0017316785343070512,0.0024599213685775026,0.0010034357000365999
PPI,2,1000,17,1.0,0.035174153563291954,-0.03568649453500461,0.000694991259761519,0.0011464625126700147,0.0002435200068530232
Classical,2,1000,17,1.0,,-0.03568649453500461,0.0006697080075410232,0.0009700272167809436,0.00036938879830110286
PPI,2,1000,18,1.0,0.03700869563391879,-0.03568649453500461,4.285370330044733e-05,6.023120367254198e-05,2.547620292835268e-05
Classical,2,1000,18,1.0,,-0.03568649453500461,3.226638277244782e-05,6.111957768302638e-05,3.4131878618692545e-06
PPI,2,1000,19,1.0,0.046381832553243615,-0.03568649453500461,0.0010092837967442753,0.0013378085787323951,0.0006807590147561555
Classical,2,1000,19,1.0,,-0.03568649453500461,0.0008855209818439125,0.0010007992721683665,0.0007702426915194584
PPI,2,1000,20,1.0,0.04123223761061163,-0.03568649453500461,0.0002356869864860792,0.00044777898840152064,2.359498457063772e-05
Classical,2,1000,20,1.0,,-0.03568649453500461,0.00036334805099901766,0.0006953031907856502,3.139291121238515e-05
PPI,2,1000,21,1.0,0.05314296436886574,-0.03568649453500461,0.00012619987369207535,0.00020731755393173928,4.5082193452411425e-05
Classical,2,1000,21,1.0,,-0.03568649453500461,9.525224206655682e-05,0.00016638797291517322,2.411651121794042e-05
PPI,2,1000,22,1.0,0.045419993357546665,-0.03568649453500461,0.00012139391472730267,0.00024269048713959263,9.734231501271069e-08
Classical,2,1000,22,1.0,,-0.03568649453500461,0.00034686473297034425,0.0006931022305014812,6.272354392072941e-07
PPI,2,1000,23,1.0,0.0253430057848439,-0.03568649453500461,3.636944286392389e-05,5.820201274242197e-05,1.4536872985425806e-05
Classical,2,1000,23,1.0,,-0.03568649453500461,3.9100734953107415e-05,6.293802442508538e-05,1.5263445481129452e-05
PPI,2,1000,24,1.0,0.03111923823280364,-0.03568649453500461,0.0008977545453697185,0.0015686438296763274,0.00022686526106310972
Classical,2,1000,24,1.0,,-0.03568649453500461,0.0010831867947350615,0.0018461655023746739,0.00032020808709544907
PPI,2,1000,25,1.0,0.025832726322518526,-0.03568649453500461,0.0015935854235518982,0.00303898754451687,0.0001481833025869264
Classical,2,1000,25,1.0,,-0.03568649453500461,0.0015343873421429025,0.0028776981581812196,0.00019107652610458547
PPI,2,1000,26,1.0,0.04517476468008906,-0.03568649453500461,0.0012243231888267592,0.0015103541360167794,0.000938292241636739
Classical,2,1000,26,1.0,,-0.03568649453500461,0.0010727605816691207,0.0014452535948108803,0.0007002675685273612
PPI,2,1000,27,1.0,0.03475146513663144,-0.03568649453500461,0.000965253896281854,0.001436156548038133,0.000494351244525575
Classical,2,1000,27,1.0,,-0.03568649453500461,0.0011553630399109942,0.0016951845309174818,0.0006155415489045066
PPI,2,1000,28,1.0,0.032370064786081294,-0.03568649453500461,5.4020680286893184e-05,8.952502336134889e-05,1.8516337212437488e-05
Classical,2,1000,28,1.0,,-0.03568649453500461,1.2466466370209657e-05,1.5146766819174322e-05,9.78616592124499e-06
PPI,2,1000,29,1.0,0.0313642887396238,-0.03568649453500461,0.00062004655896726,0.0012238235271325442,1.6269590801975945e-05
Classical,2,1000,29,1.0,,-0.03568649453500461,0.0008860416005301789,0.0017678481593740244,4.235041686333528e-06
PPI,10,1000,0,1.0,0.04185243719141989,0.06094417802508012,0.0006292384482229115,0.0031070605026993674,4.69174559261471e-06
Classical,10,1000,0,1.0,,0.06094417802508012,0.0007379039652046705,0.0027171851897823786,4.567582647490415e-05
PPI,10,1000,1,1.0,0.050268253964123266,0.06094417802508012,0.0022721575129082,0.00938965617064323,5.276163169189433e-06
Classical,10,1000,1,1.0,,0.06094417802508012,0.002325190351621552,0.010410715057493027,5.951743501297268e-06
PPI,10,1000,2,1.0,0.043898466516492,0.06094417802508012,0.0007909485587806343,0.0036088036447026834,0.00011243348207213633
Classical,10,1000,2,1.0,,0.06094417802508012,0.0006902531731998654,0.003745342475436347,1.0294550196527639e-05
PPI,10,1000,3,1.0,0.05340575701545797,0.06094417802508012,0.0008944240896839445,0.004063113866375966,1.409124480818207e-08
Classical,10,1000,3,1.0,,0.06094417802508012,0.000812642621593716,0.0033656292176762114,9.626070242808183e-06
PPI,10,1000,4,1.0,0.05079520768205358,0.06094417802508012,0.00048079291222738474,0.0018174185207881935,9.505402508775804e-07
Classical,10,1000,4,1.0,,0.06094417802508012,0.0005432869499904442,0.0016397532618349204,3.662479511778373e-06
PPI,10,1000,5,1.0,0.057183866129783864,0.06094417802508012,0.0025232216413180737,0.00866070091435282,8.768850344460342e-06
