method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
PPI,1000,0.5639650316268456,1.5787642187517865,0,0.0,0.01,False,0.3987947575491091,,1.0147991871249409
Tuned PPI,1000,0.5831417544027846,1.5592549323744502,0,0.0,0.01,False,0.3985340247852976,0.0,0.9761131779716656
Classical,1000,0.5833858437348735,1.5590108430423615,0,0.0,0.01,False,0.3985340247852976,,0.975624999307488
PPI,1000,0.14329580768776018,1.2345761052135926,1,0.0,0.01,True,0.018845474764051743,,1.0912802975258324
Tuned PPI,1000,0.11635477295161167,1.2603440165307753,1,0.0,0.01,True,0.018718363042545653,0.0,1.1439892435791637
Classical,1000,0.11664084179760636,1.2600579476847806,1,0.0,0.01,True,0.018718363042545653,,1.1434171058871743
PPI,1000,-0.13726793786416208,0.8568183990571843,2,0.0,0.01,True,0.0975545564387939,,0.9940863369213464
Tuned PPI,1000,-0.13728360532701683,0.8560640077283628,2,0.0,0.01,True,0.09760879089345541,0.3706973284590693,0.9933476130553796
Classical,1000,-0.14788975329445625,0.8662165445008387,2,0.0,0.01,True,0.0976408076507713,,1.014106297795295
PPI,1000,0.12972879726289632,1.2397744838969067,3,0.0,0.01,True,0.16113437666342473,,1.1100456866340105
Tuned PPI,1000,0.10358503805429797,1.2660168654087263,3,0.0,0.01,True,0.16106274176552923,0.0,1.1624318273544283
Classical,1000,0.10387571869947476,1.2657261847635495,3,0.0,0.01,True,0.16106274176552923,,1.1618504660640747
PPI,1000,-0.14870676094705682,0.9224058949429667,4,0.0,0.01,True,0.008851185134941639,,1.0711126558900235
Tuned PPI,1000,-0.1269360186338605,0.8999794978716186,4,0.0,0.01,True,0.008889674837327027,0.0,1.026915516505479
Classical,1000,-0.12667922554040345,0.8997227047781615,4,0.0,0.01,True,0.008889674837327027,,1.026401930318565
PPI,1000,-0.2153229869191705,0.8127436057496277,5,0.0,0.01,True,0.02995130096476914,,1.0280665926687982
Tuned PPI,1000,-0.26610560688900947,0.8636439728018008,5,0.0,0.01,True,0.02989882160497001,0.0,1.1297495796908104
Classical,1000,-0.2658230988494122,0.8633614647622037,5,0.0,0.01,True,0.02989882160496999,,1.1291845636116158
PPI,1000,-0.07377544965756583,1.0480556752533767,6,0.0,0.01,True,0.04285733506688122,,1.1218311249109425
Tuned PPI,1000,-0.07444401599322659,1.0480249051732455,6,0.0,0.01,True,0.042868418767552076,0.40589953518228844,1.122468921166472
Classical,1000,-0.05320925864342685,1.0263123492979163,6,0.0,0.01,True,0.04287606193061933,,1.0795216079413432
PPI,1000,0.030687339326929686,1.127468383516005,7,0.0,0.01,True,0.21723813455977983,,1.0967810441890755
