method,p,n,ratio,trial,std,lower,upper,width,width_max,width_min,coverage,theta,error,error_max,error_min
PPI,20,40,2.0,8,1.0,-0.18167776532962351,0.3579277799843484,0.5396055453139719,0.6786920019208359,0.3935284194407689,0.9,0.05213997712906197,0.03762273366801647,0.1349263068302276,0.00034381427757732805
Classical,20,40,2.0,8,1.0,-0.2184773238957151,0.39472733855043973,0.6132046624461548,0.7217700698282372,0.43001939738953154,0.9,,0.03762273366801645,0.13492630683022705,0.0003438142775773095
PPI,20,40,2.0,9,1.0,-0.14738592534187706,0.3484337870633575,0.49581971240523454,0.7265586573418619,0.38345533118349084,0.85,0.05213997712906197,0.04029136014602447,0.2902795452437413,0.0007903755118409954
Classical,20,40,2.0,9,1.0,-0.1626817081981921,0.36372956991967265,0.5264112781178647,0.7871348036989141,0.37709341761957105,0.9,,0.04029136014602445,0.2902795452437408,0.0007903755118409861
Imputation,20,40,2.0,0,1.0,0.055688537425336804,0.05568853742533688,8.049116928532385e-17,,,0.0,,0.000752505385341553,,
PPI,20,100,5.0,0,1.0,-0.15866153964035462,0.26185758419863314,0.4205191238389877,0.5185519579213058,0.31687568303818026,0.8,0.05213997712906197,0.01867359964687439,0.10263273130552511,2.3680656453399374e-05
Classical,20,100,5.0,0,1.0,-0.11649471621683334,0.2196907607751118,0.33618547699194506,0.43342087523794515,0.24161963110682505,0.75,,0.01867359964687444,0.10263273130552518,2.3680656453399916e-05
PPI,20,100,5.0,1,1.0,-0.13781628476318866,0.2389757611262963,0.37679204588948495,0.5283308796166908,0.2938585039932806,0.8,0.05213997712906197,0.022804632218994918,0.11359183066662064,8.149028830350765e-07
Classical,20,100,5.0,1,1.0,-0.10764381968069861,0.20880329604380637,0.31644711572450507,0.3839637952241185,0.23333833783876035,0.75,,0.022804632218994928,0.11359183066662064,8.149028830355275e-07
PPI,20,100,5.0,2,1.0,-0.16424851825438375,0.2320909158112671,0.3963394340656509,0.4573426053794839,0.30564337457014806,1.0,0.05213997712906197,0.00903129534922252,0.030197044534977305,8.391938116186659e-05
Classical,20,100,5.0,2,1.0,-0.17376718391520196,0.24160958147208525,0.41537676538728724,0.5035262842781293,0.30141480950109095,1.0,,0.009031295349222555,0.03019704453497742,8.391938116186252e-05
PPI,20,100,5.0,3,1.0,-0.13399656963604278,0.2635112011232267,0.39750777075926946,0.47273836550100173,0.33491329428025585,0.9,0.05213997712906197,0.013176862696855859,0.07088019814830936,5.284009379290577e-06
Classical,20,100,5.0,3,1.0,-0.1217143968744091,0.2512290283615929,0.37294342523600205,0.45259975131342856,0.2910894610873277,0.95,,0.01317686269685588,0.07088019814830922,5.284009379288535e-06
PPI,20,100,5.0,4,1.0,-0.16376117112151206,0.2402714634695437,0.40403263459105576,0.5477247379255148,0.30421271000231176,0.9,0.05213997712906197,0.013471752929042336,0.05474177599719776,5.647552165884192e-05
Classical,20,100,5.0,4,1.0,-0.15445096109632936,0.23096125344436108,0.38541221454069047,0.5234010046242769,0.3158261608868093,0.95,,0.013471752929042324,0.0547417759971975,5.6475521658835666e-05
PPI,20,100,5.0,5,1.0,-0.11827984347683651,0.25809029674244194,0.3763701402192784,0.4939886719394093,0.3106662363483159,0.9,0.05213997712906197,0.014810966098246522,0.062486498713782146,2.4466494024859045e-05
Classical,20,100,5.0,5,1.0,-0.11017390856183415,0.24998436182743963,0.36015827038927384,0.43526364516999894,0.2962905887722608,0.85,,0.014810966098246472,0.062486498713782035,2.446649402486234e-05
PPI,20,100,5.0,6,1.0,-0.11068689187104734,0.23278116882963545,0.3434680607006829,0.4325345688123621,0.2757647056494683,1.0,0.05213997712906197,0.005877378506396934,0.02488230697687679,4.309132044098571e-06
Classical,20,100,5.0,6,1.0,-0.11095694473202207,0.2330512216906102,0.3440081664226323,0.4124157581061556,0.2763275687745922,0.95,,0.005877378506396961,0.024882306976877176,4.309132044096727e-06
PPI,20,100,5.0,7,1.0,-0.11293333369279228,0.2670696654780197,0.380002999170812,0.4571761575243576,0.3068615085109794,0.85,0.05213997712906197,0.014098215326077796,0.05971551443053056,0.00046983695337768903
Classical,20,100,5.0,7,1.0,-0.10252580678912963,0.25666213857435694,0.3591879453634865,0.4295039667486922,0.32768621754673466,0.85,,0.01409821532607777,0.05971551443053001,0.00046983695337763607
PPI,20,100,5.0,8,1.0,-0.17395819202784907,0.2278466236405333,0.40180481566838233,0.4971038355522644,0.3151988958216063,0.95,0.05213997712906197,0.011957890421027205,0.04649087006680678,0.00010878778991185939
Classical,20,100,5.0,8,1.0,-0.18560248535521578,0.2394909169678996,0.4250934023231154,0.5073273004769394,0.35493306584294015,0.95,,0.011957890421027215,0.046490870066807355,0.00010878778991184782
PPI,20,100,5.0,9,1.0,-0.12104027218132334,0.2716277376054313,0.3926680097867547,0.4594260378747223,0.3307402003061281,0.95,0.05213997712906197,0.008264032381455944,0.04019979782194547,0.00014243230164029868
Classical,20,100,5.0,9,1.0,-0.12410760377225152,0.2746950691963591,0.39880267296861066,0.48460533473095846,0.286117816650792,1.0,,0.008264032381455922,0.040199797821945694,0.00014243230164029337
Imputation,20,100,5.0,0,1.0,0.055688537425336804,0.05568853742533688,8.049116928532385e-17,,,0.0,,0.000752505385341553,,
PPI,50,5,0.1,0,1.0,-0.4649349317823062,0.5193989654841901,0.9843338972664963,1.9601835287453613,0.19082632333272648,1.0,0.02291165778953181,0.001610482230178246,0.011082767699950508,2.3571389718635963e-09
Classical,50,5,0.1,0,1.0,-0.004193284394389982,-0.004193284394389904,7.778229015736881e-17,1.6653345369377348e-16,1.5612511283791264e-17,0.0,,0.018678433187383235,0.08656963453300864,2.268737906642304e-05
PPI,50,5,0.1,1,1.0,-0.7374278256673018,0.7982044589802253,1.5356322846475272,2.8041655151088967,0.45857212866719144,1.0,0.02291165778953181,0.002164933996294962,0.011910497556122003,1.4790198695094284e-06
Classical,50,5,0.1,1,1.0,0.003469789710783508,0.0034697897107836247,1.1744945294100972e-16,3.885780586188048e-16,4.163336342344337e-17,0.0,,0.018633832220879814,0.08388001614990735,1.7855672867168688e-05
PPI,50,5,0.1,2,1.0,-1.1831800854539416,1.2640643296351681,2.4472444150891097,5.5004835823424525,0.7078868375833552,1.0,0.02291165778953181,0.005117815751534837,0.04970211016460792,3.7453771611342114e-08
Classical,50,5,0.1,2,1.0,0.024206659448959406,0.024206659448959545,1.3928094788617785e-16,3.885780586188048e-16,4.163336342344337e-17,0.0,,0.023771411025479906,0.09386495727300193,0.00017618916137140112
