method,p,n,theta,error,error_max,error_min
PPI,10,100,-0.1671979020725574,0.010060440634971786,0.03383564355797132,1.0741691210057523e-05
PPI,20,100,-0.26721299063235293,0.005969960261697466,0.02081062843002916,1.6607538298071752e-05
PPI,50,100,0.05295221377189613,0.02978638879415469,0.37496463885764014,3.1520893259164544e-07
PPI,100,100,0.009220854914789807,6.905525587664134,39.48946609367662,2.5476299869808893e-05
PPI,200,100,-0.05883869677561681,0.00358232026008258,0.026861436583971086,9.611999149341314e-12
PPI,500,100,0.0014053584983116014,0.0010701641978470555,0.008428545748475324,6.414922172225141e-09
PPI,1000,100,-0.009323036423207212,0.0011074113622486983,0.01205253212480651,1.3251616239891593e-09
