method,p,n,trial,std,lambda,theta,error,error_max,error_min
PPI,50,1000,0,1.0,0.9033945521972775,0.05133327924168375,0.00014938081980436495,0.0008046359232129171,1.2369848846228827e-07
Classical,50,1000,0,1.0,,0.05133327924168375,0.0012038175153841846,0.006429047201482954,3.458151704624123e-07
PPI,50,1000,1,1.0,0.8230217829160928,0.05133327924168375,0.00013319506509025064,0.0008509265763981576,2.5445743928454393e-07
Classical,50,1000,1,1.0,,0.05133327924168375,0.0009341338435777298,0.0040036643680664155,1.081885661745738e-07
PPI,50,1000,2,1.0,0.9124798245407085,0.05133327924168375,0.00012965989212508164,0.0008448422478165731,2.954323870290541e-07
Classical,50,1000,2,1.0,,0.05133327924168375,0.0012117626897302448,0.005885960354370773,1.333882657180539e-06
PPI,50,1000,3,1.0,0.9037570770548421,0.05133327924168375,0.00014565820082257478,0.0006371058594159624,8.181745337760235e-08
Classical,50,1000,3,1.0,,0.05133327924168375,0.0006998022523398422,0.00433495418665922,1.0260426745647488e-08
PPI,50,1000,4,1.0,0.8872031193394391,0.05133327924168375,0.00013402596858336178,0.0005544074704007042,1.5588817889919047e-07
Classical,50,1000,4,1.0,,0.05133327924168375,0.000982855866243609,0.006235907073372629,8.604193945567997e-08
PPI,50,1000,5,1.0,0.8355030283707026,0.05133327924168375,0.00013120664344769576,0.0005983103196402542,6.6421973457381265e-09
Classical,50,1000,5,1.0,,0.05133327924168375,0.0009243641432979727,0.003427034121423459,5.12199756009176e-06
PPI,50,1000,6,1.0,0.9135388443331346,0.05133327924168375,0.00015509325530014737,0.000926218214423687,1.531203900588281e-08
Classical,50,1000,6,1.0,,0.05133327924168375,0.0009353476759941054,0.006176669678923936,1.9141508514941874e-08
PPI,50,1000,7,1.0,0.86866669264896,0.05133327924168375,0.0001200673649307524,0.0005425383826680097,5.121344529700154e-10
Classical,50,1000,7,1.0,,0.05133327924168375,0.0009316770586279377,0.006550924805313001,3.0080567248850675e-06
PPI,50,1000,8,1.0,0.9186688385800929,0.05133327924168375,0.00012801210120430396,0.0005004845924235346,7.48996268569139e-07
Classical,50,1000,8,1.0,,0.05133327924168375,0.0007719359566203224,0.0031974924977139045,3.789103496473868e-07
PPI,50,1000,9,1.0,0.8799591671705118,0.05133327924168375,0.00013242052766572035,0.0005947472650985496,9.805866554586193e-08
Classical,50,1000,9,1.0,,0.05133327924168375,0.000846460895241358,0.004297710632398103,8.284207539651892e-09
PPI,50,1000,10,1.0,0.8994034972828368,0.05133327924168375,0.0001283518156297775,0.0005505384590045074,6.314970277593619e-10
Classical,50,1000,10,1.0,,0.05133327924168375,0.0008736486245763789,0.0032470363663935032,2.73527411380961e-07
PPI,50,1000,11,1.0,0.9486598613804487,0.05133327924168375,0.0001518524985879959,0.0007109044976063887,1.2630436545916697e-07
Classical,50,1000,11,1.0,,0.05133327924168375,0.0010551527713114864,0.006893892211605814,2.873989165130078e-08
PPI,50,1000,12,1.0,0.8966549588855599,0.05133327924168375,0.00013664344922784718,0.0008103447743928882,1.0986857017614962e-07
Classical,50,1000,12,1.0,,0.05133327924168375,0.0011338279587081847,0.010226232216037608,2.211958455733154e-07
PPI,50,1000,13,1.0,0.9382127565768749,0.05133327924168375,0.00012307373720635268,0.0009399905016827183,8.51482182304853e-08
Classical,50,1000,13,1.0,,0.05133327924168375,0.0014359780748294478,0.012554187357195056,2.0616606405905175e-08
PPI,50,1000,14,1.0,0.9062015079773216,0.05133327924168375,0.00011416597665685362,0.0005863438943615206,9.380940610156232e-10
Classical,50,1000,14,1.0,,0.05133327924168375,0.001323299670751078,0.008402849353535986,1.2653656540732155e-07
PPI,50,1000,15,1.0,0.9473125875667376,0.05133327924168375,0.00012297675532980156,0.0006167069802699815,1.8548258704763205e-10
Classical,50,1000,15,1.0,,0.05133327924168375,0.0012961101966982877,0.009217645600843098,3.252404938476312e-08
PPI,50,1000,16,1.0,0.9656097783305554,0.05133327924168375,0.00012405182732626183,0.0008777262742334011,4.670262853615027e-08
Classical,50,1000,16,1.0,,0.05133327924168375,0.0011680038662889886,0.005615813600005872,4.160608084679271e-07
PPI,50,1000,17,1.0,0.8708503485139599,0.05133327924168375,0.00015415197126093796,0.0006592273346714176,1.2131166347314195e-07
Classical,50,1000,17,1.0,,0.05133327924168375,0.0014291154775700268,0.008402177260661675,2.0807578689784477e-06
PPI,50,1000,18,1.0,0.9664490921401974,0.05133327924168375,0.0001380898911013183,0.0004973432908125519,2.947473466854056e-09
Classical,50,1000,18,1.0,,0.05133327924168375,0.0012483961584044776,0.0057481814680480055,4.610277887770671e-07
PPI,50,1000,19,1.0,0.902517680747624,0.05133327924168375,0.00011943148942551367,0.000681426317280731,4.457289239784705e-08
Classical,50,1000,19,1.0,,0.05133327924168375,0.0010444860546625536,0.005921890837890376,6.226712277407696e-07
PPI,50,1000,20,1.0,0.8115579990747789,0.05133327924168375,0.00015236528452040106,0.0008673152953109535,1.2281631912110416e-07
Classical,50,1000,20,1.0,,0.05133327924168375,0.0011519455302898339,0.005992666250451538,2.9090917725904925e-06
PPI,50,1000,21,1.0,0.9156713481914402,0.05133327924168375,0.00012631045430414506,0.0005705752301422683,1.65937138909836e-09
Classical,50,1000,21,1.0,,0.05133327924168375,0.0013783152972702908,0.007065866313623062,2.8694441876225554e-08
PPI,50,1000,22,1.0,0.9056809133581717,0.05133327924168375,0.00011987249485622178,0.0007250771106274903,9.071206679695752e-08
Classical,50,1000,22,1.0,,0.05133327924168375,0.0009529847085443445,0.007265184831381759,4.993397888497169e-06
PPI,50,1000,23,1.0,0.8834494875781211,0.05133327924168375,0.0001372871057105843,0.0005211796022119174,3.4203758486022915e-08
Classical,50,1000,23,1.0,,0.05133327924168375,0.0012079193537634745,0.008039497433670353,3.7476042283458373e-07
PPI,50,1000,24,1.0,0.8295290817018034,0.05133327924168375,0.00015695107030177496,0.0009185172399556451,3.204369027556631e-07
Classical,50,1000,24,1.0,,0.05133327924168375,0.0010221322453990976,0.008035436871306147,1.6415715751543476e-06
PPI,50,1000,25,1.0,0.9344088199239526,0.05133327924168375,0.00015336786109729951,0.0005722590043081888,7.243124907434363e-07
Classical,50,1000,25,1.0,,0.05133327924168375,0.0009400742668101207,0.006248395006448514,5.586030272815769e-08
PPI,50,1000,26,1.0,0.8995589627849189,0.05133327924168375,0.0001275538855331513,0.0006160108387217621,8.589830771493621e-08
Classical,50,1000,26,1.0,,0.05133327924168375,0.001100745921484599,0.01173882045552726,2.3577050624591114e-07
PPI,50,1000,27,1.0,0.8528867114396664,0.05133327924168375,0.00012198225486901599,0.0007189186139457237,1.3584671647628635e-08
Classical,50,1000,27,1.0,,0.05133327924168375,0.0012127786849966372,0.013843783979128025,7.04911725241745e-08
PPI,50,1000,28,1.0,0.9408691035378958,0.05133327924168375,0.00012873219009768697,0.0008076491227394566,4.4887383978549873e-07
Classical,50,1000,28,1.0,,0.05133327924168375,0.0011554799736022046,0.005957713085132093,7.368237166707697e-08
PPI,50,1000,29,1.0,0.8661667679211695,0.05133327924168375,0.0001143176321113923,0.000501589879023121,2.4830503344451173e-07
Classical,50,1000,29,1.0,,0.05133327924168375,0.0007006912620870641,0.003978303089588216,8.464952487145027e-09
PPI,50,1000,30,1.0,0.9400438857965571,0.05133327924168375,0.00015940905904565354,0.0006597638960607585,2.93557538084852e-07
Classical,50,1000,30,1.0,,0.05133327924168375,0.001179594142294394,0.01004120506423331,1.0167909658444783e-05
PPI,50,1000,31,1.0,0.9479903315634551,0.05133327924168375,0.00011928791407527857,0.000689069138068321,1.1025199578702162e-07
Classical,50,1000,31,1.0,,0.05133327924168375,0.001657152519716031,0.007264528005562114,2.2553837930801763e-06
PPI,50,1000,32,1.0,0.8869228594783222,0.05133327924168375,0.00012218242187713168,0.0005891761121126604,4.561934950572059e-09
Classical,50,1000,32,1.0,,0.05133327924168375,0.0008263007359776772,0.00633061021452091,1.6549037838767129e-07
PPI,50,1000,33,1.0,0.8878370850680879,0.05133327924168375,0.00015960507339217808,0.0006897177091004694,1.6875927484624245e-07
Classical,50,1000,33,1.0,,0.05133327924168375,0.0012426675975383988,0.005300115892175627,3.323906352556834e-06
PPI,50,1000,34,1.0,0.9455773823359276,0.05133327924168375,0.0001191620460770369,0.0006084550947639999,2.6037832040353398e-08
Classical,50,1000,34,1.0,,0.05133327924168375,0.001354585423377107,0.008106576487883913,5.6262234459709695e-08
PPI,50,1000,35,1.0,0.9528547945920717,0.05133327924168375,0.0001253318669045193,0.0005509120409633513,1.46884641907368e-09
Classical,50,1000,35,1.0,,0.05133327924168375,0.0008454718839405522,0.009597323355607075,7.583562801960096e-08
PPI,50,1000,36,1.0,0.9615810223040822,0.05133327924168375,0.00014477894965469438,0.0007233635386646319,6.1564896017046956e-09
Classical,50,1000,36,1.0,,0.05133327924168375,0.0011123120235373891,0.00846468278761512,3.1432530906628405e-06
PPI,50,1000,37,1.0,0.8807710540026071,0.05133327924168375,0.00012578923889028414,0.0004767229688187259,9.554284926202912e-08
Classical,50,1000,37,1.0,,0.05133327924168375,0.0005519039751587633,0.004570371986873967,2.5076418915137767e-06
PPI,50,1000,38,1.0,0.8552740531108826,0.05133327924168375,0.00012863948169658765,0.0004766900402769873,2.809121654237714e-08
Classical,50,1000,38,1.0,,0.05133327924168375,0.0009597404167157562,0.00522041474972419,2.543879186700875e-09
PPI,50,1000,39,1.0,0.9290007318332512,0.05133327924168375,0.00014312157045752701,0.0009746213568602083,8.597270739019397e-07
Classical,50,1000,39,1.0,,0.05133327924168375,0.0012149611599434733,0.009522001136839781,2.1853882757008734e-08
PPI,50,1000,40,1.0,0.8693975049132097,0.05133327924168375,0.0001489803903476574,0.0007105890533789655,7.050872198592897e-08
Classical,50,1000,40,1.0,,0.05133327924168375,0.0007407089712314096,0.0066695085968442565,3.4132130955748773e-07
PPI,50,1000,41,1.0,0.9782424468418821,0.05133327924168375,0.00014951026843701916,0.000741159702370022,1.7358039205154054e-07
Classical,50,1000,41,1.0,,0.05133327924168375,0.0010955536735985523,0.0061237616926666195,2.4124385730008246e-06
PPI,50,1000,42,1.0,0.934893978899644,0.05133327924168375,0.00012761295941770905,0.0009143049106692006,7.963778515447504e-07
Classical,50,1000,42,1.0,,0.05133327924168375,0.0009832255675581785,0.0059587112036403565,1.2741478756502883e-06
PPI,50,1000,43,1.0,0.8317486065522676,0.05133327924168375,0.00014833355915465696,0.0006279319746364461,4.907561474460818e-08
Classical,50,1000,43,1.0,,0.05133327924168375,0.0008302625996514272,0.0068180316193975545,4.1315188278128546e-08
PPI,50,1000,44,1.0,0.9278973661514277,0.05133327924168375,0.00014812339628603465,0.0007435630551619911,7.093555502896765e-08
Classical,50,1000,44,1.0,,0.05133327924168375,0.0010176533621918866,0.0069020111827456316,9.93054823485199e-07
PPI,50,1000,45,1.0,0.8973787298350508,0.05133327924168375,0.00015816631731785946,0.0006472865539714813,1.2025146831409398e-08
Classical,50,1000,45,1.0,,0.05133327924168375,0.0009740588056379867,0.003871323244914118,1.3362730403117696e-06
PPI,50,1000,46,1.0,0.9003257315991464,0.05133327924168375,0.00015147722383371178,0.0006667261434841575,3.011883991627962e-08
Classical,50,1000,46,1.0,,0.05133327924168375,0.0013419789882341982,0.005481023506837661,1.3807399829700577e-07
PPI,50,1000,47,1.0,0.8922824664942587,0.05133327924168375,0.00014508052876364624,0.0006988417205990214,3.1237100132834806e-08
Classical,50,1000,47,1.0,,0.05133327924168375,0.0012067809059166821,0.008511574375871092,6.670637920606766e-08
PPI,50,1000,48,1.0,0.8938237072343771,0.05133327924168375,0.00012362980726354002,0.0007620936000769491,5.075079540846522e-11
Classical,50,1000,48,1.0,,0.05133327924168375,0.001087346765635986,0.009121206149334702,4.033267269529852e-06
PPI,50,1000,49,1.0,0.852429134609531,0.05133327924168375,0.00013515781045183426,0.0007379464442510139,7.96188891428247e-09
Classical,50,1000,49,1.0,,0.05133327924168375,0.0009434101464588125,0.004582236010139822,2.945403314727163e-06
