method,p,n,trial,std,lambda,theta,error,error_max,error_min
PPI,50,1000,0,1.0,0.12701107315051283,-0.007809307924247047,0.0010696060679131513,0.010698094636563292,7.696885514665971e-07
Classical,50,1000,0,1.0,,-0.007809307924247047,0.0009973623041340893,0.010199151702206437,6.184163169557862e-09
PPI,50,1000,1,1.0,0.12183310352252943,-0.007809307924247047,0.001436808380206031,0.007405291319531249,8.992474865695912e-08
Classical,50,1000,1,1.0,,-0.007809307924247047,0.0010369031065833906,0.004544875229570119,1.0033672240392537e-06
PPI,50,1000,2,1.0,0.14633139990171032,-0.007809307924247047,0.0015196593114840862,0.008566206150293474,1.2369272387244782e-06
Classical,50,1000,2,1.0,,-0.007809307924247047,0.001607561046994011,0.008248637800985135,9.928204057383752e-07
PPI,50,1000,3,1.0,0.14037356492478223,-0.007809307924247047,0.0013517617556262954,0.008582541621903918,2.865433286372208e-10
Classical,50,1000,3,1.0,,-0.007809307924247047,0.001209477912518431,0.006795135691955656,4.2880487121632384e-06
PPI,50,1000,4,1.0,0.09109674906155522,-0.007809307924247047,0.001298978914261493,0.006207639818928197,1.0108597925043736e-06
Classical,50,1000,4,1.0,,-0.007809307924247047,0.0014833497934048116,0.009487149256920178,1.0589205558373565e-06
PPI,50,1000,5,1.0,0.10961144746699332,-0.007809307924247047,0.0013957490963593159,0.008008512660764223,6.597107318702239e-06
Classical,50,1000,5,1.0,,-0.007809307924247047,0.001152696365405541,0.007121219179755648,5.399947153694278e-06
PPI,50,1000,6,1.0,0.11567677664809346,-0.007809307924247047,0.0009070136554339349,0.0055566381078319136,9.338490356063988e-10
Classical,50,1000,6,1.0,,-0.007809307924247047,0.0007974877622313827,0.004239846778213403,1.0975396877548334e-08
PPI,50,1000,7,1.0,0.11150994564830473,-0.007809307924247047,0.0011912095254861812,0.010845369129675772,1.7824520315565142e-06
Classical,50,1000,7,1.0,,-0.007809307924247047,0.0009780052343020228,0.008980871480107185,3.065760466328868e-08
PPI,50,1000,8,1.0,0.1333440951190391,-0.007809307924247047,0.0020859883971116105,0.020416970479050122,3.9005085510118174e-07
Classical,50,1000,8,1.0,,-0.007809307924247047,0.0015573930739627446,0.015402770853578595,1.6715679754361267e-07
PPI,50,1000,9,1.0,0.1293448129735659,-0.007809307924247047,0.001379609002161995,0.006213968906189774,8.93410886159698e-08
Classical,50,1000,9,1.0,,-0.007809307924247047,0.0007486592699133182,0.0035428000555356447,1.5233581317709689e-07
PPI,50,1000,10,1.0,0.13673320675851575,-0.007809307924247047,0.002285900032958869,0.017483776516778737,3.002705235384321e-07
Classical,50,1000,10,1.0,,-0.007809307924247047,0.0013446883022308737,0.0075835796751918035,1.164232148572696e-09
PPI,50,1000,11,1.0,0.13486555871130781,-0.007809307924247047,0.0013175670056998973,0.005980709359228982,1.370726762222082e-10
Classical,50,1000,11,1.0,,-0.007809307924247047,0.0011296165373719204,0.006312792554947885,1.0181719248959303e-06
PPI,50,1000,12,1.0,0.10103919421481504,-0.007809307924247047,0.0011114556612446028,0.006245777405543027,2.478790052084743e-07
Classical,50,1000,12,1.0,,-0.007809307924247047,0.0010757694724533755,0.007436589441954896,3.9927168126311965e-09
PPI,50,1000,13,1.0,0.115469213986362,-0.007809307924247047,0.0014031643951212163,0.00962954692323923,7.133097928105921e-09
Classical,50,1000,13,1.0,,-0.007809307924247047,0.0010773233730998573,0.004641656024992042,6.736986730286369e-07
PPI,50,1000,14,1.0,0.08681237558976737,-0.007809307924247047,0.000996027298898343,0.005363680239646191,3.227772739807206e-07
Classical,50,1000,14,1.0,,-0.007809307924247047,0.0010699599271400454,0.005129986517454422,2.5655608266925763e-08
PPI,50,1000,15,1.0,0.14507798703005012,-0.007809307924247047,0.0012524138620945303,0.00858711949607908,1.6311834355937917e-07
Classical,50,1000,15,1.0,,-0.007809307924247047,0.0007649865036336092,0.006195778634309097,2.004088472223231e-06
PPI,50,1000,16,1.0,0.11484284330973164,-0.007809307924247047,0.0011229783254413795,0.004075632051462685,6.728055556780909e-07
Classical,50,1000,16,1.0,,-0.007809307924247047,0.0010725833955000242,0.004408001421028666,4.567573322639575e-07
PPI,50,1000,17,1.0,0.10891523635988143,-0.007809307924247047,0.001055488285370095,0.01027107712858676,6.863603694031789e-07
Classical,50,1000,17,1.0,,-0.007809307924247047,0.0008723398213533139,0.008012554991046894,2.72187263235033e-06
PPI,50,1000,18,1.0,0.11738048712192756,-0.007809307924247047,0.0015468470969348233,0.006936479333275395,1.600916180820023e-07
Classical,50,1000,18,1.0,,-0.007809307924247047,0.0011446731235849573,0.005933010769057433,1.2134908117348975e-07
PPI,50,1000,19,1.0,0.10927796270000226,-0.007809307924247047,0.0012250947936777224,0.011780998478409426,7.018678883930941e-06
Classical,50,1000,19,1.0,,-0.007809307924247047,0.0011453489050418425,0.010417609383768085,1.4960717618074794e-07
PPI,50,1000,20,1.0,0.11700849946510349,-0.007809307924247047,0.001155306926741241,0.005695607165379228,3.443913099223343e-07
Classical,50,1000,20,1.0,,-0.007809307924247047,0.0010190645071129437,0.005836843347762362,1.4650597732453621e-08
PPI,50,1000,21,1.0,0.13630210722616218,-0.007809307924247047,0.0012835490889825615,0.00915866084937555,2.6307396853076686e-06
Classical,50,1000,21,1.0,,-0.007809307924247047,0.0007213735352002144,0.003890555142631459,5.086142435013062e-07
PPI,50,1000,22,1.0,0.13638316527768204,-0.007809307924247047,0.0014360307421933552,0.008683436978479684,3.635179585753592e-07
Classical,50,1000,22,1.0,,-0.007809307924247047,0.0009116651218519263,0.0052262226175839996,3.110398994123795e-10
PPI,50,1000,23,1.0,0.12292234936994084,-0.007809307924247047,0.000930325249496375,0.004661294520534637,1.0040199453045242e-07
Classical,50,1000,23,1.0,,-0.007809307924247047,0.0007525011222756074,0.003612167816237207,1.4523858558084761e-06
PPI,50,1000,24,1.0,0.10906586358341043,-0.007809307924247047,0.0010208510855597333,0.008312767191987801,3.859265501064937e-07
Classical,50,1000,24,1.0,,-0.007809307924247047,0.0009815017251267914,0.007127541319752275,1.86952341692176e-09
