method,p,n,trial,std,theta,error,error_max,error_min
PPI,1000,500,18,1.0,0.0012091989118102875,0.0016896817942872583,0.017088094762545983,3.5399005312172933e-09
Classical,1000,500,18,1.0,0.0012091989118102875,0.16746232545537357,1.8413760419930492,2.3752640378102837e-07
PPI,1000,500,19,1.0,0.0012091989118102875,0.0016161318887961428,0.022436857456746215,5.2875720028582625e-11
Classical,1000,500,19,1.0,0.0012091989118102875,0.16762125358302948,1.4895301416594326,1.2752623683775363e-07
PPI,1000,500,20,1.0,0.0012091989118102875,0.0015910708874020054,0.021271677684369418,1.0915687254891039e-10
Classical,1000,500,20,1.0,0.0012091989118102875,0.1768748890876051,1.4520696057408469,2.2295473460822955e-07
PPI,1000,500,21,1.0,0.0012091989118102875,0.0015264259954387138,0.014674596841801479,1.6200189852394014e-12
Classical,1000,500,21,1.0,0.0012091989118102875,0.15927265667706264,1.345923363114304,1.6023614159378982e-06
PPI,1000,500,22,1.0,0.0012091989118102875,0.0017735855853448586,0.025092722713387517,4.197565316512546e-10
Classical,1000,500,22,1.0,0.0012091989118102875,0.16723644938657553,1.7498938565647155,1.1955427756566955e-07
PPI,1000,500,23,1.0,0.0012091989118102875,0.001634815493805311,0.02080085973266109,3.953385037093008e-09
Classical,1000,500,23,1.0,0.0012091989118102875,0.17443867068132227,1.5001171583400856,7.136576640840178e-11
PPI,1000,500,24,1.0,0.0012091989118102875,0.0014991203582073239,0.013143836565218099,2.255246646037672e-11
Classical,1000,500,24,1.0,0.0012091989118102875,0.16529396081566977,1.4859849796268918,2.961422304153202e-07
PPI,1000,500,25,1.0,0.0012091989118102875,0.0015112674444632242,0.016987182762556258,1.953834375760376e-08
Classical,1000,500,25,1.0,0.0012091989118102875,0.171514719423617,1.4315371795130925,6.529517646207027e-08
PPI,1000,500,26,1.0,0.0012091989118102875,0.001607671091894892,0.014930824245102784,1.4627825405963436e-11
Classical,1000,500,26,1.0,0.0012091989118102875,0.16198975280539674,1.2965549310353648,5.195332358814574e-12
PPI,1000,500,27,1.0,0.0012091989118102875,0.0013788104077628045,0.016071349442336895,2.984155528439252e-10
Classical,1000,500,27,1.0,0.0012091989118102875,0.17312374311269377,1.578934849532547,1.6740242606753492e-06
PPI,1000,500,28,1.0,0.0012091989118102875,0.0014314045996404751,0.015620368592825168,1.0505872118492946e-09
Classical,1000,500,28,1.0,0.0012091989118102875,0.16142092583188095,1.9303266235592726,3.516114695271683e-06
PPI,1000,500,29,1.0,0.0012091989118102875,0.0014069014242538693,0.01788642384460571,1.1024116756519182e-08
Classical,1000,500,29,1.0,0.0012091989118102875,0.16363090986876921,1.628569934100448,2.763320183397839e-07
PPI,1000,500,30,1.0,0.0012091989118102875,0.0014965001049925925,0.02410089913534017,7.808634826127433e-10
Classical,1000,500,30,1.0,0.0012091989118102875,0.17076431852700585,3.4291216549750367,4.705886885488543e-07
PPI,1000,500,31,1.0,0.0012091989118102875,0.0015782956691166433,0.015106222141950775,2.5830650965032064e-10
Classical,1000,500,31,1.0,0.0012091989118102875,0.16444545904083485,1.5885794034452005,2.2707738539923035e-07
PPI,1000,500,32,1.0,0.0012091989118102875,0.0015608878173745927,0.01893550920798968,1.3918904135371912e-10
Classical,1000,500,32,1.0,0.0012091989118102875,0.16309378326311674,1.4257381522925483,2.931649704158561e-06
PPI,1000,500,33,1.0,0.0012091989118102875,0.0014844479899282746,0.012147785481372964,4.419172061755763e-09
Classical,1000,500,33,1.0,0.0012091989118102875,0.17670201251182976,1.7522754910918041,1.6609065066282407e-06
PPI,1000,500,34,1.0,0.0012091989118102875,0.0016511473252897799,0.01675495056286459,6.652653246665773e-09
Classical,1000,500,34,1.0,0.0012091989118102875,0.1568671001881339,1.3718949902718423,4.850954677503231e-08
PPI,1000,500,35,1.0,0.0012091989118102875,0.0016038210131640604,0.021898939106048308,9.35341287672805e-09
Classical,1000,500,35,1.0,0.0012091989118102875,0.16346941908174945,2.2033677734568076,6.71051566522945e-08
PPI,1000,500,36,1.0,0.0012091989118102875,0.0014761333129979831,0.01723487590576667,1.3842079253015097e-09
Classical,1000,500,36,1.0,0.0012091989118102875,0.16866486159333463,1.4711868398525332,1.1372414336164002e-07
PPI,1000,500,37,1.0,0.0012091989118102875,0.0017094266883992723,0.02317542155527023,4.892556299742605e-10
