method,p,n,trial,std,lambda,theta,error,error_max,error_min
PPI,2,1000,0,1.0,0.4809235523945419,0.3772390069901296,0.00021419321436775407,0.0004257593172773382,2.627111458169951e-06
Classical,2,1000,0,1.0,,0.3772390069901296,0.00018658752458438238,0.00022337759846642914,0.00014979745070233566
PPI,2,1000,1,1.0,0.4896971484271167,0.3772390069901296,0.00017324361675336546,0.00032719023166210285,1.929700184462805e-05
Classical,2,1000,1,1.0,,0.3772390069901296,0.0008228619088847319,0.0009505041775770319,0.000695219640192432
PPI,2,1000,2,1.0,0.42088883972044244,0.3772390069901296,2.5099841603588233e-05,4.8233332106648264e-05,1.966351100528204e-06
Classical,2,1000,2,1.0,,0.3772390069901296,0.000495614504338833,0.000989611466532769,1.6175421448968624e-06
PPI,2,1000,3,1.0,0.45195965737181654,0.3772390069901296,0.0002852150010277995,0.0005147461298622131,5.568387219338592e-05
Classical,2,1000,3,1.0,,0.3772390069901296,0.00011359271958945715,0.00014447676472109208,8.27086744578222e-05
PPI,2,1000,4,1.0,0.4629013994110813,0.3772390069901296,0.00015063661678230223,0.0003011615126169306,1.1172094767386625e-07
Classical,2,1000,4,1.0,,0.3772390069901296,1.539750682437817e-05,1.7118144716588388e-05,1.3676868932167953e-05
PPI,2,1000,5,1.0,0.5100852888309287,0.3772390069901296,0.0003276860902763701,0.0006532121276015103,2.1600529512298347e-06
Classical,2,1000,5,1.0,,0.3772390069901296,0.0006262525523381911,0.0011467949521179147,0.00010571015255846748
PPI,2,1000,6,1.0,0.508330815448716,0.3772390069901296,0.00010783477550673482,0.0002130516518770454,2.6178991364242443e-06
Classical,2,1000,6,1.0,,0.3772390069901296,0.00017808303137483044,0.0002993334004705065,5.683266227915437e-05
PPI,2,1000,7,1.0,0.4364287397245627,0.3772390069901296,6.20220419267952e-05,0.00010923265969756254,1.4811424156027866e-05
Classical,2,1000,7,1.0,,0.3772390069901296,9.125282676747956e-05,0.00017516909221316587,7.336561321793265e-06
PPI,2,1000,8,1.0,0.4842414472397399,0.3772390069901296,0.00018027958744404692,0.0003605276635120904,3.1511376003463085e-08
Classical,2,1000,8,1.0,,0.3772390069901296,3.314163298769668e-05,6.565500234086845e-05,6.282636345249134e-07
PPI,2,1000,9,1.0,0.4820306683121144,0.3772390069901296,0.0002717183239852693,0.0004667448098210444,7.669183814949419e-05
Classical,2,1000,9,1.0,,0.3772390069901296,1.1744654687131855e-05,2.096557640587947e-05,2.523732968384238e-06
PPI,2,1000,10,1.0,0.4482831869608962,0.3772390069901296,0.0013243027837233873,0.0015506864036109044,0.0010979191638358704
Classical,2,1000,10,1.0,,0.3772390069901296,0.0012910016588124273,0.0020279283753874343,0.0005540749422374205
PPI,2,1000,11,1.0,0.4337789552750944,0.3772390069901296,0.0014578201666287241,0.001725233617871605,0.0011904067153858432
Classical,2,1000,11,1.0,,0.3772390069901296,0.0015019152715037816,0.0024729132594948967,0.0005309172835126666
PPI,2,1000,12,1.0,0.41814435652766785,0.3772390069901296,0.0011398621824850364,0.0022703989914265306,9.325373543542208e-06
Classical,2,1000,12,1.0,,0.3772390069901296,0.000890589962686242,0.0011580001825469003,0.0006231797428255838
PPI,2,1000,13,1.0,0.42346578680963953,0.3772390069901296,0.0017915586849356975,0.0018120022424104089,0.0017711151274609864
Classical,2,1000,13,1.0,,0.3772390069901296,0.002753078717704061,0.0032353417216644544,0.002270815713743668
PPI,2,1000,14,1.0,0.4366769790933089,0.3772390069901296,1.971030958669017e-05,2.975703752627429e-05,9.663581647106046e-06
