method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
Tuned PPI,4000,0.48653565670815785,0.5385576904625101,4,0.0,0.01,True,0.00025915482934355666,0.0,0.05202203375435227
Classical,4000,0.48653890828850394,0.538554438882164,4,0.0,0.01,True,0.0002591548293435588,,0.0520155305936601
PPI,4000,0.48932739848902673,0.5420471307225314,5,0.0,0.01,True,0.0001808345321693419,,0.05271973223350468
Tuned PPI,4000,0.4888824424292299,0.5422587623310432,5,0.0,0.01,True,0.00017545246370253737,0.0,0.053376319901813296
Classical,4000,0.48888577865775107,0.542255426102522,5,0.0,0.01,True,0.00017545246370253737,,0.05336964744477091
PPI,4000,0.4996862493892529,0.5527588135706161,6,0.0,0.01,True,0.0003466938022864304,,0.05307256418136319
Tuned PPI,4000,0.49895911687358263,0.5531203545961553,6,0.0,0.01,True,0.0003414729482545989,0.0,0.05416123772257264
Classical,4000,0.498962502162534,0.5531169693072039,6,0.0,0.01,True,0.0003414729482545989,,0.05415446714466987
PPI,4000,0.4612605316940786,0.5133252645882531,7,0.0,0.01,True,8.144087355060965e-05,,0.052064732894174515
Tuned PPI,4000,0.4618365711666909,0.5126730054176076,7,0.0,0.01,True,8.178399495177503e-05,0.0,0.05083643425091672
Classical,4000,0.4618397486424362,0.5126698279418622,7,0.0,0.01,True,8.178399495177644e-05,,0.05083007929942601
PPI,4000,0.4866392873661833,0.5393974292850497,8,0.0,0.01,True,0.00018224496781765834,,0.052758141918866464
Tuned PPI,4000,0.486875020393747,0.5396032936916973,8,0.0,0.01,True,0.00018432525921866996,0.06103695864754226,0.05272827329795032
Classical,4000,0.4871618388682548,0.5393451811013867,8,0.0,0.01,True,0.00018446229480489497,,0.052183342233131924
PPI,4000,0.46209944911520956,0.5148148549811203,9,0.0,0.01,True,8.022047646222935e-05,,0.05271540586591078
Tuned PPI,4000,0.4617203367228337,0.5151175505640339,9,0.0,0.01,True,8.106999834948103e-05,0.0,0.053397213841200164
