method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
Classical,2000,0.4594956276790339,0.6021633080205734,7,0.0,0.01,True,0.0006489557431394187,,0.14266768034153948
PPI,2000,0.45915535597193285,0.5998721658152244,8,0.0,0.01,True,0.0006606100891194424,,0.14071680984329155
Tuned PPI,2000,0.45915535597193285,0.5998721658152244,8,0.0,0.01,True,0.0006606100891194424,1.0,0.14071680984329155
Classical,2000,0.4580669082646466,0.6014287090477463,8,0.0,0.01,True,0.0006709269504165257,,0.14336180078309968
PPI,2000,0.3959458304447921,0.5385356017905508,9,0.0,0.01,True,0.000806742961740482,,0.14258977134575873
Tuned PPI,2000,0.3960742278729451,0.5386541582026231,9,0.0,0.01,True,0.0008012497786508462,0.6819740839008914,0.14257993032967797
Classical,2000,0.39697031568829994,0.5382876376659963,9,0.0,0.01,True,0.0007895348710578988,,0.14131732197769636
PPI,3000,0.42504424056980505,0.5503591206555852,0,0.0,0.01,True,0.00017377615241340503,,0.12531488008578018
Tuned PPI,3000,0.42511664421134565,0.5504255479535153,0,0.0,0.01,True,0.00017194104786696934,0.40537638430001877,0.12530890374216963
Classical,3000,0.4280560709852609,0.5475807672427329,0,0.0,0.01,True,0.00017069559380514742,,0.11952469625747197
PPI,3000,0.4383552794812019,0.5599381662446944,1,0.0,0.01,True,2.829944309459116e-06,,0.12158288676349249
Tuned PPI,3000,0.43803730666356766,0.5598448526600128,1,0.0,0.01,True,3.4212297061903308e-06,0.0,0.12180754599644517
Classical,3000,0.4380474581384275,0.559834701185153,1,0.0,0.01,True,3.4212297061903308e-06,,0.1217872430467255
PPI,3000,0.4133954675912615,0.5297040307299145,2,0.0,0.01,True,0.0008994042624355049,,0.11630856313865295
Tuned PPI,3000,0.4133905298944503,0.5297346029028503,2,0.0,0.01,True,0.0008979296410419401,0.6343749020409664,0.11634407300840005
Classical,3000,0.411378200990387,0.5317914086996955,2,0.0,0.01,True,0.0008953744591206674,,0.12041320770930852
PPI,3000,0.4441634677827678,0.5631365255576206,3,0.0,0.01,True,0.001018714223277512,,0.11897305777485284
Tuned PPI,3000,0.44478243033715686,0.5632877940116598,3,0.0,0.01,True,0.0010124289094894105,0.0,0.11850536367450298
Classical,3000,0.44479230660722086,0.5632779177415957,3,0.0,0.01,True,0.0010124289094894105,,0.11848561113437489
PPI,3000,0.42230436515604347,0.5424520155380873,4,0.0,0.01,True,0.00038387714145662595,,0.12014765038204384
Tuned PPI,3000,0.42230436515604347,0.5424520155380873,4,0.0,0.01,True,0.00038387714145662595,1.0,0.12014765038204384
Classical,3000,0.42300215792645046,0.5420203610173681,4,0.0,0.01,True,0.00038240705432072996,,0.1190182030909176
PPI,3000,0.39027857639252134,0.5058800146972147,5,0.0,0.01,True,0.0013508315954902188,,0.11560143830469333
Tuned PPI,3000,0.38815695381705617,0.5083547689464583,5,0.0,0.01,True,0.0013414197317001494,0.0,0.12019781512940209
Classical,3000,0.3881669711364965,0.508344751627018,5,0.0,0.01,True,0.0013414197317001494,,0.12017778049052147
PPI,3000,0.41014677470941296,0.5322324130577807,6,0.0,0.01,True,0.001251461740569994,,0.12208563834836772
Tuned PPI,3000,0.409738636208561,0.5319857540922975,6,0.0,0.01,True,0.001269393817357201,0.0,0.12224711788373654
Classical,3000,0.40974882431746446,0.5319755659833941,6,0.0,0.01,True,0.0012693938173571986,,0.12222674166592967
PPI,3000,0.4192152221104747,0.5400317391301881,7,0.0,0.01,True,0.00020767236200589214,,0.12081651701971341
Tuned PPI,3000,0.41824075483066064,0.5411424249717427,7,0.0,0.01,True,0.00020621994052315662,0.0,0.12290167014108205
Classical,3000,0.4182509974901319,0.5411321823122714,7,0.0,0.01,True,0.00020621994052315662,,0.12288118482213956
PPI,3000,0.4668150359333051,0.5896274334868671,8,0.0,0.01,True,0.0020192032053199566,,0.12281239755356199
