method,p,n,theta,error,error_max,error_min,trial,std
Classical,200,1000,0.0018555700082791091,0.0012408595729086194,0.00910317558858375,7.944520060457938e-08,2.0,1.0
PPI,200,1000,0.0018555700082791091,0.0012648512219987106,0.012467284409036059,3.5327595509862065e-09,,
Classical,200,1000,0.0018555700082791091,0.0012648512219987106,0.012467284409036059,3.5327595509878563e-09,3.0,1.0
PPI,200,1000,0.0018555700082791091,0.001071333909555023,0.015070663325860028,7.565811565655108e-10,,
Classical,200,1000,0.0018555700082791091,0.001071333909555023,0.015070663325860028,7.565811565647474e-10,4.0,1.0
PPI,200,1000,0.0018555700082791091,0.0012250228589824896,0.006960241381689037,1.9434251424583801e-10,,
Classical,200,1000,0.0018555700082791091,0.0012250228589824898,0.006960241381689023,1.943425142454511e-10,5.0,1.0
PPI,200,1000,0.0018555700082791091,0.001294365001458143,0.008296606407707258,1.2126570754706755e-07,,
Classical,200,1000,0.0018555700082791091,0.0012943650014581429,0.008296606407707264,1.212657075470772e-07,6.0,1.0
PPI,200,1000,0.0018555700082791091,0.0011735744260784487,0.009423527545359857,2.0767673887916464e-10,,
Classical,200,1000,0.0018555700082791091,0.0011735744260784487,0.009423527545359857,2.0767673887876465e-10,7.0,1.0
PPI,200,1000,0.0018555700082791091,0.0013178948244098718,0.013237576378519515,1.6617187164786997e-08,,
Classical,200,1000,0.0018555700082791091,0.0013178948244098718,0.013237576378519515,1.6617187164786997e-08,8.0,1.0
PPI,200,1000,0.0018555700082791091,0.001352767888681618,0.01295911881566733,6.761302754666427e-12,,
Classical,200,1000,0.0018555700082791091,0.0013527678886816178,0.012959118815667334,6.761302754702513e-12,9.0,1.0
PPI,500,1000,-0.0017597686189995817,0.0019875831564090908,0.018380349797616526,1.862626775838654e-09,,
Classical,500,1000,-0.0017597686189995817,0.0019875831564090908,0.018380349797616533,1.8626267758368572e-09,0.0,1.0
PPI,500,1000,-0.0017597686189995817,0.0021184201018977413,0.020997042323361935,9.48033023060555e-09,,
Classical,500,1000,-0.0017597686189995817,0.0021184201018977413,0.020997042323361935,9.48033023060555e-09,1.0,1.0
PPI,500,1000,-0.0017597686189995817,0.0023711440484898904,0.018669947542439193,5.379537265365068e-10,,
Classical,500,1000,-0.0017597686189995817,0.0023711440484898904,0.018669947542439214,5.379537265365068e-10,2.0,1.0
PPI,500,1000,-0.0017597686189995817,0.002142060935066916,0.028586061518669503,4.2930895241667016e-10,,
Classical,500,1000,-0.0017597686189995817,0.002142060935066916,0.028586061518669503,4.2930895241695766e-10,3.0,1.0
PPI,500,1000,-0.0017597686189995817,0.0020484078161237622,0.0241085753008282,3.356910112607608e-08,,
Classical,500,1000,-0.0017597686189995817,0.0020484078161237622,0.024108575300828224,3.356910112608116e-08,4.0,1.0
PPI,500,1000,-0.0017597686189995817,0.002017161535777895,0.02208364110269747,3.1118050341403667e-10,,
Classical,500,1000,-0.0017597686189995817,0.0020171615357778947,0.02208364110269747,3.1118050341415904e-10,5.0,1.0
PPI,500,1000,-0.0017597686189995817,0.00208718673077479,0.01684079677953233,8.993957691699109e-11,,
Classical,500,1000,-0.0017597686189995817,0.00208718673077479,0.016840796779532343,8.993957691659625e-11,6.0,1.0
PPI,500,1000,-0.0017597686189995817,0.002091609844379965,0.026254321107143954,6.56233498890636e-09,,
Classical,500,1000,-0.0017597686189995817,0.002091609844379965,0.026254321107143954,6.5623349889066415e-09,7.0,1.0
PPI,500,1000,-0.0017597686189995817,0.002062138271232783,0.027955827169994556,1.3816506731460372e-08,,
