method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
PPI,1000,0.15863500533840147,0.6757607461085405,0,0.0,0.01,True,0.010218856222695936,,0.5171257407701391
Tuned PPI,1000,0.1644345870755755,0.6705130232086214,0,0.0,0.01,True,0.010270738033481832,0.0,0.5060784361330459
Classical,1000,0.16456113833033564,0.6703864719538613,0,0.0,0.01,True,0.010270738033481832,,0.5058253336235257
PPI,1000,0.5179936989918466,1.0442212706537992,1,0.0,0.01,False,0.057755229632945146,,0.5262275716619527
Tuned PPI,1000,0.5186527738466267,1.0437747384201206,1,0.0,0.01,False,0.05774394691969344,0.5175658631401011,0.5251219645734939
Classical,1000,0.5211557276402268,1.0414998049856525,1,0.0,0.01,False,0.0577319068229649,,0.5203440773454258
PPI,1000,0.0933120030342765,0.6215851461285316,2,0.0,0.01,True,0.01494700080187735,,0.5282731430942551
Tuned PPI,1000,0.09921398856415492,0.615382696118018,2,0.0,0.01,True,0.014936822076598268,0.0,0.516168707553863
Classical,1000,0.09934306301772822,0.6152536216644447,2,0.0,0.01,True,0.014936822076598268,,0.5159105586467165
PPI,1000,0.3240111404501904,0.8118791735100519,3,0.0,0.01,True,0.015532534547523274,,0.4878680330598615
Tuned PPI,1000,0.32420799562009156,0.8114275453773292,3,0.0,0.01,True,0.01551061818496519,0.5742854894782067,0.48721954975723764
Classical,1000,0.3251527495114145,0.8101391047850751,3,0.0,0.01,True,0.015481089449230441,,0.48498635527366063
PPI,1000,0.1044402913260647,0.6116150107281417,4,0.0,0.01,True,0.01339031913232412,,0.507174719402077
Tuned PPI,1000,0.10354595659456872,0.6135890027953848,4,0.0,0.01,True,0.01334789752549676,0.0,0.5100430462008161
Classical,1000,0.10367349924975805,0.6134614601401953,4,0.0,0.01,True,0.01334789752549676,,0.5097879608904372
PPI,1000,0.18434283737634882,0.6874829101957748,5,0.0,0.01,True,0.07842324006550863,,0.503140072819426
Tuned PPI,1000,0.18485400483297654,0.6869355299187667,5,0.0,0.01,True,0.07844484230142687,0.647860217401839,0.5020815250857902
Classical,1000,0.16435273307849935,0.707370178000363,5,0.0,0.01,True,0.07848459369510198,,0.5430174449218637
PPI,1000,0.15535558618062156,0.6971934471031023,6,0.0,0.01,True,0.018481440517823747,,0.5418378609224808
Tuned PPI,1000,0.15896862376359472,0.6933812099360035,6,0.0,0.01,True,0.018452746792423747,0.0,0.5344125861724087
Classical,1000,0.15910226032763525,0.693247573371963,6,0.0,0.01,True,0.018452746792423747,,0.5341453130443277
PPI,1000,0.016431962600302108,0.5747560802724649,7,0.0,0.01,True,0.022895151230812476,,0.5583241176721628
Tuned PPI,1000,0.046030129653723884,0.544808740099754,7,0.0,0.01,True,0.022915209826916694,0.0,0.4987786104460301
Classical,1000,0.04615485549559503,0.5446840142578828,7,0.0,0.01,True,0.022915209826916694,,0.49852915876228776
PPI,1000,0.32075239655432075,0.8080125905942807,8,0.0,0.01,True,0.0032292385044480993,,0.4872601940399599
Tuned PPI,1000,0.29284851999222006,0.8363794214526165,8,0.0,0.01,True,0.003244424614390904,0.0,0.5435309014603964
Classical,1000,0.29298443670526214,0.8362435047395744,8,0.0,0.01,True,0.003244424614390904,,0.5432590680343123
PPI,1000,0.4657331443008226,0.9769209455176633,9,0.0,0.01,True,0.024852504364146728,,0.5111878012168407
Tuned PPI,1000,0.46569614298931306,0.9768057135891329,9,0.0,0.01,True,0.024834364667713917,0.7317132497638696,0.5111095705998199
Classical,1000,0.4582586933110561,0.9838279691562619,9,0.0,0.01,True,0.024784932610548958,,0.5255692758452057
PPI,2000,0.19203298715039607,0.5318620049244159,0,0.0,0.01,True,0.01111727880132582,,0.33982901777401986
Tuned PPI,2000,0.1921571314627373,0.5319039334120024,0,0.0,0.01,True,0.011114094392839578,0.5089568541032312,0.3397468019492651
Classical,2000,0.18496528449633817,0.539267911667698,0,0.0,0.01,True,0.011110823788956187,,0.35430262717135985
PPI,2000,0.1614283044290342,0.5188400645453257,1,0.0,0.01,True,0.02630908079718752,,0.3574117601162915
Tuned PPI,2000,0.1648326402810235,0.5158282763416078,1,0.0,0.01,True,0.02623048281941511,0.0,0.35099563606058426
Classical,2000,0.16487652022120922,0.515784396401422,1,0.0,0.01,True,0.02623048281941511,,0.3509078761802128
PPI,2000,0.47663149161734053,0.8418176957001985,2,0.0,0.01,True,0.013539192168392172,,0.36518620408285796
Tuned PPI,2000,0.4658789615420825,0.8525637329950254,2,0.0,0.01,True,0.013534708874054334,0.0,0.3866847714529429
Classical,2000,0.4659273031819748,0.8525153913551331,2,0.0,0.01,True,0.013534708874054334,,0.3865880881731583
PPI,2000,0.2969961358082985,0.6392079835779783,3,0.0,0.01,True,0.0007079991123507347,,0.3422118477696798
Tuned PPI,2000,0.28604775516056385,0.6500369999344218,3,0.0,0.01,True,0.000721607388408507,0.0,0.3639892447738579
Classical,2000,0.2860932595049147,0.649991495590071,3,0.0,0.01,True,0.0007216073884085053,,0.36389823608515626
PPI,2000,0.15147872621955805,0.5132946402539039,4,0.0,0.01,True,0.014216685094547843,,0.3618159140343459
Tuned PPI,2000,0.15184489741494117,0.5131571918410991,4,0.0,0.01,True,0.014196896901018063,0.3790289519513978,0.3613122944261579
Classical,2000,0.14877427773618254,0.5163674195689608,4,0.0,0.01,True,0.014184825560059205,,0.36759314183277825
PPI,2000,0.42052551247250014,0.7773013618520163,5,0.0,0.01,True,0.009089080722293034,,0.3567758493795161
Tuned PPI,2000,0.4225654765503567,0.7754336453517662,5,0.0,0.01,True,0.00904519532978177,0.0,0.3528681688014095
Classical,2000,0.42260959058640063,0.7753895313157222,5,0.0,0.01,True,0.00904519532978177,,0.35277994072932156
PPI,2000,0.41560932777291915,0.7859998365880727,6,0.0,0.01,True,0.009569533248775196,,0.37039050881515356
Tuned PPI,2000,0.4234918440267184,0.7786240245004394,6,0.0,0.01,True,0.009612861458420965,0.0,0.355132180473721
Classical,2000,0.4235362410996057,0.778579627427552,6,0.0,0.01,True,0.009612861458420965,,0.35504338632794635
PPI,2000,0.20281370416433833,0.5613321632123587,7,0.0,0.01,True,0.0070108118893730375,,0.3585184590480204
Tuned PPI,2000,0.20152498525381732,0.5624744501806748,7,0.0,0.01,True,0.0070219777019961595,0.0,0.3609494649268574
Classical,2000,0.20157010957817872,0.5624293258563133,7,0.0,0.01,True,0.0070219777019961595,,0.3608592162781346
PPI,2000,0.23656598772091872,0.5973092327770801,8,0.0,0.01,True,0.008217639617116,,0.3607432450561614
Tuned PPI,2000,0.2353491697947554,0.5983892375293824,8,0.0,0.01,True,0.008215912430341525,0.0,0.36304006773462705
Classical,2000,0.23539455547714205,0.5983438518469958,8,0.0,0.01,True,0.008215912430341518,,0.36294929636985374
PPI,2000,0.3762042614032818,0.7386361982267023,9,0.0,0.01,True,0.010126097691727065,,0.36243193682342056
Tuned PPI,2000,0.3727924174464874,0.7420250389668428,9,0.0,0.01,True,0.010135715301118854,0.0,0.3692326215203554
