method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
Classical,2000,0.432849418911566,0.5112589880318711,2,0.0,0.01,True,0.0004547954360807116,,0.07840956912030511
PPI,2000,0.4851857519628101,0.5602474019852609,3,0.0,0.01,True,0.0009425443890423654,,0.0750616500224508
Tuned PPI,2000,0.48495848808910375,0.5599265448545719,3,0.0,0.01,True,0.0009395064573956882,0.2653926897497364,0.0749680567654682
Classical,2000,0.48659902281844764,0.5580879896241591,3,0.0,0.01,True,0.0009384291865178814,,0.07148896680571143
PPI,2000,0.48611561841324064,0.5572413743595901,4,0.0,0.01,True,0.0003242234938842939,,0.07112575594634946
Tuned PPI,2000,0.4861136678833784,0.557241902279453,4,0.0,0.01,True,0.00032425907719647103,0.9690299262452209,0.07112823439607463
Classical,2000,0.4851180088924384,0.5581930488913355,4,0.0,0.01,True,0.000325380067415225,,0.07307503999889708
PPI,2000,0.45755950381005367,0.5307706419946134,5,0.0,0.01,True,0.00012826927883583263,,0.07321113818455977
Tuned PPI,2000,0.45755950381005367,0.5307706419946134,5,0.0,0.01,True,0.00012826927883583263,1.0,0.07321113818455977
Classical,2000,0.4579632124544545,0.5306972338669644,5,0.0,0.01,True,0.00012623547401510997,,0.07273402141250995
PPI,2000,0.455004200035868,0.531556252768806,6,0.0,0.01,True,0.0010911040031341148,,0.07655205273293803
Tuned PPI,2000,0.45581351557254024,0.5313628769645751,6,0.0,0.01,True,0.0010969822016581947,0.0,0.07554936139203483
Classical,2000,0.45582296042346826,0.531353432113647,6,0.0,0.01,True,0.0010969822016581947,,0.07553047169017879
PPI,2000,0.4830342937544996,0.5546083074203012,7,0.0,0.01,True,0.0002588503000784309,,0.07157401366580163
Tuned PPI,2000,0.48196257074495413,0.5556404318055751,7,0.0,0.01,True,0.00025616721774220823,0.0,0.07367786106062096
Classical,2000,0.4819717816290911,0.555631220921438,7,0.0,0.01,True,0.00025616721774220823,,0.07365943929234692
PPI,2000,0.47549833031857314,0.5485239775444153,8,0.0,0.01,True,0.00013937724084220527,,0.07302564722584215
