method,p,n,trial,std,theta,error,error_max,error_min
PPI,500,10,0,1.0,0.0031707325659675275,0.001984587454139177,0.0083511568518442,4.606016384035335e-08
Classical,500,10,0,1.0,0.0031707325659675275,0.001984587454139177,0.0083511568518442,4.606016384035335e-08
PPI,500,10,1,1.0,0.0031707325659675275,0.0019605611538098225,0.009727432346082105,8.669812524456969e-08
Classical,500,10,1,1.0,0.0031707325659675275,0.0019605611538098225,0.009727432346082105,8.669812524456969e-08
PPI,500,10,2,1.0,0.0031707325659675275,0.002011877458393054,0.007181858410154477,1.008559280652541e-09
Classical,500,10,2,1.0,0.0031707325659675275,0.0020118774583932487,0.007181858410155249,1.0085592807383728e-09
PPI,500,10,3,1.0,0.0031707325659675275,0.0019904422490622286,0.01058495755510064,5.174059765786782e-10
Classical,500,10,3,1.0,0.0031707325659675275,0.0019904422490622286,0.01058495755510064,5.174059765786782e-10
PPI,500,10,4,1.0,0.0031707325659675275,0.0020548359125025666,0.010217606120235943,3.071921554060205e-08
Classical,500,10,4,1.0,0.0031707325659675275,0.0020548359125025666,0.010217606120235943,3.071921554060205e-08
PPI,500,10,5,1.0,0.0031707325659675275,0.001998552803874381,0.00808251002690069,6.581429694829461e-10
Classical,500,10,5,1.0,0.0031707325659675275,0.001998552803874381,0.00808251002690069,6.581429694829461e-10
PPI,500,10,6,1.0,0.0031707325659675275,0.00198950756566585,0.009985825812679748,5.468273350901539e-10
Classical,500,10,6,1.0,0.0031707325659675275,0.00198950756566585,0.009985825812679748,5.468273350901539e-10
PPI,500,10,7,1.0,0.0031707325659675275,0.002003340012531908,0.007872044209107983,2.1846585997021362e-07
Classical,500,10,7,1.0,0.0031707325659675275,0.0020033400125323516,0.00787204420911004,2.1846585997001404e-07
PPI,500,10,8,1.0,0.0031707325659675275,0.0019633889622908615,0.007949635647678619,3.067990543213862e-09
Classical,500,10,8,1.0,0.0031707325659675275,0.0019633889622908615,0.007949635647678619,3.067990543213862e-09
PPI,500,10,9,1.0,0.0031707325659675275,0.002040336069172489,0.0077147808281286725,6.9713948645422425e-12
Classical,500,10,9,1.0,0.0031707325659675275,0.002040336069172518,0.007714780828128752,6.971394864995688e-12
PPI,500,100,0,1.0,0.0031707325659675275,0.0021000498815041354,0.018411585634254168,2.91055674182141e-09
Classical,500,100,0,1.0,0.0031707325659675275,0.0021000498815041354,0.018411585634254168,2.91055674182141e-09
PPI,500,100,1,1.0,0.0031707325659675275,0.002013534467760262,0.016817936064285784,1.0594886722464226e-07
Classical,500,100,1,1.0,0.0031707325659675275,0.0020135344677602632,0.01681793606428579,1.0594886722463999e-07
PPI,500,100,2,1.0,0.0031707325659675275,0.0020681314320528063,0.01910854084748544,2.3062920253963037e-08
Classical,500,100,2,1.0,0.0031707325659675275,0.0020681314320528063,0.01910854084748544,2.3062920253963037e-08
PPI,500,100,3,1.0,0.0031707325659675275,0.001960489329504153,0.01609902721831029,4.7514946765236575e-09
Classical,500,100,3,1.0,0.0031707325659675275,0.001960489329504153,0.01609902721831029,4.7514946765236575e-09
PPI,500,100,4,1.0,0.0031707325659675275,0.0021200803973219265,0.01572926054576316,5.91982065161896e-08
Classical,500,100,4,1.0,0.0031707325659675275,0.00212008039732194,0.015729260545763263,5.919820651613336e-08
PPI,500,100,5,1.0,0.0031707325659675275,0.002175237849068833,0.01685351768695788,1.3257193796849783e-08
Classical,500,100,5,1.0,0.0031707325659675275,0.002175237849068839,0.016853517686957913,1.3257193796843391e-08
PPI,500,100,6,1.0,0.0031707325659675275,0.002139531873867697,0.016495777809802204,3.351857733113595e-08
Classical,500,100,6,1.0,0.0031707325659675275,0.002139531873867697,0.016495777809802197,3.3518577331136584e-08
PPI,500,100,7,1.0,0.0031707325659675275,0.0021980618562695326,0.015636408562579137,3.4698324328359654e-07
Classical,500,100,7,1.0,0.0031707325659675275,0.00219806185626954,0.01563640856257917,3.469832432834903e-07
PPI,500,100,8,1.0,0.0031707325659675275,0.002043659887977145,0.020813070948687867,7.286806428212085e-08
Classical,500,100,8,1.0,0.0031707325659675275,0.0020436598879771486,0.02081307094868789,7.286806428210587e-08
PPI,500,100,9,1.0,0.0031707325659675275,0.0020239927070829387,0.020443615731453074,1.0926101188443016e-09
Classical,500,100,9,1.0,0.0031707325659675275,0.0020239927070829465,0.020443615731453202,1.0926101188401157e-09
PPI,500,500,0,1.0,0.0031707325659675275,113.12474776728229,841.3407162824292,0.000155085522861093
Classical,500,500,0,1.0,0.0031707325659675275,113.12474776728229,841.3407162824292,0.000155085522861093
PPI,500,500,1,1.0,0.0031707325659675275,481.8369286925642,7313.424285137032,0.00013260580821656173
Classical,500,500,1,1.0,0.0031707325659675275,481.8369286925642,7313.424285137032,0.00013260580821656173
PPI,500,500,2,1.0,0.0031707325659675275,5.625328619126983,48.21649867027346,2.8131194799235834e-06
Classical,500,500,2,1.0,0.0031707325659675275,5.625328619126983,48.21649867027346,2.8131194799235834e-06
PPI,500,500,3,1.0,0.0031707325659675275,1.6362632243743929,17.634756042285048,6.837651469114662e-08
Classical,500,500,3,1.0,0.0031707325659675275,1.6362632243743929,17.634756042285048,6.837651469114662e-08
PPI,500,500,4,1.0,0.0031707325659675275,6.782857726019019,76.10262971272171,0.00036360034692801166
Classical,500,500,4,1.0,0.0031707325659675275,6.782857726019019,76.10262971272171,0.00036360034692801166
PPI,500,500,5,1.0,0.0031707325659675275,32.37348338746982,274.9300999598447,0.0005257430498471116
Classical,500,500,5,1.0,0.0031707325659675275,32.37348338746982,274.9300999598447,0.0005257430498471116
PPI,500,500,6,1.0,0.0031707325659675275,2.408319221992647,18.095767590926396,1.1393880205848095e-05
Classical,500,500,6,1.0,0.0031707325659675275,2.408319221992647,18.095767590926396,1.1393880205848095e-05
PPI,500,500,7,1.0,0.0031707325659675275,1.1929030447751585,13.543552705492157,2.6466862830923627e-07
Classical,500,500,7,1.0,0.0031707325659675275,1.1929030447751585,13.543552705492157,2.6466862830923627e-07
