method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
PPI,2000,0.495499598784887,0.5026882771404934,7,0.0,0.01,True,4.2002243609236055e-07,,0.007188678355606382
Tuned PPI,2000,0.49544304811821477,0.5028266606020229,7,0.0,0.01,True,4.1300792498229146e-07,0.0,0.0073836124838080885
Classical,2000,0.4954439711851731,0.5028257375350647,7,0.0,0.01,True,4.1300792498229146e-07,,0.007381766349891572
PPI,2000,0.4989210230737229,0.5065067584231462,8,0.0,0.01,True,3.689995647863737e-06,,0.007585735349423306
Tuned PPI,2000,0.49888199990603604,0.5064534702324494,8,0.0,0.01,True,3.584562800331054e-06,0.17957470425174876,0.00757147032641331
Classical,2000,0.49904099530662877,0.5062742697199866,8,0.0,0.01,True,3.563300433787486e-06,,0.007233274413357804
PPI,2000,0.4969761707383006,0.5042713047676114,9,0.0,0.01,True,1.386416740754872e-06,,0.0072951340293108125
Tuned PPI,2000,0.49728073517058763,0.5045332323460402,9,0.0,0.01,True,1.7199455546771604e-06,0.0451178904614464,0.007252497175452566
Classical,2000,0.4973013994471602,0.5045393346453951,9,0.0,0.01,True,1.7378245517815648e-06,,0.007237935198234957
PPI,3000,0.49518704218766896,0.5012719113696514,0,0.0,0.01,True,2.2677854152581535e-06,,0.006084869181982477
Tuned PPI,3000,0.49526542400350065,0.5013144372515602,0,0.0,0.01,True,2.421276646281886e-06,0.04550477763249673,0.006049013248059565
Classical,3000,0.4953208562361033,0.501264769194378,0,0.0,0.01,True,2.429698811594623e-06,,0.005943912958274733
PPI,3000,0.4974267692741007,0.503372126511277,1,0.0,0.01,True,2.0587802831421675e-06,,0.005945357237176374
Tuned PPI,3000,0.49755906863135485,0.5034982014960984,1,0.0,0.01,True,1.6929743360954464e-06,0.3435546842124913,0.005939132864743513
Classical,3000,0.49749576001917606,0.503696731905684,1,0.0,0.01,True,1.5287119326285022e-06,,0.006200971886507922
PPI,3000,0.5000912280245378,0.5060522967746335,2,0.0,0.01,False,7.965214559086475e-06,,0.005961068750095722
Tuned PPI,3000,0.500049293631101,0.505994013092071,2,0.0,0.01,False,7.485758971137278e-06,0.0783140062717374,0.005944719460970083
Classical,3000,0.4999742805723347,0.5060605108006139,2,0.0,0.01,True,7.445934851156689e-06,,0.006086230228279199
PPI,3000,0.49670236808030793,0.5028381750730975,3,0.0,0.01,True,4.3938635010026224e-06,,0.006135806992789539
Tuned PPI,3000,0.4964943337450632,0.5026307056862723,3,0.0,0.01,True,3.5188698671693985e-06,0.0,0.00613637194120914
Classical,3000,0.4964948451520124,0.5026301942793231,3,0.0,0.01,True,3.5188698671693985e-06,,0.006135349127310674
PPI,3000,0.4946747295462552,0.5010146615646799,4,0.0,0.01,True,2.4539300505052364e-06,,0.006339932018424699
Tuned PPI,3000,0.49500009812015844,0.5011908241757613,4,0.0,0.01,True,1.997745538692946e-06,0.0,0.006190726055602891
Classical,3000,0.4950006140569947,0.5011903082389251,4,0.0,0.01,True,1.997745538692946e-06,,0.006189694181930383
PPI,3000,0.4950009778624905,0.5009349607850121,5,0.0,0.01,True,3.8314923420803115e-06,,0.005933982922521619
Tuned PPI,3000,0.4948068304410261,0.5008510307233156,5,0.0,0.01,True,4.427775435475456e-06,0.0,0.006044200282289525
Classical,3000,0.4948073341663635,0.500850526997978,5,0.0,0.01,True,4.427775435475456e-06,,0.00604319283161453
PPI,3000,0.493705624141148,0.4996135106398862,6,0.0,0.01,False,6.6972076305962756e-06,,0.005907886498738191
Tuned PPI,3000,0.49378678500737627,0.4997575888159649,6,0.0,0.01,False,6.8631582006701434e-06,0.0,0.0059708038085886095
Classical,3000,0.49378728261583116,0.49975709120751,6,0.0,0.01,False,6.8631582006701434e-06,,0.005969808591678838
PPI,3000,0.4984982303781051,0.5044552427798192,7,0.0,0.01,True,1.1642965228771787e-06,,0.005957012401714146
Tuned PPI,3000,0.49866888696047945,0.5045920306845424,7,0.0,0.01,True,1.401764089006957e-06,0.09109036889514883,0.00592314372406294
Classical,3000,0.4985487785457927,0.5047429509982186,7,0.0,0.01,True,1.4268664248306003e-06,,0.006194172452425928
PPI,3000,0.4973995897216318,0.5033090028183155,8,0.0,0.01,True,2.022744800713667e-06,,0.005909413096683691
Tuned PPI,3000,0.4971894353702571,0.5030310353063661,8,0.0,0.01,True,1.8284920921845785e-06,0.0,0.005841599936108943
Classical,3000,0.4971899222108252,0.5030305484657979,8,0.0,0.01,True,1.8284920921845785e-06,,0.0058406262549726695
PPI,3000,0.49722591283417333,0.5032783174951708,9,0.0,0.01,True,8.21418944404918e-08,,0.00605240466099749
Tuned PPI,3000,0.49703422946241504,0.5030547887207686,9,0.0,0.01,True,9.118224077850227e-09,0.01132637416707897,0.006020559258353542
Classical,3000,0.49710212722449404,0.5029821342341214,9,0.0,0.01,True,8.740231438048556e-09,,0.005880007009627375
PPI,4000,0.49701910654595766,0.5019265017047065,0,0.0,0.01,True,1.817049200350477e-06,,0.004907395158748884
Tuned PPI,4000,0.4971000073078029,0.5019767415850706,0,0.0,0.01,True,1.4789110861294954e-06,0.023931196200114968,0.004876734277267647
Classical,4000,0.4970491090365656,0.502030855154683,0,0.0,0.01,True,1.4710604258531347e-06,,0.004981746118117469
