method,p,n,trial,std,lambda,theta,error,error_max,error_min
PPI,2,100,0,1.0,0.3975313599366394,0.32137617712656363,0.0027293953585481195,0.00415468774370369,0.0013041029733925492
Debias,2,100,0,1.0,,0.32137617712656363,0.0004707882799916533,0.0006023146925499681,0.0003392618674333385
Classical,2,100,0,1.0,,0.32137617712656363,0.014701719446198303,0.02827212365515051,0.0011313152372460964
PPI,2,100,1,1.0,0.4278708816990611,0.32137617712656363,0.00988008091347072,0.01458434316057032,0.005175818666371119
Debias,2,100,1,1.0,,0.32137617712656363,0.0006264715732172308,0.0007914689608963686,0.00046147418553809305
Classical,2,100,1,1.0,,0.32137617712656363,0.01988302204982437,0.03630945406160344,0.0034565900380452985
PPI,2,100,2,1.0,0.6549682077133712,0.32137617712656363,0.0017647460569667668,0.0033670317058112614,0.00016246040812227218
Debias,2,100,2,1.0,,0.32137617712656363,0.0005708808023227978,0.0006826037747957952,0.0004591578298498003
Classical,2,100,2,1.0,,0.32137617712656363,0.01768098732496003,0.02728691518182756,0.0080750594680925
PPI,2,100,3,1.0,0.37913312388846226,0.32137617712656363,0.014472131225232578,0.026458943043218375,0.0024853194072467816
Debias,2,100,3,1.0,,0.32137617712656363,0.000952960989706528,0.0010161145301103521,0.0008898074493027039
Classical,2,100,3,1.0,,0.32137617712656363,0.022366680401296964,0.04176001888740153,0.0029733419151923967
PPI,2,100,4,1.0,0.5801851761155524,0.32137617712656363,0.003086254063564359,0.005927070582779379,0.00024543754434933903
Debias,2,100,4,1.0,,0.32137617712656363,0.0012175501596446087,0.0015183315289601094,0.0009167687903291078
Classical,2,100,4,1.0,,0.32137617712656363,0.004704258686692322,0.008527512778890465,0.0008810045944941785
PPI,2,100,5,1.0,0.5616801661938589,0.32137617712656363,0.010879615205530387,0.017942578987558657,0.003816651423502118
Debias,2,100,5,1.0,,0.32137617712656363,0.01619465106740021,0.029444458696280026,0.002944843438520398
Classical,2,100,5,1.0,,0.32137617712656363,0.021493394147479743,0.04224469851011887,0.0007420897848406157
PPI,2,100,6,1.0,0.5033178120012471,0.32137617712656363,0.007943723237892579,0.011962503971158903,0.0039249425046262556
Debias,2,100,6,1.0,,0.32137617712656363,0.0009396010097172217,0.0011876685113511869,0.0006915335080832565
Classical,2,100,6,1.0,,0.32137617712656363,0.012102825726170179,0.021813904053171497,0.0023917473991688595
PPI,2,100,7,1.0,0.5733272680361226,0.32137617712656363,0.005702600327216081,0.00634218067114668,0.005063019983285483
Debias,2,100,7,1.0,,0.32137617712656363,0.0004056044611683966,0.0008027134263957473,8.495495941045918e-06
Classical,2,100,7,1.0,,0.32137617712656363,0.0033359410833010963,0.005340572550007694,0.0013313096165944985
PPI,2,100,8,1.0,0.4430724951240609,0.32137617712656363,0.00010189919090856812,0.00010873712118470344,9.506126063243281e-05
Debias,2,100,8,1.0,,0.32137617712656363,0.0013645370551869133,0.001928193938300024,0.0008008801720738026
Classical,2,100,8,1.0,,0.32137617712656363,0.006141814027527452,0.012229642806426891,5.398524862801405e-05
PPI,2,100,9,1.0,0.2695842133777492,0.32137617712656363,0.002762104103500928,0.00517748865384277,0.00034671955315908554
Debias,2,100,9,1.0,,0.32137617712656363,0.0009099980509263072,0.0011798598087391333,0.0006401362931134811
Classical,2,100,9,1.0,,0.32137617712656363,0.004741460027291027,0.009251863995007669,0.00023105605957438532
PPI,2,100,10,1.0,0.7239266590213544,0.32137617712656363,0.0007210094303668007,0.0011195580622650888,0.0003224607984685125
Debias,2,100,10,1.0,,0.32137617712656363,0.0006057009849717403,0.0006469869966216318,0.0005644149733218489
Classical,2,100,10,1.0,,0.32137617712656363,0.004052055444654634,0.007112055551620883,0.0009920553376883854
PPI,2,100,11,1.0,0.4076258284448644,0.32137617712656363,0.03188242215760727,0.062220210486962496,0.00154463382825204
Debias,2,100,11,1.0,,0.32137617712656363,0.0006310772209641587,0.000922067294468896,0.0003400871474594213
Classical,2,100,11,1.0,,0.32137617712656363,0.06884568501753335,0.13675729541292242,0.0009340746221442918
PPI,2,100,12,1.0,0.6860747095187079,0.32137617712656363,0.0065003357603108216,0.007629223920140019,0.005371447600481624
Debias,2,100,12,1.0,,0.32137617712656363,0.0008968758633113519,0.0012826113209842944,0.0005111404056384094
Classical,2,100,12,1.0,,0.32137617712656363,0.0019085900376538685,0.0038166240203954785,5.560549122585077e-07
PPI,2,100,13,1.0,0.6364387978589676,0.32137617712656363,0.009481015842625319,0.018036977542068157,0.0009250541431824824
Debias,2,100,13,1.0,,0.32137617712656363,0.0008621483732725754,0.0013320567380732038,0.0003922400084719469
Classical,2,100,13,1.0,,0.32137617712656363,0.03323253561472416,0.04519880864919822,0.021266262580250096
PPI,2,100,14,1.0,0.525818124846125,0.32137617712656363,0.005429682056815733,0.009818938081248346,0.0010404260323831193
Debias,2,100,14,1.0,,0.32137617712656363,0.0010528368473617779,0.0012002439830473264,0.0009054297116762293
Classical,2,100,14,1.0,,0.32137617712656363,0.016014924263482166,0.030753353892063264,0.001276494634901066
PPI,2,100,15,1.0,0.3476740203266741,0.32137617712656363,0.030441800125387365,0.049497032224306244,0.011386568026468485
Debias,2,100,15,1.0,,0.32137617712656363,0.0007765430311434312,0.0010832037409548,0.00046988232133206255
Classical,2,100,15,1.0,,0.32137617712656363,0.05175941296122387,0.08508346562375246,0.01843536029869527
PPI,2,100,16,1.0,0.455586563348967,0.32137617712656363,0.002324749948727234,0.004461891277504776,0.0001876086199496922
Debias,2,100,16,1.0,,0.32137617712656363,0.0007989065214904912,0.000993480648271181,0.0006043323947098016
Classical,2,100,16,1.0,,0.32137617712656363,0.0065830887638555335,0.013053816598810577,0.00011236092890049008
PPI,2,100,17,1.0,0.5624867020778095,0.32137617712656363,0.017033213657472183,0.028769198281164938,0.005297229033779428
Debias,2,100,17,1.0,,0.32137617712656363,0.0018124973200134469,0.0020875455112913457,0.0015374491287355478
Classical,2,100,17,1.0,,0.32137617712656363,0.07848938081591564,0.10404594552380397,0.05293281610802732
PPI,2,100,18,1.0,0.4655830922308793,0.32137617712656363,0.0010190203912972466,0.0011718304698960368,0.0008662103126984564
Debias,2,100,18,1.0,,0.32137617712656363,0.007813400627098423,0.014852029214299147,0.0007747720398977003
Classical,2,100,18,1.0,,0.32137617712656363,0.008126363996272996,0.016148857187863807,0.00010387080468218592
PPI,2,100,19,1.0,0.48079335103061027,0.32137617712656363,0.01267305556201295,0.015152414351069806,0.010193696772956095
Debias,2,100,19,1.0,,0.32137617712656363,0.01672670537961352,0.025762908729953255,0.007690502029273783
Classical,2,100,19,1.0,,0.32137617712656363,0.01026533992907588,0.014082811708093512,0.0064478681500582495
PPI,2,100,20,1.0,0.5631536807543948,0.32137617712656363,0.006355354658089296,0.009691433708495206,0.003019275607683386
Debias,2,100,20,1.0,,0.32137617712656363,0.0006848188718506006,0.0008050123813819827,0.0005646253623192187
Classical,2,100,20,1.0,,0.32137617712656363,0.025406915531293664,0.034461967048265485,0.016351864014321846
PPI,2,100,21,1.0,0.39437279483971993,0.32137617712656363,0.008892829063086341,0.015623326710728944,0.0021623314154437393
Debias,2,100,21,1.0,,0.32137617712656363,0.0302791338772502,0.059497858432409255,0.0010604093220911415
Classical,2,100,21,1.0,,0.32137617712656363,0.0019650448030155187,0.0038685640953612624,6.152551066977469e-05
PPI,2,100,22,1.0,0.48473770310643566,0.32137617712656363,0.00810584555036021,0.010607727824601669,0.005603963276118751
Debias,2,100,22,1.0,,0.32137617712656363,0.024060970413193924,0.03602542670482024,0.012096514121567602
Classical,2,100,22,1.0,,0.32137617712656363,9.619810673374767e-05,0.00018082200160663783,1.1574211860857506e-05
PPI,2,100,23,1.0,0.4009025521426745,0.32137617712656363,0.0006418063536500011,0.001117489424468015,0.00016612328283198725
Debias,2,100,23,1.0,,0.32137617712656363,0.0002614146590429201,0.0005184816752094073,4.347642876432899e-06
Classical,2,100,23,1.0,,0.32137617712656363,0.003355468195743274,0.005400263164893297,0.0013106732265932514
PPI,2,100,24,1.0,0.3514986262432114,0.32137617712656363,0.008390518370016102,0.01362373587802827,0.003157300862003935
Debias,2,100,24,1.0,,0.32137617712656363,0.0008482700300409061,0.0011174437586864425,0.0005790963013953698
Classical,2,100,24,1.0,,0.32137617712656363,0.012748959511273566,0.02467581532370471,0.0008221036988424227
PPI,2,100,25,1.0,0.7896749264698224,0.32137617712656363,0.0036898249260913286,0.0072951938931002935,8.445595908236382e-05
Debias,2,100,25,1.0,,0.32137617712656363,0.0004631461622842675,0.0005078042659276585,0.00041848805864087645
Classical,2,100,25,1.0,,0.32137617712656363,0.010785028842092984,0.013759137657260032,0.007810920026925935
PPI,2,100,26,1.0,0.32899101132962094,0.32137617712656363,0.0015017377742545515,0.0030018768233478796,1.598725161223365e-06
Debias,2,100,26,1.0,,0.32137617712656363,0.0009971402189859488,0.0009980255305324886,0.000996254907439409
Classical,2,100,26,1.0,,0.32137617712656363,0.004314112479066756,0.0066427689905110025,0.001985455967622509
PPI,2,100,27,1.0,0.3537734369670608,0.32137617712656363,0.012978781334922392,0.025842469186699517,0.00011509348314526577
Debias,2,100,27,1.0,,0.32137617712656363,0.0009712434969086001,0.0011169850038965858,0.0008255019899206144
Classical,2,100,27,1.0,,0.32137617712656363,0.010882167023820971,0.021712535887913692,5.1798159728251046e-05
PPI,2,100,28,1.0,0.498752581266764,0.32137617712656363,0.006341454886550304,0.011651977254779466,0.0010309325183211428
Debias,2,100,28,1.0,,0.32137617712656363,0.0007360394884906565,0.000874591235544915,0.0005974877414363979
Classical,2,100,28,1.0,,0.32137617712656363,0.009314900601598538,0.018488967218177804,0.00014083398501927002
PPI,2,100,29,1.0,0.6134393786398123,0.32137617712656363,0.004619330422785822,0.009070565896555393,0.0001680949490162491
Debias,2,100,29,1.0,,0.32137617712656363,0.001245560457769141,0.0016571348196152515,0.0008339860959230301
Classical,2,100,29,1.0,,0.32137617712656363,2.0232795287925367e-05,3.747821130900033e-05,2.987379266850405e-06
PPI,2,600,0,1.0,0.36192366036651286,0.32137617712656363,0.00031371258144509266,0.0003569600170515577,0.0002704651458386277
Debias,2,600,0,1.0,,0.32137617712656363,0.0008190871508334144,0.0012983935929934388,0.0003397807086733899
Classical,2,600,0,1.0,,0.32137617712656363,0.0009141672461621389,0.0011198701780866073,0.0007084643142376705
PPI,2,600,1,1.0,0.3772963877397783,0.32137617712656363,0.0003731853900306081,0.0007437689824612188,2.6017975999974267e-06
Debias,2,600,1,1.0,,0.32137617712656363,0.0005266453841305325,0.0006767264698379118,0.000376564298423153
Classical,2,600,1,1.0,,0.32137617712656363,0.0010382763327231653,0.0020696133769787057,6.93928846762473e-06
PPI,2,600,2,1.0,0.3998289767730196,0.32137617712656363,0.001881053699539868,0.002680484105799992,0.001081623293279744
Debias,2,600,2,1.0,,0.32137617712656363,0.0033132836628987296,0.006158547112515552,0.0004680202132819075
Classical,2,600,2,1.0,,0.32137617712656363,0.0013802380093734022,0.0027505854559999776,9.890562746826928e-06
PPI,2,600,3,1.0,0.42007395046872287,0.32137617712656363,0.0003510364182021223,0.0006827878172189704,1.9285019185274194e-05
Debias,2,600,3,1.0,,0.32137617712656363,0.0012240962810209585,0.001572410210704557,0.00087578235133736
Classical,2,600,3,1.0,,0.32137617712656363,0.0005412638927833777,0.0009126725635592682,0.00016985522200748713
PPI,2,600,4,1.0,0.40099318771855463,0.32137617712656363,0.00106667855669186,0.001538065039102167,0.0005952920742815532
Debias,2,600,4,1.0,,0.32137617712656363,0.0013940127417390808,0.0018929350981988606,0.000895090385279301
Classical,2,600,4,1.0,,0.32137617712656363,0.0002158337618838245,0.00029090486659715496,0.00014076265717049403
PPI,2,600,5,1.0,0.4260387013867041,0.32137617712656363,0.003855750634680761,0.005472069563073955,0.0022394317062875667
Debias,2,600,5,1.0,,0.32137617712656363,0.010966526702707537,0.021405935191083532,0.0005271182143315428
Classical,2,600,5,1.0,,0.32137617712656363,0.0017446856229759169,0.00339264260961909,9.672863633274362e-05
PPI,2,600,6,1.0,0.35787427156222174,0.32137617712656363,0.001690947392764644,0.00224221086994308,0.0011396839155862085
Debias,2,600,6,1.0,,0.32137617712656363,0.0006828738472774284,0.0007449494755593836,0.0006207982189954731
Classical,2,600,6,1.0,,0.32137617712656363,0.002240483128308218,0.003387774312123111,0.0010931919444933248
PPI,2,600,7,1.0,0.40566913395737153,0.32137617712656363,0.0005757350708167924,0.001117947182081823,3.352295955176175e-05
Debias,2,600,7,1.0,,0.32137617712656363,0.0018688777961999767,0.0031842026546741006,0.0005535529377258526
Classical,2,600,7,1.0,,0.32137617712656363,0.0024385804040830527,0.0029000060889166858,0.001977154719249419
PPI,2,600,8,1.0,0.4784753620261263,0.32137617712656363,0.0006098321591412472,0.0011191779155767044,0.00010048640270578997
Debias,2,600,8,1.0,,0.32137617712656363,0.0002461955986261613,0.0003781791437555401,0.00011421205349678247
Classical,2,600,8,1.0,,0.32137617712656363,0.002509059262262572,0.00425871494102194,0.000759403583503204
PPI,2,600,9,1.0,0.4817640378050522,0.32137617712656363,0.0026176180839068783,0.005057346210636727,0.00017788995717703013
Debias,2,600,9,1.0,,0.32137617712656363,0.0020178493109795238,0.0025593324625231713,0.001476366159435876
Classical,2,600,9,1.0,,0.32137617712656363,0.0020732608889885568,0.004141270872298363,5.250905678750566e-06
PPI,2,600,10,1.0,0.429593368314935,0.32137617712656363,7.411945956499539e-05,0.000113390900697678,3.4848018432312774e-05
Debias,2,600,10,1.0,,0.32137617712656363,0.001103738156379906,0.002190168406068113,1.7307906691699076e-05
Classical,2,600,10,1.0,,0.32137617712656363,0.0011779160925351987,0.002140660673661637,0.00021517151140876045
PPI,2,600,11,1.0,0.35169440214949055,0.32137617712656363,0.00025011714421956945,0.0004523679034344922,4.786638500464668e-05
Debias,2,600,11,1.0,,0.32137617712656363,0.0009017381014915172,0.0015629817442846497,0.0002404944586983848
Classical,2,600,11,1.0,,0.32137617712656363,0.0004365353110410531,0.0008222906759268345,5.0779946155271694e-05
PPI,2,600,12,1.0,0.382893329789283,0.32137617712656363,0.0008076841966456217,0.0015810548591641384,3.431353412710504e-05
Debias,2,600,12,1.0,,0.32137617712656363,0.0004203954134026343,0.0007422139484304644,9.857687837480419e-05
Classical,2,600,12,1.0,,0.32137617712656363,0.0035494756436114756,0.007012958996851041,8.59922903719106e-05
PPI,2,600,13,1.0,0.40073098061675283,0.32137617712656363,0.0007236879956439984,0.0012097338618282762,0.0002376421294597207
Debias,2,600,13,1.0,,0.32137617712656363,0.000559730393531447,0.0010009662372251111,0.00011849454983778292
Classical,2,600,13,1.0,,0.32137617712656363,0.0023856558540293754,0.0042718735938325125,0.0004994381142262388
PPI,2,600,14,1.0,0.4365522404430359,0.32137617712656363,0.00014678448046719103,0.00022714932092143721,6.641964001294485e-05
Debias,2,600,14,1.0,,0.32137617712656363,0.001270768331442677,0.0020555554831949087,0.0004859811796904451
Classical,2,600,14,1.0,,0.32137617712656363,0.000343957656777463,0.00040130451214208564,0.00028661080141284035
PPI,2,600,15,1.0,0.3529208791148714,0.32137617712656363,0.0002589992124359808,0.0005178423115974819,1.5611327447973773e-07
Debias,2,600,15,1.0,,0.32137617712656363,0.000876161471053602,0.0012111102006873745,0.0005412127414198296
