method,p,n,trial,std,lambda,theta,error,error_max,error_min
PPI,2,10,0,1.0,0.7904620331031936,-0.25218041192516816,0.0021484777274416206,0.004081848951327108,0.0002151065035561327
Classical,2,10,0,1.0,,-0.25218041192516816,0.07662155922875698,0.1320454221407263,0.021197696316787674
PPI,2,10,1,1.0,1.0,-0.25218041192516816,0.0003644887618880709,0.00037784151723163054,0.00035113600654451135
Classical,2,10,1,1.0,,-0.25218041192516816,0.06413710533809391,0.08246824219852451,0.04580596847766332
PPI,2,10,2,1.0,0.7957111778278189,-0.25218041192516816,0.015726119867907253,0.029969340485445126,0.0014828992503693782
Classical,2,10,2,1.0,,-0.25218041192516816,0.39051493897965484,0.7187824691653889,0.06224740879392079
PPI,2,10,3,1.0,1.0,-0.25218041192516816,0.0001089925282725681,0.0002172422694289937,7.42787116142513e-07
Classical,2,10,3,1.0,,-0.25218041192516816,0.06022477284944867,0.09547565692944807,0.02497388876944927
PPI,2,10,4,1.0,0.5165783752486637,-0.25218041192516816,0.032022843777323395,0.033306897916622974,0.030738789638023824
Classical,2,10,4,1.0,,-0.25218041192516816,0.13917233311837163,0.18889375717454385,0.08945090906219941
PPI,2,10,5,1.0,1.0,-0.25218041192516816,0.0002597739168867518,0.0003581720199294082,0.0001613758138440953
Classical,2,10,5,1.0,,-0.25218041192516816,0.27396327500665985,0.3814858277924823,0.16644072222083744
PPI,2,10,6,1.0,0.7187510462398895,-0.25218041192516816,0.0038880649620536794,0.007513683276071368,0.0002624466480359906
Classical,2,10,6,1.0,,-0.25218041192516816,0.09137521006975838,0.09994688060926246,0.0828035395302543
PPI,2,10,7,1.0,1.0,-0.25218041192516816,0.0008228814853548287,0.0015220014909826463,0.00012376147972701106
Classical,2,10,7,1.0,,-0.25218041192516816,0.2278764651001586,0.405090759758493,0.0506621704418242
PPI,2,10,8,1.0,1.0,-0.25218041192516816,0.007711324871037354,0.010992228886759063,0.004430420855315643
Classical,2,10,8,1.0,,-0.25218041192516816,0.18081115877963305,0.21751455961850866,0.14410775794075742
PPI,2,10,9,1.0,0.6920777139648732,-0.25218041192516816,0.009478119774558397,0.01895555735322407,6.821958927247854e-07
Classical,2,10,9,1.0,,-0.25218041192516816,0.13950053627576386,0.27898978885308856,1.1283698439170308e-05
PPI,2,10,10,1.0,0.8051510009880415,-0.25218041192516816,0.0025657073950367667,0.0049800524340073826,0.00015136235606615087
Classical,2,10,10,1.0,,-0.25218041192516816,0.0193874874026643,0.03572825404029477,0.0030467207650338316
PPI,2,10,11,1.0,0.6086677398272277,-0.25218041192516816,0.011371223092205935,0.02205676235568084,0.0006856838287310317
Classical,2,10,11,1.0,,-0.25218041192516816,0.06910837716146329,0.1380493869722669,0.00016736735065965645
PPI,2,10,12,1.0,0.5473728052471382,-0.25218041192516816,0.0005720819230372815,0.0011255848361823653,1.857900989219766e-05
Classical,2,10,12,1.0,,-0.25218041192516816,0.003153777201232187,0.006267568693259438,3.998570920493671e-05
PPI,2,10,13,1.0,0.6533110390571394,-0.25218041192516816,0.0077235912725656854,0.009590018315048467,0.005857164230082905
Classical,2,10,13,1.0,,-0.25218041192516816,0.06421734188708916,0.09349797366750591,0.034936710106672424
PPI,2,10,14,1.0,0.3621796144582023,-0.25218041192516816,0.016125262685888618,0.02674253560289839,0.005507989768878847
Classical,2,10,14,1.0,,-0.25218041192516816,0.046091605484436554,0.08033204694605965,0.011851164022813459
PPI,2,10,15,1.0,1.0,-0.25218041192516816,0.004081068653986646,0.0043301564828045385,0.003831980825168754
Classical,2,10,15,1.0,,-0.25218041192516816,0.0748971177143164,0.11572602223198235,0.03406821319665043
PPI,2,10,16,1.0,0.4663329627732376,-0.25218041192516816,0.005279185950070315,0.010175959031883001,0.0003824128682576296
Classical,2,10,16,1.0,,-0.25218041192516816,0.01549126201829791,0.02969465731743987,0.0012878667191559526
PPI,2,10,17,1.0,0.2296570433711005,-0.25218041192516816,0.03219175068969087,0.051854433165735944,0.012529068213645796
Classical,2,10,17,1.0,,-0.25218041192516816,0.05377046658393379,0.08693431075266911,0.02060662241519847
PPI,2,10,18,1.0,0.7592186371863371,-0.25218041192516816,0.010688200748262785,0.020579203783939033,0.000797197712586538
Classical,2,10,18,1.0,,-0.25218041192516816,0.17921183521822498,0.3201949928549009,0.03822867758154908
PPI,2,10,19,1.0,0.563974210212987,-0.25218041192516816,0.05322977812222915,0.10582495851931092,0.0006345977251473715
Classical,2,10,19,1.0,,-0.25218041192516816,0.2539819579465647,0.5076351832350288,0.00032873265810061793
PPI,2,10,20,1.0,0.5818912576550478,-0.25218041192516816,0.005244945716350734,0.0076150396201664205,0.002874851812535047
Classical,2,10,20,1.0,,-0.25218041192516816,0.023260014924450543,0.030806793238654245,0.01571323661024684
PPI,2,10,21,1.0,0.6068761407524037,-0.25218041192516816,0.011108119898459981,0.018388643238913118,0.0038275965580068455
Classical,2,10,21,1.0,,-0.25218041192516816,0.047228100246742226,0.08913530082153717,0.005320899671947277
PPI,2,10,22,1.0,1.0,-0.25218041192516816,0.00034894421947064463,0.0006001513712268387,9.773706771445059e-05
Classical,2,10,22,1.0,,-0.25218041192516816,0.025712948959323117,0.04476744460921008,0.006658453309436154
PPI,2,10,23,1.0,0.6375746426789474,-0.25218041192516816,0.014606624016358991,0.02714569775215473,0.0020675502805632515
Classical,2,10,23,1.0,,-0.25218041192516816,0.07956756099349734,0.1564554756915647,0.0026796462954299777
PPI,2,10,24,1.0,0.23061553085306194,-0.25218041192516816,0.013685379794833662,0.02630380392804998,0.0010669556616173432
Classical,2,10,24,1.0,,-0.25218041192516816,0.020466192653551048,0.03860787333092,0.0023245119761820953
PPI,2,10,25,1.0,0.6983139853231425,-0.25218041192516816,0.004879913712252703,0.006706200353106105,0.003053627071399301
Classical,2,10,25,1.0,,-0.25218041192516816,0.06209895649414827,0.07776402013125537,0.046433892857041165
PPI,2,10,26,1.0,1.0,-0.25218041192516816,0.0006773008739688947,0.0012563275286274868,9.827421931030261e-05
