method,p,n,trial,sigma,theta,error,error_max,error_min
Imputed,10,50,8,2.0,-0.1085379037911433,0.011391790223070719,0.029282194696476995,0.0008027009347280666
Classical,10,50,8,2.0,-0.1085379037911433,0.028187874620482428,0.08637529236191742,0.0006740209139908667
PPI_lambda1,10,50,8,2.0,-0.1085379037911433,0.1621035786135964,0.6015038545487797,2.7346075721767482e-06
PPI_tuned,10,50,8,2.0,-0.1085379037911433,0.02554187673145144,0.12123350608707416,0.0013161905558883797
Debias_Lasso,10,50,8,2.0,-0.1085379037911433,0.039698416203410546,0.15136361506276255,0.0021944248537923705
Debias_ElasticNet,10,50,8,2.0,-0.1085379037911433,0.03414199914232878,0.13199579211205648,0.0021882132326294292
Debias_Ridge,10,50,8,2.0,-0.1085379037911433,0.08916429012654603,0.2798617278251528,0.0021862928856695137
Imputed,10,50,9,2.0,-0.1085379037911433,0.019459063933164416,0.06495996480579402,0.00118550976436885
Classical,10,50,9,2.0,-0.1085379037911433,0.019127682132882542,0.08283942981025286,3.1868927119915e-06
PPI_lambda1,10,50,9,2.0,-0.1085379037911433,0.13954063453678928,0.5476433520578804,2.163063901869844e-05
PPI_tuned,10,50,9,2.0,-0.1085379037911433,0.019206353787930987,0.047065615302097,0.002804302788045523
Debias_Lasso,10,50,9,2.0,-0.1085379037911433,0.019672583952552135,0.06597430054168608,0.0011600393768109022
Debias_ElasticNet,10,50,9,2.0,-0.1085379037911433,0.01967258395255213,0.06597430054168608,0.0011600393768109022
Debias_Ridge,10,50,9,2.0,-0.1085379037911433,0.07856048308909505,0.30276499127331236,0.00044375108028063006
Imputed,10,50,10,2.0,-0.1085379037911433,0.0168925353358346,0.037699762607523245,9.897051511412222e-07
Classical,10,50,10,2.0,-0.1085379037911433,0.01963581560876889,0.06890729236179237,0.0001525776751569033
PPI_lambda1,10,50,10,2.0,-0.1085379037911433,0.07889815214672158,0.1727644595405077,0.0001727611388213515
PPI_tuned,10,50,10,2.0,-0.1085379037911433,0.025011911264703153,0.08343247963081693,1.6520874991086352e-05
Debias_Lasso,10,50,10,2.0,-0.1085379037911433,0.016649836917566302,0.038806698968035076,0.00014005096776244122
Debias_ElasticNet,10,50,10,2.0,-0.1085379037911433,0.016649836917566302,0.038806698968035076,0.00014005096776244122
Debias_Ridge,10,50,10,2.0,-0.1085379037911433,0.06275907607589691,0.1262882361116649,0.0046960584910488755
Imputed,10,50,11,2.0,-0.1085379037911433,0.02139045575191297,0.08788323104432362,0.00034887788474897253
Classical,10,50,11,2.0,-0.1085379037911433,0.02732485560308412,0.06562419027822826,1.0660277718455664e-05
PPI_lambda1,10,50,11,2.0,-0.1085379037911433,0.13611074258870923,0.6423874111773755,0.0022082944679015577
PPI_tuned,10,50,11,2.0,-0.1085379037911433,0.037769954560659375,0.16463396625303378,0.0029792164468394338
Debias_Lasso,10,50,11,2.0,-0.1085379037911433,0.021500136723185757,0.08750613089527803,0.0004747757051692514
Debias_ElasticNet,10,50,11,2.0,-0.1085379037911433,0.021500136723185757,0.08750613089527803,0.0004747757051692514
Debias_Ridge,10,50,11,2.0,-0.1085379037911433,0.08358837358630414,0.40252434861026565,0.0016998940282557456
Imputed,10,50,12,2.0,-0.1085379037911433,0.01799180114391275,0.054874342273544,1.4110962745608772e-05
Classical,10,50,12,2.0,-0.1085379037911433,0.017616611719172857,0.06624618095035825,5.8930204740612105e-06
PPI_lambda1,10,50,12,2.0,-0.1085379037911433,0.1125817735059347,0.43050538203403876,0.0062229412906937625
PPI_tuned,10,50,12,2.0,-0.1085379037911433,0.030814863305554958,0.08409519614565723,3.147503880369213e-05
Debias_Lasso,10,50,12,2.0,-0.1085379037911433,0.01755168337657443,0.05056385799844651,1.4130374438724445e-05
Debias_ElasticNet,10,50,12,2.0,-0.1085379037911433,0.01755168337657443,0.05056385799844651,1.4130374438724445e-05
Debias_Ridge,10,50,12,2.0,-0.1085379037911433,0.07155326455349385,0.2433902964612084,0.0006482760773709362
Imputed,10,50,13,2.0,-0.1085379037911433,0.013920363820909975,0.04930920066772494,4.261428926426586e-06
Classical,10,50,13,2.0,-0.1085379037911433,0.03167368293596905,0.12068680547593164,5.77632190521374e-05
PPI_lambda1,10,50,13,2.0,-0.1085379037911433,0.08864034078626437,0.40177761512390253,0.001352703035398339
PPI_tuned,10,50,13,2.0,-0.1085379037911433,0.02629991282397187,0.12083465965444348,3.524152820470757e-05
Debias_Lasso,10,50,13,2.0,-0.1085379037911433,0.028946906099361392,0.1340052106085645,0.00011998663187435494
Debias_ElasticNet,10,50,13,2.0,-0.1085379037911433,0.02524596923642656,0.0992432266619272,0.00011847751861773605
Debias_Ridge,10,50,13,2.0,-0.1085379037911433,0.059158698871980366,0.28109899456383,0.0006292211017946389
Imputed,10,50,14,2.0,-0.1085379037911433,0.014572056110034778,0.04801387160108004,0.0003804290221828694
Classical,10,50,14,2.0,-0.1085379037911433,0.010795366065751589,0.04378403866506647,2.6116805410546046e-07
PPI_lambda1,10,50,14,2.0,-0.1085379037911433,0.10853460950150047,0.4050872646907787,8.198736708301364e-05
PPI_tuned,10,50,14,2.0,-0.1085379037911433,0.014129835346577866,0.046672441130717265,0.0004055303411036754
Debias_Lasso,10,50,14,2.0,-0.1085379037911433,0.014551742801325623,0.04772450035162296,0.0004034364094096242
Debias_ElasticNet,10,50,14,2.0,-0.1085379037911433,0.014551742801325623,0.04772450035162296,0.0004034364094096242
Debias_Ridge,10,50,14,2.0,-0.1085379037911433,0.050411160103478916,0.16146105637493804,0.0028056559124246577
Imputed,10,50,15,2.0,-0.1085379037911433,0.016913267453599272,0.05584860079775174,0.0001116922977618207
Classical,10,50,15,2.0,-0.1085379037911433,0.02825928819723955,0.08214818967497939,0.00016213612091713707
PPI_lambda1,10,50,15,2.0,-0.1085379037911433,0.15923783210918613,0.43539686327461613,0.01109325995803191
PPI_tuned,10,50,15,2.0,-0.1085379037911433,0.03976870201505278,0.10220559259697705,0.0015949527695298521
Debias_Lasso,10,50,15,2.0,-0.1085379037911433,0.018485630411595764,0.05328417688726155,0.000602819128218519
Debias_ElasticNet,10,50,15,2.0,-0.1085379037911433,0.018485630411595764,0.05328417688726155,0.000602819128218519
Debias_Ridge,10,50,15,2.0,-0.1085379037911433,0.08240124114421506,0.15189987326429788,0.005624381889251443
Imputed,10,50,16,2.0,-0.1085379037911433,0.020139030959483335,0.05012022112118518,0.003905703890124976
Classical,10,50,16,2.0,-0.1085379037911433,0.01214012809294147,0.045026124819523144,2.147107137843139e-05
PPI_lambda1,10,50,16,2.0,-0.1085379037911433,0.06247353288630871,0.15595972613667491,0.001719519183857373
PPI_tuned,10,50,16,2.0,-0.1085379037911433,0.013662059931633141,0.03491110280297059,6.795647508982322e-06
Debias_Lasso,10,50,16,2.0,-0.1085379037911433,0.0201296758025493,0.05330460702797427,0.0014553491371387625
Debias_ElasticNet,10,50,16,2.0,-0.1085379037911433,0.0201296758025493,0.05330460702797427,0.0014553491371387625
Debias_Ridge,10,50,16,2.0,-0.1085379037911433,0.04601537793171986,0.1121824416625576,8.920222819561479e-05
Imputed,10,50,17,2.0,-0.1085379037911433,0.02116792387295868,0.09725252843440615,1.10560513364488e-05
Classical,10,50,17,2.0,-0.1085379037911433,0.04359402432640158,0.15268705308460553,4.638728657008272e-06
PPI_lambda1,10,50,17,2.0,-0.1085379037911433,0.19542686935043924,0.8238885340058829,0.006455577041180831
PPI_tuned,10,50,17,2.0,-0.1085379037911433,0.046879154614726734,0.24625415982603485,0.001947268242710576
Debias_Lasso,10,50,17,2.0,-0.1085379037911433,0.06312358168123813,0.3698103179889681,0.003180143325730748
Debias_ElasticNet,10,50,17,2.0,-0.1085379037911433,0.05083056524674702,0.3028659897937703,0.0031594230022235063
Debias_Ridge,10,50,17,2.0,-0.1085379037911433,0.1253239194718271,0.5860418883495021,0.004640149332054399
Imputed,10,50,18,2.0,-0.1085379037911433,0.016258608644214315,0.04950847197528037,3.1968195241382e-05
Classical,10,50,18,2.0,-0.1085379037911433,0.024110116231367672,0.0584463993696175,0.0009610528589641455
PPI_lambda1,10,50,18,2.0,-0.1085379037911433,0.07485026812131726,0.22973735267084078,0.0010938147708195601
PPI_tuned,10,50,18,2.0,-0.1085379037911433,0.021388143077903016,0.06639194630367619,0.0004633680354360383
Debias_Lasso,10,50,18,2.0,-0.1085379037911433,0.016219955008526993,0.04808382194591204,5.44459525096525e-05
Debias_ElasticNet,10,50,18,2.0,-0.1085379037911433,0.016219955008526993,0.04808382194591204,5.44459525096525e-05
Debias_Ridge,10,50,18,2.0,-0.1085379037911433,0.05758694490532066,0.15913983252306746,0.0005324024771049606
Imputed,10,50,19,2.0,-0.1085379037911433,0.02614774259869567,0.09671432480878622,4.6530221617331735e-05
Classical,10,50,19,2.0,-0.1085379037911433,0.04068686850362941,0.29516107920636264,0.0006984646395213207
PPI_lambda1,10,50,19,2.0,-0.1085379037911433,0.21310671944619036,0.9859761632742078,0.03262924689283961
PPI_tuned,10,50,19,2.0,-0.1085379037911433,0.054323806418108786,0.25420007395353855,0.0015164828125014387
Debias_Lasso,10,50,19,2.0,-0.1085379037911433,0.05981720462748025,0.41673770752338707,7.591131706384202e-05
Debias_ElasticNet,10,50,19,2.0,-0.1085379037911433,0.05104371207756867,0.3492746895986384,4.5799828473290565e-06
Debias_Ridge,10,50,19,2.0,-0.1085379037911433,0.1570187485543018,0.7992620720612142,0.010304876543783715
Imputed,10,50,20,2.0,-0.1085379037911433,0.015188195405726806,0.058443101933421525,0.00019382042471027648
Classical,10,50,20,2.0,-0.1085379037911433,0.04132485888398545,0.11537407713356902,0.0004961482509603407
PPI_lambda1,10,50,20,2.0,-0.1085379037911433,0.13774038709408673,0.3471715390915457,0.015416863448179252
PPI_tuned,10,50,20,2.0,-0.1085379037911433,0.04094775797104048,0.1837087074097064,0.0001673553682466509
Debias_Lasso,10,50,20,2.0,-0.1085379037911433,0.015153468316302928,0.05763277027309,0.00019178356224689203
Debias_ElasticNet,10,50,20,2.0,-0.1085379037911433,0.015153468316302928,0.05763277027309,0.00019178356224689203
Debias_Ridge,10,50,20,2.0,-0.1085379037911433,0.07000200715904456,0.15711807961693633,0.011250258650928735
Imputed,10,50,21,2.0,-0.1085379037911433,0.011949900751546859,0.04281333087729127,4.860123841804043e-05
Classical,10,50,21,2.0,-0.1085379037911433,0.05109960550769503,0.1108647377395621,1.3126391198087126e-05
PPI_lambda1,10,50,21,2.0,-0.1085379037911433,0.06977481561991708,0.20065271566717824,4.932469484221733e-05
PPI_tuned,10,50,21,2.0,-0.1085379037911433,0.028401493779342535,0.09427324316858379,0.00043638010596835523
Debias_Lasso,10,50,21,2.0,-0.1085379037911433,0.022472994753914566,0.058412798493174566,0.0003406968388206171
Debias_ElasticNet,10,50,21,2.0,-0.1085379037911433,0.018378829305652444,0.04807776635315656,4.08726812843397e-05
Debias_Ridge,10,50,21,2.0,-0.1085379037911433,0.047870330102834834,0.13852810059559106,7.816053383593959e-06
Imputed,10,50,22,2.0,-0.1085379037911433,0.01831684987491731,0.0715228405662272,9.96965229216278e-06
Classical,10,50,22,2.0,-0.1085379037911433,0.008670942686848196,0.03636622483893169,1.9078893658359824e-06
PPI_lambda1,10,50,22,2.0,-0.1085379037911433,0.07943180088254705,0.29013075944899575,5.657848311995609e-05
PPI_tuned,10,50,22,2.0,-0.1085379037911433,0.01170807058170317,0.0783755773187837,0.000112322098716216
Debias_Lasso,10,50,22,2.0,-0.1085379037911433,0.018501387812092658,0.07200089715396052,0.00010163651223938802
Debias_ElasticNet,10,50,22,2.0,-0.1085379037911433,0.018501387812092658,0.07200089715396052,0.00010163651223938802
Debias_Ridge,10,50,22,2.0,-0.1085379037911433,0.052217587627895544,0.1849583263483948,1.579315576702993e-05
Imputed,10,50,23,2.0,-0.1085379037911433,0.017053953636931164,0.04270226712352667,3.941577545336625e-05
Classical,10,50,23,2.0,-0.1085379037911433,0.0349297989901501,0.10854019639909977,2.8346288584148026e-05
PPI_lambda1,10,50,23,2.0,-0.1085379037911433,0.04580570210120775,0.16580812376798837,8.268961738311217e-05
PPI_tuned,10,50,23,2.0,-0.1085379037911433,0.015027198923189438,0.055412727426650266,0.002906639758076661
Debias_Lasso,10,50,23,2.0,-0.1085379037911433,0.0169898550238334,0.04292829198305583,3.698782265603303e-05
Debias_ElasticNet,10,50,23,2.0,-0.1085379037911433,0.0169898550238334,0.04292829198305583,3.698782265603303e-05
Debias_Ridge,10,50,23,2.0,-0.1085379037911433,0.03194096017802132,0.11850499556941835,0.00033091719424821735
Imputed,10,50,24,2.0,-0.1085379037911433,0.01954394350809612,0.08224994117389497,0.0009649070221074545
Classical,10,50,24,2.0,-0.1085379037911433,0.015204594619982165,0.04970223773252946,5.832585492351112e-07
PPI_lambda1,10,50,24,2.0,-0.1085379037911433,0.1256837953671927,0.4625966148537803,0.004351608782366
PPI_tuned,10,50,24,2.0,-0.1085379037911433,0.028818782811529532,0.10050462847576623,2.3316560063971084e-06
Debias_Lasso,10,50,24,2.0,-0.1085379037911433,0.01989352158613386,0.08203542616533752,0.0008423986333986952
Debias_ElasticNet,10,50,24,2.0,-0.1085379037911433,0.01989352158613386,0.08203542616533752,0.0008423986333986952
Debias_Ridge,10,50,24,2.0,-0.1085379037911433,0.07738627276739636,0.3096745164104517,0.0030537433481966996
Imputed,10,50,25,2.0,-0.1085379037911433,0.020576240125776295,0.07388051245683278,9.242751364371643e-05
Classical,10,50,25,2.0,-0.1085379037911433,0.060289932067078375,0.18558820697681283,0.0006655510251011644
PPI_lambda1,10,50,25,2.0,-0.1085379037911433,0.18828150274229621,0.5824631112678054,0.004089343119689417
PPI_tuned,10,50,25,2.0,-0.1085379037911433,0.05682693253389583,0.17216607133551964,0.0024843821030023517
Debias_Lasso,10,50,25,2.0,-0.1085379037911433,0.02137611654134971,0.07459118211116998,2.96831753347538e-06
Debias_ElasticNet,10,50,25,2.0,-0.1085379037911433,0.02137611654134971,0.07459118211116998,2.96831753347538e-06
Debias_Ridge,10,50,25,2.0,-0.1085379037911433,0.12704450637089484,0.4000946881302633,0.0032906543583155583
Imputed,10,50,26,2.0,-0.1085379037911433,0.01986075578888332,0.05745688892458752,0.00020853259635814805
Classical,10,50,26,2.0,-0.1085379037911433,0.055458979802797556,0.2114492321466659,0.007879803786143722
PPI_lambda1,10,50,26,2.0,-0.1085379037911433,0.07441806809255248,0.19564880792409667,0.0002378983021778789
PPI_tuned,10,50,26,2.0,-0.1085379037911433,0.03526892777265454,0.17546085919373405,4.1500961850459075e-05
Debias_Lasso,10,50,26,2.0,-0.1085379037911433,0.02032737416687163,0.05620812934235414,0.00012004813682344476
Debias_ElasticNet,10,50,26,2.0,-0.1085379037911433,0.02032737416687163,0.05620812934235414,0.00012004813682344476
Debias_Ridge,10,50,26,2.0,-0.1085379037911433,0.05553488472662681,0.17954359268771278,6.214137171688014e-05
Imputed,10,50,27,2.0,-0.1085379037911433,0.016876414900649644,0.050422669464297284,7.243709596118731e-09
Classical,10,50,27,2.0,-0.1085379037911433,0.015525346749052541,0.046579714611464394,0.00022538755952074683
PPI_lambda1,10,50,27,2.0,-0.1085379037911433,0.038621058441971154,0.1278122500475643,0.00011256391509544784
PPI_tuned,10,50,27,2.0,-0.1085379037911433,0.010699624852450452,0.05122749313247235,9.38963008725692e-05
Debias_Lasso,10,50,27,2.0,-0.1085379037911433,0.0200658587302893,0.05621009789364391,5.370545968531358e-05
Debias_ElasticNet,10,50,27,2.0,-0.1085379037911433,0.0200658587302893,0.05621009789364391,5.370545968531358e-05
Debias_Ridge,10,50,27,2.0,-0.1085379037911433,0.024658658356890843,0.0767366866924055,0.0015198519574790483
Imputed,10,50,28,2.0,-0.1085379037911433,0.01394873215633596,0.03889073674398135,1.9770451321313254e-05
Classical,10,50,28,2.0,-0.1085379037911433,0.021347906349784587,0.05927380534870261,0.0001926500089028952
PPI_lambda1,10,50,28,2.0,-0.1085379037911433,0.14636369624820939,0.4649498999029986,0.00038364914447097496
PPI_tuned,10,50,28,2.0,-0.1085379037911433,0.012075988423842299,0.027084234442351914,2.003701019528264e-06
Debias_Lasso,10,50,28,2.0,-0.1085379037911433,0.043640950712053525,0.21673106302474335,0.00013919058796589133
Debias_ElasticNet,10,50,28,2.0,-0.1085379037911433,0.03681233587498834,0.18092018339120974,0.0005494830079887877
Debias_Ridge,10,50,28,2.0,-0.1085379037911433,0.07414273766144444,0.2883938819155577,9.666938622781269e-05
Imputed,10,50,29,2.0,-0.1085379037911433,0.017191711984281856,0.04152670984091972,0.0037651302205597473
Classical,10,50,29,2.0,-0.1085379037911433,0.016166611391774534,0.03403779188405857,0.0006266618942386797
PPI_lambda1,10,50,29,2.0,-0.1085379037911433,0.07562329646717772,0.22834073672883978,0.0003257601994519707
PPI_tuned,10,50,29,2.0,-0.1085379037911433,0.012766995174702436,0.031829115035303585,0.00012805252060120564
Debias_Lasso,10,50,29,2.0,-0.1085379037911433,0.01568243360711174,0.04106129766325326,0.003660429801292099
Debias_ElasticNet,10,50,29,2.0,-0.1085379037911433,0.017093469319603687,0.04079418455164582,0.00360074204909807
Debias_Ridge,10,50,29,2.0,-0.1085379037911433,0.05764617371189142,0.13036392524240772,0.005664448952254708
Imputed,10,100,0,2.0,-0.1085379037911433,0.02178935267571412,0.0854375028865883,3.4122241624288844e-05
Classical,10,100,0,2.0,-0.1085379037911433,0.00932393007419983,0.027349376493162204,6.72110465412917e-05
PPI_lambda1,10,100,0,2.0,-0.1085379037911433,0.04911499019198162,0.14598032029100835,0.0021288653423900627
PPI_tuned,10,100,0,2.0,-0.1085379037911433,0.002869734009879666,0.010647315300048078,0.000143453254438895
Debias_Lasso,10,100,0,2.0,-0.1085379037911433,0.023774030891286883,0.08835627315606583,0.00021833673626538134
Debias_ElasticNet,10,100,0,2.0,-0.1085379037911433,0.023774030891286883,0.08835627315606583,0.00021833673626538134
Debias_Ridge,10,100,0,2.0,-0.1085379037911433,0.04424687790142519,0.14093786138676065,0.0003136110047324725
Imputed,10,100,1,2.0,-0.1085379037911433,0.022051532170183845,0.09011646300514493,0.00020002054160234538
Classical,10,100,1,2.0,-0.1085379037911433,0.0075443911014895434,0.032540108144844204,1.316603666791475e-05
PPI_lambda1,10,100,1,2.0,-0.1085379037911433,0.041252766064426134,0.12553296617467502,0.0007165550928857665
PPI_tuned,10,100,1,2.0,-0.1085379037911433,0.006831968649440701,0.027448315224181535,5.497090927953342e-05
Debias_Lasso,10,100,1,2.0,-0.1085379037911433,0.022027135332054228,0.09013005917838354,0.0001973291611353192
Debias_ElasticNet,10,100,1,2.0,-0.1085379037911433,0.022027135332054228,0.09013005917838354,0.0001973291611353192
Debias_Ridge,10,100,1,2.0,-0.1085379037911433,0.035170703154119305,0.1152097896801269,0.0003455375379376225
Imputed,10,100,2,2.0,-0.1085379037911433,0.01573168559175596,0.03899945356046527,0.00013234727855528637
Classical,10,100,2,2.0,-0.1085379037911433,0.005233099114536481,0.024844487133037055,6.193640308983252e-05
PPI_lambda1,10,100,2,2.0,-0.1085379037911433,0.08940652937795145,0.27165653591922134,0.0030719832243436534
PPI_tuned,10,100,2,2.0,-0.1085379037911433,0.013471495795261862,0.05210137357129441,6.61715785246052e-05
Debias_Lasso,10,100,2,2.0,-0.1085379037911433,0.03551488614185349,0.09318552583336484,0.0043587907759343025
Debias_ElasticNet,10,100,2,2.0,-0.1085379037911433,0.03175805723346499,0.08951608682513855,0.0042907164345945
Debias_Ridge,10,100,2,2.0,-0.1085379037911433,0.07395705582385714,0.2113868930402219,5.634953174863221e-05
Imputed,10,100,3,2.0,-0.1085379037911433,0.029798334678199596,0.10251285870003406,1.9509031620963903e-06
Classical,10,100,3,2.0,-0.1085379037911433,0.008914297528855532,0.025990529211050897,2.696954964070227e-05
PPI_lambda1,10,100,3,2.0,-0.1085379037911433,0.11621827683731775,0.4250272572327488,0.007690328006970752
PPI_tuned,10,100,3,2.0,-0.1085379037911433,0.012958582969911809,0.045141574783228236,0.00019095167343687766
Debias_Lasso,10,100,3,2.0,-0.1085379037911433,0.0376205707041005,0.11119943739835399,0.0003764776550026451
Debias_ElasticNet,10,100,3,2.0,-0.1085379037911433,0.03808790622056819,0.11118870150741793,0.000375631717891734
Debias_Ridge,10,100,3,2.0,-0.1085379037911433,0.11760865403124976,0.373053942474626,0.01284259965788279
Imputed,10,100,4,2.0,-0.1085379037911433,0.016582884235002777,0.038831061671193226,0.0017416919911147101
Classical,10,100,4,2.0,-0.1085379037911433,0.004785660038945969,0.01570782811672775,2.218080613468533e-05
PPI_lambda1,10,100,4,2.0,-0.1085379037911433,0.0726062932647181,0.15359038530118085,0.0009050045344309268
PPI_tuned,10,100,4,2.0,-0.1085379037911433,0.003513984388447143,0.006995397904898954,0.00011148894683104735
Debias_Lasso,10,100,4,2.0,-0.1085379037911433,0.016328764678133816,0.04189840963133391,0.0010270957639713046
Debias_ElasticNet,10,100,4,2.0,-0.1085379037911433,0.016328764678133812,0.041898409631333934,0.0010270957639713046
Debias_Ridge,10,100,4,2.0,-0.1085379037911433,0.05245632963103434,0.1048087486547647,0.0013860390574479539
Imputed,10,100,5,2.0,-0.1085379037911433,0.016568471174104486,0.045824703454677145,2.686519314236609e-06
Classical,10,100,5,2.0,-0.1085379037911433,0.015391942016909419,0.06024212630855187,8.242871327950429e-05
PPI_lambda1,10,100,5,2.0,-0.1085379037911433,0.02980985153738435,0.06848454688655209,0.001182489541185686
