method,p,n,N,trial,sigma,beta,theta,error,error_max,error_min
PPI_lambda1,800,50,1500,6,0.01,0,0.03088131,0.00176217,0.020639068,2.96E-08
PPI_tuned,800,50,1500,6,0.01,0,0.03088131,0.00176217,0.020639068,2.96E-08
Debias_Lasso,800,50,1500,6,0.01,0,0.03088131,0.001761774,0.02057266,3.69E-08
Debias_ElasticNet,800,50,1500,6,0.01,0,0.03088131,0.001761774,0.02057266,3.69E-08
Debias_Ridge,800,50,1500,6,0.01,0,0.03088131,0.001761776,0.020642424,9.76E-08
Imputed,800,50,1500,7,0.01,0,0.03088131,0.001709057,0.016811029,1.69E-09
Classical,800,50,1500,7,0.01,0,0.03088131,0.309486543,1.904642314,2.47E-07
PPI_lambda1,800,50,1500,7,0.01,0,0.03088131,0.001709146,0.016782466,8.95E-09
PPI_tuned,800,50,1500,7,0.01,0,0.03088131,0.001709146,0.016782466,8.95E-09
Debias_Lasso,800,50,1500,7,0.01,0,0.03088131,0.001709121,0.016845179,3.34E-08
Debias_ElasticNet,800,50,1500,7,0.01,0,0.03088131,0.001709121,0.016845179,3.34E-08
Debias_Ridge,800,50,1500,7,0.01,0,0.03088131,0.001709178,0.016814057,1.57E-08
Imputed,800,50,1500,8,0.01,0,0.03088131,0.001605583,0.019145809,1.51E-09
Classical,800,50,1500,8,0.01,0,0.03088131,0.32145026,1.637860306,2.76E-07
PPI_lambda1,800,50,1500,8,0.01,0,0.03088131,0.001605726,0.019147096,7.13E-10
PPI_tuned,800,50,1500,8,0.01,0,0.03088131,0.001605726,0.019147096,7.13E-10
Debias_Lasso,800,50,1500,8,0.01,0,0.03088131,0.001605675,0.019133728,5.74E-10
Debias_ElasticNet,800,50,1500,8,0.01,0,0.03088131,0.001605675,0.019133725,5.73E-10
Debias_Ridge,800,50,1500,8,0.01,0,0.03088131,0.001605999,0.019125352,8.45E-11
Imputed,800,50,1500,9,0.01,0,0.03088131,0.001728074,0.017947081,1.08E-08
Classical,800,50,1500,9,0.01,0,0.03088131,0.324759084,1.422693947,2.62E-06
PPI_lambda1,800,50,1500,9,0.01,0,0.03088131,0.001727799,0.01798692,1.34E-08
PPI_tuned,800,50,1500,9,0.01,0,0.03088131,0.001727799,0.01798692,1.34E-08
Debias_Lasso,800,50,1500,9,0.01,0,0.03088131,0.001727981,0.017949375,6.05E-09
Debias_ElasticNet,800,50,1500,9,0.01,0,0.03088131,0.001727981,0.017949375,6.05E-09
Debias_Ridge,800,50,1500,9,0.01,0,0.03088131,0.001727764,0.017986516,9.52E-09
Imputed,800,50,1500,10,0.01,0,0.03088131,0.001623515,0.014629927,4.85E-09
Classical,800,50,1500,10,0.01,0,0.03088131,0.319082638,1.633967936,1.11E-05
PPI_lambda1,800,50,1500,10,0.01,0,0.03088131,0.001623596,0.014609874,4.53E-09
PPI_tuned,800,50,1500,10,0.01,0,0.03088131,0.001623596,0.014609874,4.53E-09
Debias_Lasso,800,50,1500,10,0.01,0,0.03088131,0.001623519,0.01462463,3.91E-09
Debias_ElasticNet,800,50,1500,10,0.01,0,0.03088131,0.001623519,0.01462463,3.91E-09
Debias_Ridge,800,50,1500,10,0.01,0,0.03088131,0.00162364,0.014603315,2.86E-09
Imputed,800,50,1500,11,0.01,0,0.03088131,0.001609118,0.021160267,1.24E-09
Classical,800,50,1500,11,0.01,0,0.03088131,0.32088512,1.472189771,6.96E-06
PPI_lambda1,800,50,1500,11,0.01,0,0.03088131,0.00160942,0.021156195,6.86E-11
PPI_tuned,800,50,1500,11,0.01,0,0.03088131,0.00160942,0.021156195,6.86E-11
Debias_Lasso,800,50,1500,11,0.01,0,0.03088131,0.001609106,0.021160806,1.57E-09
Debias_ElasticNet,800,50,1500,11,0.01,0,0.03088131,0.001609106,0.021160806,1.57E-09
Debias_Ridge,800,50,1500,11,0.01,0,0.03088131,0.001609383,0.021156165,3.72E-12
Imputed,800,50,1500,12,0.01,0,0.03088131,0.001754773,0.019416095,2.64E-09
Classical,800,50,1500,12,0.01,0,0.03088131,0.321778768,1.708529666,7.05E-07
PPI_lambda1,800,50,1500,12,0.01,0,0.03088131,0.001754762,0.01941521,7.94E-10
PPI_tuned,800,50,1500,12,0.01,0,0.03088131,0.001754762,0.01941521,7.94E-10
Debias_Lasso,800,50,1500,12,0.01,0,0.03088131,0.001754785,0.019418974,1.22E-09
Debias_ElasticNet,800,50,1500,12,0.01,0,0.03088131,0.001754785,0.019418974,1.22E-09
Debias_Ridge,800,50,1500,12,0.01,0,0.03088131,0.001754773,0.019418501,1.49E-09
Imputed,800,50,1500,13,0.01,0,0.03088131,0.001635412,0.019785359,1.50E-11
Classical,800,50,1500,13,0.01,0,0.03088131,0.30715324,1.62150534,3.98E-07
PPI_lambda1,800,50,1500,13,0.01,0,0.03088131,0.001635602,0.019797964,7.49E-10
PPI_tuned,800,50,1500,13,0.01,0,0.03088131,0.001635602,0.019797964,7.49E-10
Debias_Lasso,800,50,1500,13,0.01,0,0.03088131,0.001635041,0.019810989,1.90E-10
Debias_ElasticNet,800,50,1500,13,0.01,0,0.03088131,0.001635041,0.019810984,1.91E-10
Debias_Ridge,800,50,1500,13,0.01,0,0.03088131,0.001635563,0.019807344,2.40E-09
Imputed,800,50,1500,14,0.01,0,0.03088131,0.001740705,0.021586843,7.27E-09
Classical,800,50,1500,14,0.01,0,0.03088131,0.315694119,1.759292182,3.50E-08
PPI_lambda1,800,50,1500,14,0.01,0,0.03088131,0.001740939,0.021569651,1.79E-08
PPI_tuned,800,50,1500,14,0.01,0,0.03088131,0.001740939,0.021569651,1.79E-08
Debias_Lasso,800,50,1500,14,0.01,0,0.03088131,0.001740848,0.021584039,1.34E-08
Debias_ElasticNet,800,50,1500,14,0.01,0,0.03088131,0.001740848,0.021584039,1.34E-08
Debias_Ridge,800,50,1500,14,0.01,0,0.03088131,0.001741029,0.021565709,2.41E-08
Imputed,800,50,1500,15,0.01,0,0.03088131,0.001674924,0.017486208,1.25E-11
Classical,800,50,1500,15,0.01,0,0.03088131,0.321951767,1.592476444,6.44E-08
PPI_lambda1,800,50,1500,15,0.01,0,0.03088131,0.001674257,0.017444007,4.92E-11
PPI_tuned,800,50,1500,15,0.01,0,0.03088131,0.001674257,0.017444007,4.92E-11
Debias_Lasso,800,50,1500,15,0.01,0,0.03088131,0.001675098,0.017477014,9.53E-12
Debias_ElasticNet,800,50,1500,15,0.01,0,0.03088131,0.001675098,0.017477014,9.53E-12
Debias_Ridge,800,50,1500,15,0.01,0,0.03088131,0.001674402,0.017437928,5.45E-11
Imputed,800,50,1500,16,0.01,0,0.03088131,0.00166694,0.018659491,3.30E-09
Classical,800,50,1500,16,0.01,0,0.03088131,0.313535081,1.611385857,1.39E-05
PPI_lambda1,800,50,1500,16,0.01,0,0.03088131,0.001666959,0.018639283,4.76E-11
PPI_tuned,800,50,1500,16,0.01,0,0.03088131,0.001666959,0.018639283,4.76E-11
Debias_Lasso,800,50,1500,16,0.01,0,0.03088131,0.001666906,0.018656859,1.31E-10
Debias_ElasticNet,800,50,1500,16,0.01,0,0.03088131,0.001666907,0.018656859,1.30E-10
Debias_Ridge,800,50,1500,16,0.01,0,0.03088131,0.001666988,0.018636426,3.27E-09
Imputed,800,50,1500,17,0.01,0,0.03088131,0.001690925,0.018308572,4.62E-09
Classical,800,50,1500,17,0.01,0,0.03088131,0.315044778,1.549647397,3.22E-06
PPI_lambda1,800,50,1500,17,0.01,0,0.03088131,0.001690729,0.018329481,1.54E-09
PPI_tuned,800,50,1500,17,0.01,0,0.03088131,0.001690729,0.018329481,1.54E-09
Debias_Lasso,800,50,1500,17,0.01,0,0.03088131,0.001690891,0.018320204,1.31E-08
Debias_ElasticNet,800,50,1500,17,0.01,0,0.03088131,0.001690891,0.018320204,1.31E-08
Debias_Ridge,800,50,1500,17,0.01,0,0.03088131,0.001690653,0.018340587,1.29E-10
Imputed,800,50,1500,18,0.01,0,0.03088131,0.00166625,0.020101871,4.43E-09
Classical,800,50,1500,18,0.01,0,0.03088131,0.320404126,1.590466627,6.15E-06
PPI_lambda1,800,50,1500,18,0.01,0,0.03088131,0.00166623,0.020121893,1.86E-08
PPI_tuned,800,50,1500,18,0.01,0,0.03088131,0.00166623,0.020121893,1.86E-08
Debias_Lasso,800,50,1500,18,0.01,0,0.03088131,0.00166643,0.020096276,8.70E-12
Debias_ElasticNet,800,50,1500,18,0.01,0,0.03088131,0.00166643,0.020096276,8.70E-12
Debias_Ridge,800,50,1500,18,0.01,0,0.03088131,0.001666473,0.020114875,7.24E-10
Imputed,800,50,1500,19,0.01,0,0.03088131,0.001833623,0.023647958,1.84E-08
Classical,800,50,1500,19,0.01,0,0.03088131,0.317143203,1.371315303,8.83E-07
PPI_lambda1,800,50,1500,19,0.01,0,0.03088131,0.001833784,0.02365981,5.95E-09
PPI_tuned,800,50,1500,19,0.01,0,0.03088131,0.001833784,0.02365981,5.95E-09
Debias_Lasso,800,50,1500,19,0.01,0,0.03088131,0.001833633,0.023648908,1.84E-09
Debias_ElasticNet,800,50,1500,19,0.01,0,0.03088131,0.001833633,0.023648908,1.84E-09
Debias_Ridge,800,50,1500,19,0.01,0,0.03088131,0.001833774,0.023662618,9.52E-10
Imputed,800,50,1500,20,0.01,0,0.03088131,0.001695659,0.017787518,1.87E-10
Classical,800,50,1500,20,0.01,0,0.03088131,0.317991615,1.817312693,5.38E-07
PPI_lambda1,800,50,1500,20,0.01,0,0.03088131,0.001695678,0.017801646,1.94E-09
PPI_tuned,800,50,1500,20,0.01,0,0.03088131,0.001695678,0.017801646,1.94E-09
Debias_Lasso,800,50,1500,20,0.01,0,0.03088131,0.001695004,0.017786105,5.97E-09
Debias_ElasticNet,800,50,1500,20,0.01,0,0.03088131,0.00169501,0.017786102,5.96E-09
Debias_Ridge,800,50,1500,20,0.01,0,0.03088131,0.001695538,0.017800364,9.51E-09
Imputed,800,50,1500,21,0.01,0,0.03088131,0.001717753,0.017223468,1.12E-08
Classical,800,50,1500,21,0.01,0,0.03088131,0.323751574,1.382135871,1.11E-05
PPI_lambda1,800,50,1500,21,0.01,0,0.03088131,0.001717572,0.017227276,7.08E-10
PPI_tuned,800,50,1500,21,0.01,0,0.03088131,0.001717572,0.017227276,7.08E-10
Debias_Lasso,800,50,1500,21,0.01,0,0.03088131,0.001718073,0.017227448,1.13E-08
Debias_ElasticNet,800,50,1500,21,0.01,0,0.03088131,0.001718073,0.017227448,1.13E-08
Debias_Ridge,800,50,1500,21,0.01,0,0.03088131,0.00171776,0.017229664,6.16E-09
Imputed,800,50,1500,22,0.01,0,0.03088131,0.001768668,0.016998539,4.35E-09
Classical,800,50,1500,22,0.01,0,0.03088131,0.317927951,1.659448486,4.97E-06
PPI_lambda1,800,50,1500,22,0.01,0,0.03088131,0.001768496,0.016995231,6.30E-10
PPI_tuned,800,50,1500,22,0.01,0,0.03088131,0.001768496,0.016995231,6.30E-10
Debias_Lasso,800,50,1500,22,0.01,0,0.03088131,0.00176837,0.017010987,1.27E-09
Debias_ElasticNet,800,50,1500,22,0.01,0,0.03088131,0.001768355,0.017011278,1.22E-09
Debias_Ridge,800,50,1500,22,0.01,0,0.03088131,0.001768403,0.017001982,1.06E-09
Imputed,800,50,1500,23,0.01,0,0.03088131,0.001768906,0.018923088,6.43E-10
Classical,800,50,1500,23,0.01,0,0.03088131,0.310384848,1.901367243,2.32E-07
PPI_lambda1,800,50,1500,23,0.01,0,0.03088131,0.001768987,0.018907122,3.10E-12
PPI_tuned,800,50,1500,23,0.01,0,0.03088131,0.001768987,0.018907122,3.10E-12
Debias_Lasso,800,50,1500,23,0.01,0,0.03088131,0.001768469,0.018924367,7.34E-10
Debias_ElasticNet,800,50,1500,23,0.01,0,0.03088131,0.001768471,0.01892437,7.34E-10
Debias_Ridge,800,50,1500,23,0.01,0,0.03088131,0.001768971,0.018911719,1.75E-09
Imputed,800,50,1500,24,0.01,0,0.03088131,0.001729299,0.022520455,2.06E-09
Classical,800,50,1500,24,0.01,0,0.03088131,0.32321894,1.651062327,7.17E-06
PPI_lambda1,800,50,1500,24,0.01,0,0.03088131,0.001729497,0.022531338,6.36E-09
PPI_tuned,800,50,1500,24,0.01,0,0.03088131,0.001729497,0.022531338,6.36E-09
Debias_Lasso,800,50,1500,24,0.01,0,0.03088131,0.001729279,0.022506764,3.67E-09
Debias_ElasticNet,800,50,1500,24,0.01,0,0.03088131,0.001729279,0.022506764,3.67E-09
Debias_Ridge,800,50,1500,24,0.01,0,0.03088131,0.001729472,0.022511161,6.97E-09
Imputed,800,50,1500,25,0.01,0,0.03088131,0.001714383,0.017482457,3.15E-10
Classical,800,50,1500,25,0.01,0,0.03088131,0.321359909,1.535310877,6.34E-06
PPI_lambda1,800,50,1500,25,0.01,0,0.03088131,0.001714353,0.01751769,5.46E-10
PPI_tuned,800,50,1500,25,0.01,0,0.03088131,0.001714353,0.01751769,5.46E-10
Debias_Lasso,800,50,1500,25,0.01,0,0.03088131,0.001714572,0.017527051,2.17E-10
Debias_ElasticNet,800,50,1500,25,0.01,0,0.03088131,0.001714572,0.017527048,2.17E-10
Debias_Ridge,800,50,1500,25,0.01,0,0.03088131,0.001714454,0.017557709,1.99E-09
Imputed,800,50,1500,26,0.01,0,0.03088131,0.001637795,0.018623383,3.59E-08
Classical,800,50,1500,26,0.01,0,0.03088131,0.314699123,1.675723008,3.00E-08
PPI_lambda1,800,50,1500,26,0.01,0,0.03088131,0.00163776,0.018630907,2.05E-08
PPI_tuned,800,50,1500,26,0.01,0,0.03088131,0.00163776,0.018630907,2.05E-08
Debias_Lasso,800,50,1500,26,0.01,0,0.03088131,0.001637814,0.018617272,1.86E-08
Debias_ElasticNet,800,50,1500,26,0.01,0,0.03088131,0.001637814,0.018617272,1.86E-08
Debias_Ridge,800,50,1500,26,0.01,0,0.03088131,0.001637762,0.018628104,9.56E-09
Imputed,800,50,1500,27,0.01,0,0.03088131,0.001709701,0.020321618,5.63E-09
Classical,800,50,1500,27,0.01,0,0.03088131,0.317652329,1.643994057,6.51E-07
PPI_lambda1,800,50,1500,27,0.01,0,0.03088131,0.001709474,0.020311335,8.35E-10
PPI_tuned,800,50,1500,27,0.01,0,0.03088131,0.001709474,0.020311335,8.35E-10
Debias_Lasso,800,50,1500,27,0.01,0,0.03088131,0.001709342,0.02032243,5.94E-09
Debias_ElasticNet,800,50,1500,27,0.01,0,0.03088131,0.001709343,0.020322431,5.93E-09
Debias_Ridge,800,50,1500,27,0.01,0,0.03088131,0.001709467,0.020311276,1.55E-09
Imputed,800,50,1500,28,0.01,0,0.03088131,0.001653552,0.018884671,3.32E-09
Classical,800,50,1500,28,0.01,0,0.03088131,0.311851761,1.681693219,4.85E-07
PPI_lambda1,800,50,1500,28,0.01,0,0.03088131,0.001654025,0.018907952,1.24E-10
PPI_tuned,800,50,1500,28,0.01,0,0.03088131,0.001654025,0.018907952,1.24E-10
Debias_Lasso,800,50,1500,28,0.01,0,0.03088131,0.001653571,0.018887064,2.56E-10
Debias_ElasticNet,800,50,1500,28,0.01,0,0.03088131,0.001653571,0.01888706,2.58E-10
Debias_Ridge,800,50,1500,28,0.01,0,0.03088131,0.001654043,0.018909274,1.05E-10
Imputed,800,50,1500,29,0.01,0,0.03088131,0.001664102,0.021155308,1.33E-08
Classical,800,50,1500,29,0.01,0,0.03088131,0.325776121,1.477636095,1.67E-07
PPI_lambda1,800,50,1500,29,0.01,0,0.03088131,0.001664057,0.021095938,3.98E-09
PPI_tuned,800,50,1500,29,0.01,0,0.03088131,0.001664057,0.021095938,3.98E-09
Debias_Lasso,800,50,1500,29,0.01,0,0.03088131,0.001663663,0.021154228,1.81E-08
Debias_ElasticNet,800,50,1500,29,0.01,0,0.03088131,0.001663667,0.021154226,1.81E-08
Debias_Ridge,800,50,1500,29,0.01,0,0.03088131,0.001664074,0.021097226,1.55E-08
Imputed,800,100,1500,0,0.01,0,0.03088131,0.001816274,0.016082786,8.17E-09
Classical,800,100,1500,0,0.01,0,0.03088131,0.301433664,2.162403842,5.89E-06
PPI_lambda1,800,100,1500,0,0.01,0,0.03088131,0.001816235,0.016094868,2.53E-10
PPI_tuned,800,100,1500,0,0.01,0,0.03088131,0.001816235,0.016094868,2.53E-10
Debias_Lasso,800,100,1500,0,0.01,0,0.03088131,0.001816346,0.016083465,2.49E-10
Debias_ElasticNet,800,100,1500,0,0.01,0,0.03088131,0.001816346,0.016083465,2.48E-10
Debias_Ridge,800,100,1500,0,0.01,0,0.03088131,0.001816333,0.016101908,3.41E-10
Imputed,800,100,1500,1,0.01,0,0.03088131,0.001822233,0.01969645,1.90E-09
Classical,800,100,1500,1,0.01,0,0.03088131,0.300530934,1.806876382,4.11E-07
PPI_lambda1,800,100,1500,1,0.01,0,0.03088131,0.001822286,0.019746828,9.14E-10
PPI_tuned,800,100,1500,1,0.01,0,0.03088131,0.001822286,0.019746828,9.14E-10
Debias_Lasso,800,100,1500,1,0.01,0,0.03088131,0.001822237,0.019694967,1.80E-09
Debias_ElasticNet,800,100,1500,1,0.01,0,0.03088131,0.001822237,0.019694967,1.80E-09
Debias_Ridge,800,100,1500,1,0.01,0,0.03088131,0.001822328,0.01973164,1.17E-12
Imputed,800,100,1500,2,0.01,0,0.03088131,0.001822719,0.01922701,3.29E-10
Classical,800,100,1500,2,0.01,0,0.03088131,0.296189969,1.810339921,7.18E-07
PPI_lambda1,800,100,1500,2,0.01,0,0.03088131,0.001822871,0.019321342,2.33E-08
PPI_tuned,800,100,1500,2,0.01,0,0.03088131,0.001822871,0.019321342,2.33E-08
Debias_Lasso,800,100,1500,2,0.01,0,0.03088131,0.00182294,0.019225325,7.38E-12
Debias_ElasticNet,800,100,1500,2,0.01,0,0.03088131,0.00182294,0.019225325,7.38E-12
Debias_Ridge,800,100,1500,2,0.01,0,0.03088131,0.001823075,0.019306805,7.40E-09
Imputed,800,100,1500,3,0.01,0,0.03088131,0.001814238,0.020921975,1.19E-10
Classical,800,100,1500,3,0.01,0,0.03088131,0.302513185,1.681146499,6.55E-08
PPI_lambda1,800,100,1500,3,0.01,0,0.03088131,0.001814658,0.020868107,1.64E-09
PPI_tuned,800,100,1500,3,0.01,0,0.03088131,0.001814658,0.020868107,1.64E-09
Debias_Lasso,800,100,1500,3,0.01,0,0.03088131,0.001814948,0.020919916,9.45E-12
Debias_ElasticNet,800,100,1500,3,0.01,0,0.03088131,0.001814947,0.020919916,9.45E-12
Debias_Ridge,800,100,1500,3,0.01,0,0.03088131,0.001814686,0.020866525,1.90E-09
Imputed,800,100,1500,4,0.01,0,0.03088131,0.001764836,0.023588448,7.09E-14
Classical,800,100,1500,4,0.01,0,0.03088131,0.30152882,1.815129896,6.04E-07
PPI_lambda1,800,100,1500,4,0.01,0,0.03088131,0.00176517,0.02361336,6.67E-10
PPI_tuned,800,100,1500,4,0.01,0,0.03088131,0.00176517,0.02361336,6.67E-10
Debias_Lasso,800,100,1500,4,0.01,0,0.03088131,0.001764743,0.023588774,2.02E-09
Debias_ElasticNet,800,100,1500,4,0.01,0,0.03088131,0.001764743,0.023588774,2.02E-09
Debias_Ridge,800,100,1500,4,0.01,0,0.03088131,0.001765139,0.023611252,1.70E-09
Imputed,800,100,1500,5,0.01,0,0.03088131,0.001880541,0.019852915,1.30E-09
Classical,800,100,1500,5,0.01,0,0.03088131,0.300172542,1.544645468,3.23E-05
PPI_lambda1,800,100,1500,5,0.01,0,0.03088131,0.001881031,0.01981121,9.56E-09
PPI_tuned,800,100,1500,5,0.01,0,0.03088131,0.001881031,0.01981121,9.56E-09
Debias_Lasso,800,100,1500,5,0.01,0,0.03088131,0.001880265,0.019857495,2.48E-08
Debias_ElasticNet,800,100,1500,5,0.01,0,0.03088131,0.001880265,0.019857493,2.48E-08
Debias_Ridge,800,100,1500,5,0.01,0,0.03088131,0.001880933,0.019815724,2.95E-11
Imputed,800,100,1500,6,0.01,0,0.03088131,0.001756747,0.020529451,8.04E-11
Classical,800,100,1500,6,0.01,0,0.03088131,0.296319494,1.893194202,1.05E-08
PPI_lambda1,800,100,1500,6,0.01,0,0.03088131,0.00175638,0.020550859,4.11E-10
PPI_tuned,800,100,1500,6,0.01,0,0.03088131,0.00175638,0.020550859,4.11E-10
Debias_Lasso,800,100,1500,6,0.01,0,0.03088131,0.001756951,0.02052388,2.26E-09
Debias_ElasticNet,800,100,1500,6,0.01,0,0.03088131,0.00175695,0.02052388,2.26E-09
Debias_Ridge,800,100,1500,6,0.01,0,0.03088131,0.001756471,0.020547866,3.35E-10
Imputed,800,100,1500,7,0.01,0,0.03088131,0.001819845,0.022839507,3.04E-09
Classical,800,100,1500,7,0.01,0,0.03088131,0.292789599,1.917735598,7.86E-06
PPI_lambda1,800,100,1500,7,0.01,0,0.03088131,0.001819556,0.022876001,1.38E-08
PPI_tuned,800,100,1500,7,0.01,0,0.03088131,0.001819556,0.022876001,1.38E-08
Debias_Lasso,800,100,1500,7,0.01,0,0.03088131,0.001819796,0.022838504,2.28E-09
Debias_ElasticNet,800,100,1500,7,0.01,0,0.03088131,0.001819796,0.022838504,2.28E-09
Debias_Ridge,800,100,1500,7,0.01,0,0.03088131,0.001819466,0.022871413,1.54E-08
Imputed,800,100,1500,8,0.01,0,0.03088131,0.001880347,0.019968371,3.68E-10
Classical,800,100,1500,8,0.01,0,0.03088131,0.291800055,2.077085007,2.94E-08
PPI_lambda1,800,100,1500,8,0.01,0,0.03088131,0.001881274,0.020021373,3.57E-09
PPI_tuned,800,100,1500,8,0.01,0,0.03088131,0.001881274,0.020021373,3.57E-09
Debias_Lasso,800,100,1500,8,0.01,0,0.03088131,0.001880958,0.019973414,1.65E-10
Debias_ElasticNet,800,100,1500,8,0.01,0,0.03088131,0.001880958,0.019973415,1.65E-10
Debias_Ridge,800,100,1500,8,0.01,0,0.03088131,0.001881342,0.020022913,6.35E-09
Imputed,800,100,1500,9,0.01,0,0.03088131,0.001808978,0.02478164,2.89E-09
Classical,800,100,1500,9,0.01,0,0.03088131,0.3050355,1.575865545,2.03E-06
PPI_lambda1,800,100,1500,9,0.01,0,0.03088131,0.001808382,0.024793069,1.83E-09
PPI_tuned,800,100,1500,9,0.01,0,0.03088131,0.001808382,0.024793069,1.83E-09
Debias_Lasso,800,100,1500,9,0.01,0,0.03088131,0.001809022,0.024786529,8.64E-10
Debias_ElasticNet,800,100,1500,9,0.01,0,0.03088131,0.001809022,0.024786529,8.64E-10
Debias_Ridge,800,100,1500,9,0.01,0,0.03088131,0.001808513,0.024797536,6.56E-12
Imputed,800,100,1500,10,0.01,0,0.03088131,0.001707718,0.017392386,3.65E-09
Classical,800,100,1500,10,0.01,0,0.03088131,0.285936279,2.11927308,3.11E-09
PPI_lambda1,800,100,1500,10,0.01,0,0.03088131,0.001707983,0.01733883,2.57E-08
PPI_tuned,800,100,1500,10,0.01,0,0.03088131,0.001707983,0.01733883,2.57E-08
Debias_Lasso,800,100,1500,10,0.01,0,0.03088131,0.001707731,0.017392942,3.61E-10
Debias_ElasticNet,800,100,1500,10,0.01,0,0.03088131,0.001707731,0.017392942,3.61E-10
Debias_Ridge,800,100,1500,10,0.01,0,0.03088131,0.001707972,0.017342672,8.55E-09
Imputed,800,100,1500,11,0.01,0,0.03088131,0.001732433,0.017674179,6.45E-09
Classical,800,100,1500,11,0.01,0,0.03088131,0.291796704,1.643470934,7.90E-06
PPI_lambda1,800,100,1500,11,0.01,0,0.03088131,0.001732489,0.017676627,3.76E-08
PPI_tuned,800,100,1500,11,0.01,0,0.03088131,0.001732489,0.017676627,3.76E-08
Debias_Lasso,800,100,1500,11,0.01,0,0.03088131,0.001732441,0.017664503,9.69E-09
Debias_ElasticNet,800,100,1500,11,0.01,0,0.03088131,0.001732441,0.017664503,9.69E-09
Debias_Ridge,800,100,1500,11,0.01,0,0.03088131,0.001732543,0.017667187,3.62E-08
Imputed,800,100,1500,12,0.01,0,0.03088131,0.001777808,0.017259719,2.97E-10
Classical,800,100,1500,12,0.01,0,0.03088131,0.304310437,1.553794688,1.44E-06
PPI_lambda1,800,100,1500,12,0.01,0,0.03088131,0.001777592,0.017233995,5.67E-10
PPI_tuned,800,100,1500,12,0.01,0,0.03088131,0.001777592,0.017233995,5.67E-10
Debias_Lasso,800,100,1500,12,0.01,0,0.03088131,0.001777683,0.01726388,2.96E-11
Debias_ElasticNet,800,100,1500,12,0.01,0,0.03088131,0.001777683,0.01726388,2.96E-11
Debias_Ridge,800,100,1500,12,0.01,0,0.03088131,0.001777462,0.017243414,3.08E-10
Imputed,800,100,1500,13,0.01,0,0.03088131,0.001919237,0.026624039,2.00E-09
Classical,800,100,1500,13,0.01,0,0.03088131,0.305416564,1.792899369,6.15E-09
PPI_lambda1,800,100,1500,13,0.01,0,0.03088131,0.001918934,0.026629565,1.16E-09
PPI_tuned,800,100,1500,13,0.01,0,0.03088131,0.001918934,0.026629565,1.16E-09
Debias_Lasso,800,100,1500,13,0.01,0,0.03088131,0.001919132,0.02662954,6.65E-09
Debias_ElasticNet,800,100,1500,13,0.01,0,0.03088131,0.001919132,0.02662954,6.65E-09
Debias_Ridge,800,100,1500,13,0.01,0,0.03088131,0.001918779,0.026636203,1.02E-09
Imputed,800,100,1500,14,0.01,0,0.03088131,0.001823406,0.022055998,1.46E-10
Classical,800,100,1500,14,0.01,0,0.03088131,0.30225451,1.873293427,1.78E-05
PPI_lambda1,800,100,1500,14,0.01,0,0.03088131,0.00182347,0.022061654,3.33E-09
PPI_tuned,800,100,1500,14,0.01,0,0.03088131,0.00182347,0.022061654,3.33E-09
Debias_Lasso,800,100,1500,14,0.01,0,0.03088131,0.001823416,0.022048999,6.23E-10
Debias_ElasticNet,800,100,1500,14,0.01,0,0.03088131,0.001823416,0.022048999,6.23E-10
Debias_Ridge,800,100,1500,14,0.01,0,0.03088131,0.001823454,0.022057313,4.46E-09
Imputed,800,100,1500,15,0.01,0,0.03088131,0.00177582,0.020849365,3.09E-10
Classical,800,100,1500,15,0.01,0,0.03088131,0.299276682,1.679280229,5.53E-06
PPI_lambda1,800,100,1500,15,0.01,0,0.03088131,0.00177515,0.020885846,4.12E-09
PPI_tuned,800,100,1500,15,0.01,0,0.03088131,0.00177515,0.020885846,4.12E-09
Debias_Lasso,800,100,1500,15,0.01,0,0.03088131,0.001775816,0.020846762,1.98E-09
Debias_ElasticNet,800,100,1500,15,0.01,0,0.03088131,0.001775816,0.020846762,1.98E-09
Debias_Ridge,800,100,1500,15,0.01,0,0.03088131,0.001775105,0.020877569,1.37E-08
Imputed,800,100,1500,16,0.01,0,0.03088131,0.001877314,0.021407646,7.41E-10
Classical,800,100,1500,16,0.01,0,0.03088131,0.303359285,1.718633084,2.56E-07
PPI_lambda1,800,100,1500,16,0.01,0,0.03088131,0.001877405,0.021350978,1.23E-10
PPI_tuned,800,100,1500,16,0.01,0,0.03088131,0.001877405,0.021350978,1.23E-10
Debias_Lasso,800,100,1500,16,0.01,0,0.03088131,0.001877478,0.021411591,2.77E-09
Debias_ElasticNet,800,100,1500,16,0.01,0,0.03088131,0.001877479,0.021411593,2.77E-09
Debias_Ridge,800,100,1500,16,0.01,0,0.03088131,0.001877466,0.021353071,1.08E-09
Imputed,800,100,1500,17,0.01,0,0.03088131,0.001796111,0.022828981,1.57E-09
Classical,800,100,1500,17,0.01,0,0.03088131,0.28827366,1.618970446,4.03E-07
PPI_lambda1,800,100,1500,17,0.01,0,0.03088131,0.001796516,0.022803237,3.75E-09
PPI_tuned,800,100,1500,17,0.01,0,0.03088131,0.001796516,0.022803237,3.75E-09
Debias_Lasso,800,100,1500,17,0.01,0,0.03088131,0.001796127,0.022821144,1.28E-09
Debias_ElasticNet,800,100,1500,17,0.01,0,0.03088131,0.001796127,0.022821144,1.28E-09
